step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,286,298,286,0,0.4897,83,85,0,0,286
2000,a,247,262,247,0,0.4853,90,96,0,0,533
3000,a,258,231,258,0,0.5276,75,89,0,0,791
4000,a,252,255,252,0,0.4970,81,97,0,0,1043
5000,a,249,251,249,0,0.4980,97,81,0,0,1292
6000,a,240,258,240,0,0.4819,90,84,0,0,1532
7000,a,261,242,261,0,0.5189,90,90,0,0,1793
8000,a,255,238,255,0,0.5172,81,85,0,0,2048
9000,a,230,273,230,0,0.4573,75,97,0,0,2278
10000,a,259,243,259,0,0.5159,87,89,0,0,2537
11000,a,257,232,257,0,0.5256,83,71,0,0,2794
12000,a,249,258,249,0,0.4911,92,76,0,0,3043
13000,a,252,252,252,0,0.5000,90,86,0,0,3295
14000,a,243,257,243,0,0.4860,93,83,0,0,3538
15000,a,254,249,254,0,0.5050,94,88,0,0,3792
16000,a,256,245,256,0,0.5110,86,98,0,0,4048
17000,a,262,246,262,0,0.5157,88,112,0,0,4310
18000,a,236,249,236,0,0.4866,69,101,0,0,4546
19000,a,245,254,245,0,0.4910,79,89,0,0,4791
20000,a,254,247,254,0,0.5070,86,84,0,0,5045
21000,a,258,240,258,0,0.5181,82,84,0,0,5303
22000,a,251,257,251,0,0.4941,97,85,0,0,5554
23000,a,252,237,252,0,0.5153,74,86,0,0,5806
24000,a,248,268,248,0,0.4806,86,106,0,0,6054
25000,a,246,247,246,0,0.4990,83,95,0,0,6300
26000,a,235,265,235,0,0.4700,81,97,0,0,6535
27000,a,246,267,246,0,0.4795,92,112,0,0,6781
28000,a,248,239,248,0,0.5092,91,87,0,0,7029
29000,a,248,261,248,0,0.4872,98,98,0,0,7277
30000,a,236,253,236,0,0.4826,91,83,0,0,7513
31000,b,242,262,0,262,0.4802,87,95,0,0,7775
32000,b,250,245,0,245,0.5051,86,86,0,0,8020
33000,b,244,248,0,248,0.4959,77,79,0,0,8268
34000,b,258,254,0,254,0.5039,89,91,0,0,8522
35000,b,246,242,0,242,0.5041,72,84,0,0,8764
36000,b,252,254,0,254,0.4980,85,83,0,0,9018
37000,b,253,245,0,245,0.5080,82,82,0,0,9263
38000,b,249,250,0,250,0.4990,80,82,0,0,9513
39000,b,256,241,0,241,0.5151,78,78,0,0,9754
40000,b,264,250,0,250,0.5136,88,96,0,0,10004
41000,b,241,261,0,261,0.4801,94,94,0,0,10265
42000,b,255,245,0,245,0.5100,92,96,0,0,10510
43000,b,230,270,0,270,0.4600,92,96,0,0,10780
44000,b,232,261,0,261,0.4706,86,88,0,0,11041
45000,b,229,270,0,270,0.4589,75,97,0,0,11311
46000,b,261,239,0,239,0.5220,80,92,0,0,11550
47000,b,228,269,0,269,0.4588,74,92,0,0,11819
48000,b,243,262,0,262,0.4812,87,89,0,0,12081
49000,b,261,246,0,246,0.5148,93,97,0,0,12327
50000,b,252,245,0,245,0.5070,94,90,0,0,12572
51000,b,251,262,0,262,0.4893,95,115,0,0,12834
52000,b,234,241,0,241,0.4926,83,77,0,0,13075
53000,b,255,253,0,253,0.5020,90,86,0,0,13328
54000,b,246,246,0,246,0.5000,80,80,0,0,13574
55000,b,240,267,0,267,0.4734,86,88,0,0,13841
56000,b,235,259,0,259,0.4757,87,75,0,0,14100
57000,b,236,274,0,274,0.4627,86,96,0,0,14374
58000,b,235,258,0,258,0.4767,88,80,0,0,14632
59000,b,261,249,0,249,0.5118,88,100,0,0,14881
60000,b,251,242,0,242,0.5091,93,81,0,0,15123
61000,a,249,243,249,0,0.5061,76,82,0,0,15372
62000,a,236,281,236,0,0.4565,84,108,0,0,15608
63000,a,242,251,242,0,0.4909,91,87,0,0,15850
64000,a,250,244,250,0,0.5061,85,81,0,0,16100
65000,a,242,256,242,0,0.4859,75,87,0,0,16342
66000,a,253,249,253,0,0.5040,88,78,0,0,16595
67000,a,260,258,260,0,0.5019,112,90,0,0,16855
68000,a,255,232,255,0,0.5236,101,75,0,0,17110
69000,a,244,243,244,0,0.5010,75,75,0,0,17354
70000,a,265,249,265,0,0.5156,94,84,0,0,17619
71000,a,231,256,231,0,0.4743,80,72,0,0,17850
72000,a,235,274,235,0,0.4617,84,86,0,0,18085
73000,a,245,253,245,0,0.4920,89,77,0,0,18330
74000,a,242,255,242,0,0.4869,81,79,0,0,18572
75000,a,242,256,242,0,0.4859,68,88,0,0,18814
76000,a,253,256,253,0,0.4971,83,91,0,0,19067
77000,a,258,249,258,0,0.5089,90,98,0,0,19325
78000,a,241,248,241,0,0.4928,85,81,0,0,19566
79000,a,244,256,244,0,0.4880,86,80,0,0,19810
80000,a,277,229,277,0,0.5474,95,83,0,0,20087
81000,a,261,237,261,0,0.5241,92,82,0,0,20348
82000,a,250,256,250,0,0.4941,86,100,0,0,20598
83000,a,242,259,242,0,0.4830,87,101,0,0,20840
84000,a,249,251,249,0,0.4980,87,101,0,0,21089
85000,a,233,258,233,0,0.4745,84,86,0,0,21322
86000,a,256,249,256,0,0.5069,93,87,0,0,21578
87000,a,249,255,249,0,0.4940,96,92,0,0,21827
88000,a,256,244,256,0,0.5120,92,96,0,0,22083
89000,a,252,243,252,0,0.5091,89,89,0,0,22335
90000,a,237,256,237,0,0.4807,76,88,0,0,22572
91000,b,237,278,0,278,0.4602,89,105,0,0,22850
92000,b,232,256,0,256,0.4754,82,88,0,0,23106
93000,b,268,233,0,233,0.5349,99,73,0,0,23339
94000,b,234,258,0,258,0.4756,79,77,0,0,23597
95000,b,240,272,0,272,0.4688,79,101,0,0,23869
96000,b,244,261,0,261,0.4832,89,101,0,0,24130
97000,b,237,258,0,258,0.4788,87,93,0,0,24388
98000,b,259,247,0,247,0.5119,92,100,0,0,24635
99000,b,254,231,0,231,0.5237,83,79,0,0,24866
100000,b,248,255,0,255,0.4930,91,77,0,0,25121
101000,b,239,264,0,264,0.4751,86,88,0,0,25385
102000,b,266,242,0,242,0.5236,97,93,0,0,25627
103000,b,255,240,0,240,0.5152,93,87,0,0,25867
104000,b,255,242,0,242,0.5131,77,97,0,0,26109
105000,b,242,253,0,253,0.4889,75,89,0,0,26362
106000,b,255,248,0,248,0.5070,86,84,0,0,26610
107000,b,238,269,0,269,0.4694,88,96,0,0,26879
108000,b,248,241,0,241,0.5072,88,74,0,0,27120
109000,b,227,284,0,284,0.4442,72,112,0,0,27404
110000,b,236,258,0,258,0.4777,83,89,0,0,27662
111000,b,237,267,0,267,0.4702,84,96,0,0,27929
112000,b,239,262,0,262,0.4770,82,100,0,0,28191
113000,b,229,268,0,268,0.4608,78,98,0,0,28459
114000,b,276,233,0,233,0.5422,110,84,0,0,28692
115000,b,246,246,0,246,0.5000,83,95,0,0,28938
116000,b,239,257,0,257,0.4819,83,87,0,0,29195
117000,b,258,246,0,246,0.5119,82,96,0,0,29441
118000,b,258,235,0,235,0.5233,83,81,0,0,29676
119000,b,263,249,0,249,0.5137,90,98,0,0,29925
120000,b,253,240,0,240,0.5132,88,86,0,0,30165
121000,a,235,257,235,0,0.4776,74,84,0,0,30400
122000,a,244,268,244,0,0.4766,79,103,0,0,30644
123000,a,247,253,247,0,0.4940,94,88,0,0,30891
124000,a,272,224,272,0,0.5484,90,84,0,0,31163
125000,a,253,248,253,0,0.5050,84,92,0,0,31416
126000,a,270,224,270,0,0.5466,85,79,0,0,31686
127000,a,255,244,255,0,0.5110,78,84,0,0,31941
128000,a,260,240,260,0,0.5200,86,76,0,0,32201
129000,a,270,243,270,0,0.5263,107,81,0,0,32471
130000,a,255,237,255,0,0.5183,102,70,0,0,32726
131000,a,258,238,258,0,0.5202,88,76,0,0,32984
132000,a,259,250,259,0,0.5088,92,90,0,0,33243
133000,a,251,244,251,0,0.5071,76,96,0,0,33494
134000,a,239,257,239,0,0.4819,69,95,0,0,33733
135000,a,255,247,255,0,0.5080,89,79,0,0,33988
136000,a,253,252,253,0,0.5010,88,90,0,0,34241
137000,a,246,260,246,0,0.4862,99,91,0,0,34487
138000,a,265,226,265,0,0.5397,93,79,0,0,34752
139000,a,242,239,242,0,0.5031,67,67,0,0,34994
140000,a,275,239,275,0,0.5350,85,77,0,0,35269
141000,a,272,238,272,0,0.5333,100,82,0,0,35541
142000,a,231,252,231,0,0.4783,75,73,0,0,35772
143000,a,256,257,256,0,0.4990,90,84,0,0,36028
144000,a,261,229,261,0,0.5327,87,67,0,0,36289
