step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,480,163,480,0,0.7465,244,53,469,0,480
2000,a,414,46,414,0,0.9000,230,35,835,0,894
3000,a,332,31,332,0,0.9146,81,4,1073,0,1226
4000,a,329,10,329,0,0.9705,34,2,1129,0,1555
5000,a,334,19,334,0,0.9462,41,5,1159,0,1889
6000,a,317,11,317,0,0.9665,19,3,1156,0,2206
7000,a,332,13,332,0,0.9623,34,0,1166,0,2538
8000,a,332,13,332,0,0.9623,25,1,1196,0,2870
9000,a,324,19,324,0,0.9446,29,1,1202,0,3194
10000,a,318,24,318,0,0.9298,36,3,1195,0,3512
11000,a,329,12,329,0,0.9648,42,3,1200,0,3841
12000,a,316,22,316,0,0.9349,34,0,1203,0,4157
13000,a,323,11,323,0,0.9671,36,1,1191,0,4480
14000,a,320,16,320,0,0.9524,29,1,1190,0,4800
15000,a,325,19,325,0,0.9448,38,1,1194,0,5125
16000,a,324,15,324,0,0.9558,37,0,1198,0,5449
17000,a,318,15,318,0,0.9550,36,1,1182,0,5767
18000,a,324,15,324,0,0.9558,35,3,1183,0,6091
19000,a,327,18,327,0,0.9478,32,0,1206,0,6418
20000,a,320,20,320,0,0.9412,37,6,1195,0,6738
21000,a,319,23,319,0,0.9327,38,5,1198,0,7057
22000,a,323,13,323,0,0.9613,30,4,1202,0,7380
23000,a,320,22,320,0,0.9357,37,2,1201,0,7700
24000,a,309,21,309,0,0.9364,25,2,1182,0,8009
25000,a,330,20,330,0,0.9429,42,3,1194,0,8339
26000,a,312,32,312,0,0.9070,24,4,1211,0,8651
27000,a,325,12,325,0,0.9644,33,0,1205,0,8976
28000,a,318,20,318,0,0.9408,29,6,1197,0,9294
29000,a,331,11,331,0,0.9678,37,1,1209,0,9625
30000,a,321,12,321,0,0.9640,30,1,1203,0,9946
31000,b,398,38,0,38,0.9128,72,14,1021,37,9984
32000,b,421,50,0,50,0.8938,120,12,919,85,10034
33000,b,425,51,0,51,0.8929,145,17,851,126,10085
34000,b,402,60,0,60,0.8701,145,25,777,176,10145
35000,b,394,77,0,77,0.8365,146,38,722,236,10222
36000,b,346,102,0,102,0.7723,114,41,668,317,10324
37000,b,358,104,0,104,0.7749,119,43,615,391,10428
38000,b,341,107,0,107,0.7612,101,49,562,459,10535
39000,b,324,118,0,118,0.7330,99,41,494,539,10653
40000,b,291,143,0,143,0.6705,80,37,442,625,10796
41000,b,253,169,0,169,0.5995,65,40,381,711,10965
42000,b,264,167,0,167,0.6125,60,44,348,774,11132
43000,b,201,200,0,200,0.5012,48,42,298,840,11332
44000,b,206,193,0,193,0.5163,30,33,261,895,11525
45000,b,203,199,0,199,0.5050,36,34,222,930,11724
46000,b,164,227,0,227,0.4194,25,25,187,994,11951
47000,b,140,243,0,243,0.3655,16,37,155,1032,12194
48000,b,114,261,0,261,0.3040,14,41,125,1071,12455
49000,b,119,245,0,245,0.3269,12,35,97,1080,12700
50000,b,75,292,0,292,0.2044,8,43,73,1126,12992
51000,b,59,292,0,292,0.1681,3,35,59,1147,13284
52000,b,45,302,0,302,0.1297,2,32,42,1164,13586
53000,b,28,317,0,317,0.0812,1,34,33,1179,13903
54000,b,25,314,0,314,0.0737,3,31,26,1179,14217
55000,b,31,315,0,315,0.0896,6,46,25,1169,14532
56000,b,26,317,0,317,0.0758,2,35,19,1193,14849
57000,b,23,318,0,318,0.0674,1,32,13,1203,15167
58000,b,36,314,0,314,0.1029,2,40,9,1212,15481
59000,b,32,312,0,312,0.0930,6,38,8,1211,15793
60000,b,25,326,0,326,0.0712,1,54,7,1229,16119
61000,a,28,401,28,0,0.0653,5,99,35,1038,16147
62000,a,37,421,37,0,0.0808,11,117,70,932,16184
63000,a,49,411,49,0,0.1065,12,141,114,832,16233
64000,a,86,390,86,0,0.1807,30,149,186,772,16319
65000,a,71,394,71,0,0.1527,26,151,240,721,16390
66000,a,70,383,70,0,0.1545,23,133,291,667,16460
67000,a,85,374,85,0,0.1852,32,120,341,624,16545
68000,a,118,340,118,0,0.2576,35,119,427,570,16663
69000,a,119,327,119,0,0.2668,31,100,502,529,16782
70000,a,121,315,121,0,0.2775,38,74,568,475,16903
71000,a,155,291,155,0,0.3475,45,92,647,418,17058
72000,a,181,228,181,0,0.4425,43,49,748,361,17239
