step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,282,308,282,0,0.4780,80,100,0,0,282
2000,a,230,263,230,0,0.4665,82,84,0,0,512
3000,a,245,246,245,0,0.4990,71,77,0,0,757
4000,a,269,250,269,0,0.5183,99,87,0,0,1026
5000,a,246,247,246,0,0.4990,88,84,0,0,1272
6000,a,270,228,270,0,0.5422,93,75,0,0,1542
7000,a,246,264,246,0,0.4824,91,97,0,0,1788
8000,a,245,248,245,0,0.4970,90,84,0,0,2033
9000,a,275,229,275,0,0.5456,98,84,0,0,2308
10000,a,246,243,246,0,0.5031,77,83,0,0,2554
11000,a,255,250,255,0,0.5050,83,87,0,0,2809
12000,a,265,238,265,0,0.5268,96,80,0,0,3074
13000,a,271,229,271,0,0.5420,97,79,0,0,3345
14000,a,235,269,235,0,0.4663,92,92,0,0,3580
15000,a,249,253,249,0,0.4960,97,91,0,0,3829
16000,a,251,242,251,0,0.5091,89,85,0,0,4080
17000,a,253,244,253,0,0.5091,97,71,0,0,4333
18000,a,245,254,245,0,0.4910,78,88,0,0,4578
19000,a,251,257,251,0,0.4941,84,98,0,0,4829
20000,a,257,238,257,0,0.5192,94,78,0,0,5086
21000,a,256,245,256,0,0.5110,85,89,0,0,5342
22000,a,247,259,247,0,0.4881,77,109,0,0,5589
23000,a,241,242,241,0,0.4990,69,83,0,0,5830
24000,a,265,246,265,0,0.5186,94,80,0,0,6095
25000,a,261,236,261,0,0.5252,86,82,0,0,6356
26000,a,256,246,256,0,0.5100,92,80,0,0,6612
27000,a,242,263,242,0,0.4792,88,94,0,0,6854
28000,a,223,280,223,0,0.4433,86,102,0,0,7077
29000,a,243,251,243,0,0.4919,90,86,0,0,7320
30000,a,281,223,281,0,0.5575,93,91,0,0,7601
31000,a,232,252,232,0,0.4793,77,75,0,0,7833
32000,a,259,251,259,0,0.5078,85,87,0,0,8092
33000,a,252,249,252,0,0.5030,80,94,0,0,8344
34000,a,238,262,238,0,0.4760,84,90,0,0,8582
35000,a,251,250,251,0,0.5010,80,96,0,0,8833
36000,a,255,240,255,0,0.5152,89,77,0,0,9088
37000,a,239,255,239,0,0.4838,78,76,0,0,9327
38000,a,256,256,256,0,0.5000,80,98,0,0,9583
39000,a,247,255,247,0,0.4920,91,91,0,0,9830
40000,a,250,245,250,0,0.5051,93,79,0,0,10080
41000,a,243,251,243,0,0.4919,80,80,0,0,10323
42000,a,264,238,264,0,0.5259,93,71,0,0,10587
43000,a,261,256,261,0,0.5048,100,98,0,0,10848
44000,a,233,256,233,0,0.4765,82,94,0,0,11081
45000,a,249,252,249,0,0.4970,90,88,0,0,11330
46000,a,252,248,252,0,0.5040,101,77,0,0,11582
47000,a,259,251,259,0,0.5078,100,98,0,0,11841
48000,a,228,266,228,0,0.4615,89,97,0,0,12069
49000,a,236,251,236,0,0.4846,64,96,0,0,12305
50000,a,272,233,272,0,0.5386,86,84,0,0,12577
51000,a,261,244,261,0,0.5168,94,86,0,0,12838
52000,a,257,231,257,0,0.5266,79,77,0,0,13095
53000,a,264,246,264,0,0.5176,94,82,0,0,13359
54000,a,238,251,238,0,0.4867,73,81,0,0,13597
55000,a,263,254,263,0,0.5087,108,80,0,0,13860
56000,a,221,273,221,0,0.4474,73,103,0,0,14081
57000,a,252,247,252,0,0.5050,92,82,0,0,14333
58000,a,256,246,256,0,0.5100,98,80,0,0,14589
59000,a,238,250,238,0,0.4877,67,87,0,0,14827
60000,a,256,256,256,0,0.5000,84,94,0,0,15083
61000,a,242,258,242,0,0.4840,85,93,0,0,15325
62000,a,263,248,263,0,0.5147,110,90,0,0,15588
63000,a,235,252,235,0,0.4825,71,103,0,0,15823
64000,a,253,247,253,0,0.5060,93,81,0,0,16076
65000,a,259,243,259,0,0.5159,103,75,0,0,16335
66000,a,274,245,274,0,0.5279,111,105,0,0,16609
67000,a,222,260,222,0,0.4606,87,93,0,0,16831
68000,a,256,250,256,0,0.5059,92,100,0,0,17087
69000,a,262,230,262,0,0.5325,85,91,0,0,17349
70000,a,243,255,243,0,0.4880,82,90,0,0,17592
71000,a,246,259,246,0,0.4871,82,100,0,0,17838
72000,a,241,252,241,0,0.4888,77,91,0,0,18079
73000,a,262,247,262,0,0.5147,85,101,0,0,18341
74000,a,250,240,250,0,0.5102,86,80,0,0,18591
75000,a,263,247,263,0,0.5157,95,91,0,0,18854
76000,a,269,229,269,0,0.5402,106,76,0,0,19123
77000,a,269,236,269,0,0.5327,101,91,0,0,19392
78000,a,229,260,229,0,0.4683,73,97,0,0,19621
79000,a,237,255,237,0,0.4817,78,76,0,0,19858
80000,a,240,274,240,0,0.4669,81,101,0,0,20098
81000,a,258,248,258,0,0.5099,95,99,0,0,20356
82000,a,234,267,234,0,0.4671,84,112,0,0,20590
83000,a,250,240,250,0,0.5102,86,90,0,0,20840
84000,a,231,257,231,0,0.4734,71,81,0,0,21071
85000,a,281,234,281,0,0.5456,103,79,0,0,21352
86000,a,233,254,233,0,0.4784,74,82,0,0,21585
87000,a,251,270,251,0,0.4818,92,106,0,0,21836
88000,a,219,271,219,0,0.4469,82,96,0,0,22055
89000,a,242,259,242,0,0.4830,92,88,0,0,22297
90000,a,247,251,247,0,0.4960,92,84,0,0,22544
91000,b,253,239,0,239,0.5142,79,81,0,0,22783
92000,b,242,263,0,263,0.4792,78,92,0,0,23046
93000,b,231,266,0,266,0.4648,78,86,0,0,23312
94000,b,257,247,0,247,0.5099,79,93,0,0,23559
95000,b,258,234,0,234,0.5244,83,73,0,0,23793
96000,b,241,270,0,270,0.4716,84,94,0,0,24063
97000,b,240,262,0,262,0.4781,91,91,0,0,24325
98000,b,242,256,0,256,0.4859,88,90,0,0,24581
99000,b,255,237,0,237,0.5183,75,87,0,0,24818
100000,b,252,249,0,249,0.5030,90,74,0,0,25067
101000,b,250,252,0,252,0.4980,77,91,0,0,25319
102000,b,250,244,0,244,0.5061,76,80,0,0,25563
103000,b,258,249,0,249,0.5089,76,94,0,0,25812
104000,b,261,249,0,249,0.5118,95,95,0,0,26061
105000,b,248,252,0,252,0.4960,95,95,0,0,26313
106000,b,257,244,0,244,0.5130,104,88,0,0,26557
107000,b,226,254,0,254,0.4708,71,81,0,0,26811
108000,b,259,247,0,247,0.5119,89,75,0,0,27058
109000,b,244,261,0,261,0.4832,71,103,0,0,27319
110000,b,249,249,0,249,0.5000,84,86,0,0,27568
111000,b,244,253,0,253,0.4909,86,78,0,0,27821
112000,b,235,270,0,270,0.4653,84,90,0,0,28091
113000,b,264,243,0,243,0.5207,100,88,0,0,28334
114000,b,258,235,0,235,0.5233,89,85,0,0,28569
115000,b,254,239,0,239,0.5152,82,78,0,0,28808
116000,b,259,250,0,250,0.5088,103,75,0,0,29058
117000,b,254,244,0,244,0.5100,93,81,0,0,29302
118000,b,265,224,0,224,0.5419,88,64,0,0,29526
119000,b,274,241,0,241,0.5320,100,82,0,0,29767
120000,b,248,246,0,246,0.5020,82,88,0,0,30013
121000,b,243,255,0,255,0.4880,77,89,0,0,30268
122000,b,250,250,0,250,0.5000,72,94,0,0,30518
123000,b,242,258,0,258,0.4840,75,91,0,0,30776
124000,b,251,252,0,252,0.4990,93,79,0,0,31028
125000,b,260,237,0,237,0.5231,92,74,0,0,31265
126000,b,238,261,0,261,0.4770,76,88,0,0,31526
127000,b,247,255,0,255,0.4920,86,82,0,0,31781
128000,b,250,250,0,250,0.5000,81,87,0,0,32031
129000,b,246,259,0,259,0.4871,81,97,0,0,32290
130000,b,251,243,0,243,0.5081,84,82,0,0,32533
131000,b,255,253,0,253,0.5020,88,94,0,0,32786
132000,b,250,242,0,242,0.5081,85,81,0,0,33028
133000,b,254,251,0,251,0.5030,83,93,0,0,33279
134000,b,255,244,0,244,0.5110,93,81,0,0,33523
135000,b,258,231,0,231,0.5276,80,72,0,0,33754
136000,b,243,265,0,265,0.4783,77,91,0,0,34019
137000,b,244,250,0,250,0.4939,77,79,0,0,34269
138000,b,247,260,0,260,0.4872,75,95,0,0,34529
139000,b,265,248,0,248,0.5166,102,94,0,0,34777
140000,b,247,242,0,242,0.5051,92,82,0,0,35019
141000,b,257,244,0,244,0.5130,91,85,0,0,35263
142000,b,235,258,0,258,0.4767,80,82,0,0,35521
143000,b,247,258,0,258,0.4891,83,89,0,0,35779
144000,b,267,229,0,229,0.5383,90,74,0,0,36008
145000,b,247,259,0,259,0.4881,84,92,0,0,36267
146000,b,236,260,0,260,0.4758,82,86,0,0,36527
147000,b,254,256,0,256,0.4980,95,93,0,0,36783
148000,b,243,248,0,248,0.4949,84,86,0,0,37031
149000,b,252,253,0,253,0.4990,89,91,0,0,37284
150000,b,262,232,0,232,0.5304,83,85,0,0,37516
151000,b,248,258,0,258,0.4901,85,95,0,0,37774
152000,b,255,252,0,252,0.5030,91,103,0,0,38026
153000,b,243,251,0,251,0.4919,87,95,0,0,38277
154000,b,274,233,0,233,0.5404,100,96,0,0,38510
155000,b,237,243,0,243,0.4938,78,78,0,0,38753
156000,b,244,257,0,257,0.4870,65,93,0,0,39010
157000,b,241,266,0,266,0.4753,83,89,0,0,39276
158000,b,233,272,0,272,0.4614,84,98,0,0,39548
159000,b,234,257,0,257,0.4766,69,95,0,0,39805
160000,b,250,252,0,252,0.4980,79,89,0,0,40057
161000,b,250,246,0,246,0.5040,78,82,0,0,40303
162000,b,239,263,0,263,0.4761,77,87,0,0,40566
163000,b,239,264,0,264,0.4751,72,98,0,0,40830
164000,b,248,256,0,256,0.4921,82,96,0,0,41086
165000,b,248,252,0,252,0.4960,87,91,0,0,41338
166000,b,269,224,0,224,0.5456,86,78,0,0,41562
167000,b,225,284,0,284,0.4420,79,103,0,0,41846
168000,b,271,228,0,228,0.5431,99,81,0,0,42074
169000,b,259,255,0,255,0.5039,106,102,0,0,42329
170000,b,236,248,0,248,0.4876,82,94,0,0,42577
171000,b,258,235,0,235,0.5233,87,75,0,0,42812
172000,b,239,262,0,262,0.4770,76,88,0,0,43074
173000,b,259,244,0,244,0.5149,92,78,0,0,43318
174000,b,237,260,0,260,0.4769,75,89,0,0,43578
175000,b,253,254,0,254,0.4990,94,84,0,0,43832
176000,b,260,234,0,234,0.5263,92,74,0,0,44066
177000,b,255,245,0,245,0.5100,82,84,0,0,44311
178000,b,264,239,0,239,0.5249,94,78,0,0,44550
179000,b,244,247,0,247,0.4969,67,87,0,0,44797
180000,b,245,261,0,261,0.4842,72,94,0,0,45058
