step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,480,163,480,0,0.7465,244,53,469,0,480
2000,a,414,46,414,0,0.9000,230,35,835,0,894
3000,a,332,31,332,0,0.9146,81,4,1073,0,1226
4000,a,329,10,329,0,0.9705,34,2,1129,0,1555
5000,a,334,19,334,0,0.9462,41,5,1159,0,1889
6000,a,317,11,317,0,0.9665,19,3,1156,0,2206
7000,a,332,13,332,0,0.9623,34,0,1166,0,2538
8000,a,332,13,332,0,0.9623,25,1,1196,0,2870
9000,a,324,19,324,0,0.9446,29,1,1202,0,3194
10000,a,318,24,318,0,0.9298,36,3,1195,0,3512
11000,a,329,12,329,0,0.9648,42,3,1200,0,3841
12000,a,316,22,316,0,0.9349,34,0,1203,0,4157
13000,a,323,11,323,0,0.9671,36,1,1191,0,4480
14000,a,320,16,320,0,0.9524,29,1,1190,0,4800
15000,a,325,19,325,0,0.9448,38,1,1194,0,5125
16000,a,324,15,324,0,0.9558,37,0,1198,0,5449
17000,a,318,15,318,0,0.9550,36,1,1182,0,5767
18000,a,324,15,324,0,0.9558,35,3,1183,0,6091
19000,a,327,18,327,0,0.9478,32,0,1206,0,6418
20000,a,320,20,320,0,0.9412,37,6,1195,0,6738
21000,a,319,23,319,0,0.9327,38,5,1198,0,7057
22000,a,323,13,323,0,0.9613,30,4,1202,0,7380
23000,a,320,22,320,0,0.9357,37,2,1201,0,7700
24000,a,309,21,309,0,0.9364,25,2,1182,0,8009
25000,a,330,20,330,0,0.9429,42,3,1194,0,8339
26000,a,312,32,312,0,0.9070,24,4,1211,0,8651
27000,a,325,12,325,0,0.9644,33,0,1205,0,8976
28000,a,318,20,318,0,0.9408,29,6,1197,0,9294
29000,a,331,11,331,0,0.9678,37,1,1209,0,9625
30000,a,321,12,321,0,0.9640,30,1,1203,0,9946
31000,a,324,18,324,0,0.9474,37,3,1202,0,10270
32000,a,320,21,320,0,0.9384,44,2,1198,0,10590
33000,a,315,19,315,0,0.9431,33,2,1192,0,10905
34000,a,329,16,329,0,0.9536,39,0,1207,0,11234
35000,a,319,21,319,0,0.9382,35,5,1205,0,11553
36000,a,319,14,319,0,0.9580,34,2,1194,0,11872
37000,a,327,17,327,0,0.9506,32,3,1210,0,12199
38000,a,324,19,324,0,0.9446,38,2,1215,0,12523
39000,a,314,16,314,0,0.9515,30,2,1197,0,12837
40000,a,323,24,323,0,0.9308,39,4,1203,0,13160
41000,a,329,12,329,0,0.9648,45,1,1211,0,13489
42000,a,320,21,320,0,0.9384,44,0,1215,0,13809
43000,a,319,19,319,0,0.9438,30,3,1221,0,14128
44000,a,322,22,322,0,0.9360,42,4,1218,0,14450
45000,a,315,22,315,0,0.9347,39,1,1213,0,14765
46000,a,313,28,313,0,0.9179,38,6,1204,0,15078
47000,a,323,19,323,0,0.9444,39,2,1214,0,15401
48000,a,326,18,326,0,0.9477,39,3,1227,0,15727
49000,a,319,13,319,0,0.9608,35,2,1215,0,16046
50000,a,327,13,327,0,0.9618,41,0,1218,0,16373
51000,a,320,15,320,0,0.9552,38,1,1210,0,16693
52000,a,330,11,330,0,0.9677,41,2,1218,0,17023
53000,a,319,22,319,0,0.9355,39,1,1222,0,17342
54000,a,323,15,323,0,0.9556,37,1,1223,0,17665
55000,a,323,16,323,0,0.9528,34,1,1227,0,17988
56000,a,319,11,319,0,0.9667,29,2,1210,0,18307
57000,a,326,21,326,0,0.9395,39,4,1218,0,18633
58000,a,319,14,319,0,0.9580,31,1,1214,0,18952
59000,a,320,21,320,0,0.9384,48,4,1196,0,19272
60000,a,319,14,319,0,0.9580,42,1,1190,0,19591
61000,a,322,22,322,0,0.9360,42,3,1198,0,19913
62000,a,317,15,317,0,0.9548,27,4,1193,0,20230
63000,a,320,18,320,0,0.9467,25,1,1194,0,20550
64000,a,326,13,326,0,0.9617,35,3,1186,0,20876
65000,a,326,19,326,0,0.9449,42,4,1194,0,21202
66000,a,322,17,322,0,0.9499,43,1,1196,0,21524
67000,a,321,16,321,0,0.9525,37,1,1197,0,21845
68000,a,327,16,327,0,0.9534,47,0,1201,0,22172
69000,a,328,9,328,0,0.9733,45,3,1202,0,22500
70000,a,321,18,321,0,0.9469,41,2,1206,0,22821
71000,a,330,16,330,0,0.9538,44,3,1224,0,23151
