step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,456,179,456,0,0.7181,206,73,447,0,456
2000,a,410,56,410,0,0.8798,215,33,820,0,866
3000,a,352,34,352,0,0.9119,102,13,1077,0,1218
4000,a,317,17,317,0,0.9491,31,2,1144,0,1535
5000,a,322,20,322,0,0.9415,39,5,1139,0,1857
6000,a,327,11,327,0,0.9675,32,0,1154,0,2184
7000,a,322,28,322,0,0.9200,41,4,1163,0,2506
8000,a,322,11,322,0,0.9670,23,0,1173,0,2828
9000,a,331,18,331,0,0.9484,37,4,1184,0,3159
10000,a,318,11,318,0,0.9666,33,2,1166,0,3477
11000,a,330,17,330,0,0.9510,44,0,1181,0,3807
12000,a,323,18,323,0,0.9472,45,2,1183,0,4130
13000,a,327,14,327,0,0.9589,36,1,1202,0,4457
14000,a,316,20,316,0,0.9405,32,1,1194,0,4773
15000,a,325,20,325,0,0.9420,42,1,1199,0,5098
16000,a,320,12,320,0,0.9639,29,1,1196,0,5418
17000,a,322,22,322,0,0.9360,29,2,1205,0,5740
18000,a,321,12,321,0,0.9640,20,1,1202,0,6061
19000,a,333,14,333,0,0.9597,40,2,1208,0,6394
20000,a,330,12,330,0,0.9649,43,1,1220,0,6724
21000,a,314,21,314,0,0.9373,38,3,1207,0,7038
22000,a,320,19,320,0,0.9440,35,2,1209,0,7358
23000,a,319,19,319,0,0.9438,33,1,1207,0,7677
24000,a,319,18,319,0,0.9466,27,4,1203,0,7996
25000,a,314,28,314,0,0.9181,33,3,1196,0,8310
26000,a,330,16,330,0,0.9538,34,2,1218,0,8640
27000,a,324,18,324,0,0.9474,46,1,1215,0,8964
28000,a,323,16,323,0,0.9528,42,2,1219,0,9287
29000,a,322,11,322,0,0.9670,32,1,1218,0,9609
30000,a,315,18,315,0,0.9459,30,3,1199,0,9924
31000,b,622,16,0,16,0.9749,333,9,715,16,9940
32000,b,473,36,0,36,0.9293,361,25,456,52,9976
33000,b,402,86,0,86,0.8238,326,58,278,134,10062
34000,b,276,201,0,201,0.5786,226,129,181,326,10263
35000,b,219,252,0,252,0.4650,166,168,130,549,10515
36000,b,142,293,0,293,0.3264,88,163,91,800,10808
37000,b,80,314,0,314,0.2030,21,107,74,1033,11122
38000,b,68,284,0,284,0.1932,7,35,42,1124,11406
39000,b,66,295,0,295,0.1828,9,35,22,1148,11701
40000,b,36,311,0,311,0.1037,3,35,12,1166,12012
41000,b,19,325,0,325,0.0552,1,38,9,1180,12337
42000,b,25,315,0,315,0.0735,3,40,7,1172,12652
43000,b,22,319,0,319,0.0645,3,42,5,1172,12971
44000,b,12,328,0,328,0.0353,1,39,3,1187,13299
45000,b,18,325,0,325,0.0525,5,46,3,1187,13624
46000,b,17,323,0,323,0.0500,5,37,3,1199,13947
47000,b,16,326,0,326,0.0468,1,34,1,1218,14273
48000,b,17,320,0,320,0.0504,4,39,1,1204,14593
49000,b,14,325,0,325,0.0413,3,34,1,1213,14918
50000,b,25,317,0,317,0.0731,2,34,1,1215,15235
51000,b,22,315,0,315,0.0653,4,32,1,1204,15550
52000,b,23,317,0,317,0.0676,4,38,1,1195,15867
53000,b,10,331,0,331,0.0293,0,42,1,1208,16198
54000,b,26,313,0,313,0.0767,2,49,1,1190,16511
55000,b,17,323,0,323,0.0500,0,45,1,1199,16834
56000,b,13,322,0,322,0.0388,2,37,1,1197,17156
57000,b,16,322,0,322,0.0473,3,38,0,1194,17478
58000,b,18,323,0,323,0.0528,1,36,0,1203,17801
59000,b,19,320,0,320,0.0560,4,33,0,1201,18121
60000,b,13,327,0,327,0.0382,1,36,0,1208,18448
61000,a,16,610,16,0,0.0256,9,317,15,734,18464
62000,a,40,481,40,0,0.0768,31,357,55,472,18504
63000,a,71,414,71,0,0.1464,55,317,125,293,18575
64000,a,181,296,181,0,0.3795,121,228,302,188,18756
65000,a,247,212,247,0,0.5381,146,153,526,132,19003
66000,a,300,153,300,0,0.6623,170,79,790,95,19303
67000,a,290,103,290,0,0.7379,94,30,998,76,19593
68000,a,281,80,281,0,0.7784,34,11,1093,52,19874
69000,a,300,58,300,0,0.8380,27,4,1130,41,20174
70000,a,308,59,308,0,0.8392,43,6,1158,29,20482
71000,a,297,46,297,0,0.8659,35,8,1153,21,20779
72000,a,305,42,305,0,0.8790,38,4,1157,13,21084
73000,a,326,19,326,0,0.9449,32,4,1183,8,21410
74000,a,317,25,317,0,0.9269,35,3,1184,5,21727
75000,a,314,22,314,0,0.9345,35,1,1172,4,22041
76000,a,318,26,318,0,0.9244,27,4,1183,4,22359
77000,a,315,25,315,0,0.9265,33,5,1172,2,22674
78000,a,331,16,331,0,0.9539,40,1,1194,1,23005
79000,a,324,17,324,0,0.9501,45,2,1194,1,23329
80000,a,315,20,315,0,0.9403,33,2,1191,1,23644
81000,a,314,22,314,0,0.9345,26,2,1184,1,23958
82000,a,325,19,325,0,0.9448,40,5,1180,1,24283
83000,a,320,16,320,0,0.9524,30,2,1185,1,24603
84000,a,326,17,326,0,0.9504,44,3,1182,1,24929
85000,a,324,18,324,0,0.9474,36,3,1198,1,25253
86000,a,321,23,321,0,0.9331,39,2,1206,0,25574
87000,a,325,18,325,0,0.9475,40,1,1217,0,25899
88000,a,313,22,313,0,0.9343,37,2,1202,0,26212
89000,a,323,19,323,0,0.9444,36,1,1211,0,26535
90000,a,317,23,317,0,0.9324,40,1,1204,0,26852
91000,b,612,13,0,13,0.9792,327,6,710,12,26865
92000,b,475,43,0,43,0.9170,355,31,462,55,26908
93000,b,385,84,0,84,0.8209,286,59,300,133,26992
94000,b,290,195,0,195,0.5979,213,127,194,316,27187
95000,b,199,271,0,271,0.4234,147,160,120,571,27458
96000,b,129,304,0,304,0.2979,74,137,86,842,27762
97000,b,98,289,0,289,0.2532,30,53,69,1038,28051
98000,b,86,273,0,273,0.2396,10,32,42,1085,28324
99000,b,57,309,0,309,0.1557,8,55,29,1111,28633
100000,b,46,309,0,309,0.1296,1,47,18,1152,28942
101000,b,21,318,0,318,0.0619,2,44,13,1153,29260
102000,b,23,317,0,317,0.0676,1,40,8,1159,29577
103000,b,21,323,0,323,0.0610,5,33,5,1174,29900
104000,b,20,323,0,323,0.0583,1,38,2,1184,30223
105000,b,13,327,0,327,0.0382,3,32,1,1196,30550
106000,b,22,318,0,318,0.0647,5,42,0,1183,30868
107000,b,10,323,0,323,0.0300,0,33,0,1186,31191
108000,b,16,325,0,325,0.0469,1,35,0,1190,31516
109000,b,25,317,0,317,0.0731,3,36,0,1188,31833
110000,b,19,326,0,326,0.0551,3,36,0,1204,32159
111000,b,10,331,0,331,0.0293,0,34,0,1222,32490
112000,b,20,316,0,316,0.0595,4,39,0,1201,32806
