step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,523,124,523,0,0.8083,255,45,373,0,523
2000,a,442,40,442,0,0.9170,263,32,717,0,965
3000,a,370,34,370,0,0.9158,156,9,1010,0,1335
4000,a,331,16,331,0,0.9539,43,1,1145,0,1666
5000,a,329,20,329,0,0.9427,40,3,1157,0,1995
6000,a,325,13,325,0,0.9615,31,2,1152,0,2320
7000,a,330,20,330,0,0.9429,34,2,1158,0,2650
8000,a,326,25,326,0,0.9288,43,1,1158,0,2976
9000,a,333,16,333,0,0.9542,39,1,1168,0,3309
10000,a,337,10,337,0,0.9712,51,2,1166,0,3646
11000,a,317,19,317,0,0.9435,33,3,1160,0,3963
12000,a,341,18,341,0,0.9499,48,4,1182,0,4304
13000,a,321,24,321,0,0.9304,40,5,1181,0,4625
14000,a,324,29,324,0,0.9178,37,2,1196,0,4949
15000,a,327,23,327,0,0.9343,45,3,1193,0,5276
16000,a,329,16,329,0,0.9536,30,2,1204,0,5605
17000,a,328,14,328,0,0.9591,36,4,1191,0,5933
18000,a,331,21,331,0,0.9403,40,0,1208,0,6264
19000,a,327,12,327,0,0.9646,39,3,1199,0,6591
20000,a,333,15,333,0,0.9569,34,2,1212,0,6924
21000,a,326,18,326,0,0.9477,38,3,1199,0,7250
22000,a,328,12,328,0,0.9647,40,0,1201,0,7578
23000,a,324,21,324,0,0.9391,25,4,1212,0,7902
24000,a,332,15,332,0,0.9568,38,1,1210,0,8234
25000,a,331,12,331,0,0.9650,34,1,1216,0,8565
26000,a,331,14,331,0,0.9594,46,0,1210,0,8896
27000,a,327,20,327,0,0.9424,41,3,1212,0,9223
28000,a,322,20,322,0,0.9415,37,3,1211,0,9545
29000,a,321,19,321,0,0.9441,31,3,1200,0,9866
30000,a,335,18,335,0,0.9490,40,5,1211,0,10201
31000,b,396,45,0,45,0.8980,91,14,1033,26,10246
32000,b,379,83,0,83,0.8203,105,23,938,76,10329
