step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,488,156,488,0,0.7578,234,62,314,0,488
2000,a,446,54,446,0,0.8920,281,37,685,0,934
3000,a,387,32,387,0,0.9236,193,14,992,0,1321
4000,a,321,17,321,0,0.9497,39,2,1137,0,1642
5000,a,331,15,331,0,0.9566,41,2,1137,0,1973
6000,a,330,17,330,0,0.9510,31,0,1154,0,2303
7000,a,333,16,333,0,0.9542,40,3,1154,0,2636
8000,a,330,16,330,0,0.9538,30,1,1175,0,2966
9000,a,329,14,329,0,0.9592,37,2,1164,0,3295
10000,a,331,20,331,0,0.9430,51,1,1165,0,3626
11000,a,326,13,326,0,0.9617,28,0,1176,0,3952
12000,a,332,18,332,0,0.9486,39,4,1178,0,4284
13000,a,335,18,335,0,0.9490,45,0,1189,0,4619
14000,a,323,19,323,0,0.9444,33,1,1194,0,4942
15000,a,325,17,325,0,0.9503,32,0,1194,0,5267
16000,a,326,23,326,0,0.9341,41,2,1196,0,5593
17000,a,326,17,326,0,0.9504,36,1,1197,0,5919
18000,a,330,17,330,0,0.9510,44,3,1196,0,6249
19000,a,322,12,322,0,0.9641,39,0,1181,0,6571
20000,a,334,22,334,0,0.9382,38,2,1201,0,6905
21000,a,326,20,326,0,0.9422,37,3,1205,0,7231
22000,a,324,19,324,0,0.9446,32,4,1205,0,7555
23000,a,331,13,331,0,0.9622,35,0,1210,0,7886
24000,a,327,18,327,0,0.9478,39,2,1209,0,8213
25000,a,321,23,321,0,0.9331,32,5,1208,0,8534
26000,a,325,23,325,0,0.9339,36,3,1210,0,8859
27000,a,328,15,328,0,0.9563,37,2,1203,0,9187
28000,a,339,6,339,0,0.9826,25,2,1220,0,9526
29000,a,323,21,323,0,0.9390,48,2,1192,0,9849
30000,a,326,26,326,0,0.9261,40,3,1216,0,10175
31000,b,603,29,0,29,0.9541,326,23,732,13,10204
32000,b,462,64,0,64,0.8783,368,57,477,37,10268
33000,b,360,114,0,114,0.7595,295,91,318,112,10382
34000,b,297,187,0,187,0.6136,235,135,219,247,10569
35000,b,213,264,0,264,0.4465,175,172,155,435,10833
36000,b,153,299,0,299,0.3385,105,180,112,670,11132
37000,b,110,313,0,313,0.2600,51,134,92,887,11445
38000,b,113,279,0,279,0.2883,26,70,67,1028,11724
39000,b,83,297,0,297,0.2184,10,51,46,1111,12021
40000,b,57,295,0,295,0.1619,6,34,35,1121,12316
41000,b,44,320,0,320,0.1209,6,43,25,1139,12636
42000,b,34,321,0,321,0.0958,5,44,19,1163,12957
43000,b,27,322,0,322,0.0774,3,41,10,1178,13279
44000,b,21,321,0,321,0.0614,2,34,8,1180,13600
45000,b,16,329,0,329,0.0464,1,39,7,1180,13929
46000,b,19,325,0,325,0.0552,2,34,7,1181,14254
47000,b,33,318,0,318,0.0940,1,46,5,1175,14572
48000,b,21,328,0,328,0.0602,3,44,4,1182,14900
49000,b,21,326,0,326,0.0605,0,50,2,1182,15226
50000,b,26,324,0,324,0.0743,4,38,1,1197,15550
51000,b,16,330,0,330,0.0462,0,36,1,1208,15880
52000,b,16,326,0,326,0.0468,1,40,0,1199,16206
53000,b,9,335,0,335,0.0262,2,36,0,1202,16541
54000,b,15,327,0,327,0.0439,2,35,0,1198,16868
55000,b,12,337,0,337,0.0344,0,33,0,1216,17205
56000,b,16,327,0,327,0.0466,2,37,0,1206,17532
57000,b,17,332,0,332,0.0487,1,40,0,1222,17864
58000,b,14,323,0,323,0.0415,0,42,0,1206,18187
59000,b,17,318,0,318,0.0507,2,28,0,1192,18505
60000,b,13,334,0,334,0.0375,2,35,0,1197,18839
61000,a,35,598,35,0,0.0553,24,325,19,711,18874
62000,a,64,456,64,0,0.1231,47,358,54,454,18938
63000,a,126,347,126,0,0.2664,85,282,130,289,19064
64000,a,215,261,215,0,0.4517,140,197,287,203,19279
65000,a,282,203,282,0,0.5814,179,152,501,141,19561
66000,a,306,136,306,0,0.6923,168,87,745,103,19867
67000,a,311,90,311,0,0.7756,104,35,965,78,20178
68000,a,287,96,287,0,0.7493,41,15,1088,62,20465
69000,a,291,77,291,0,0.7908,45,6,1110,45,20756
70000,a,311,51,311,0,0.8591,46,6,1139,34,21067
71000,a,314,37,314,0,0.8946,44,1,1157,20,21381
72000,a,321,31,321,0,0.9119,50,3,1159,17,21702
73000,a,323,31,323,0,0.9124,36,1,1200,9,22025
74000,a,323,21,323,0,0.9390,43,5,1181,6,22348
75000,a,322,26,322,0,0.9253,34,6,1191,4,22670
76000,a,321,25,321,0,0.9277,28,4,1192,3,22991
77000,a,336,19,336,0,0.9465,45,1,1210,1,23327
78000,a,326,16,326,0,0.9532,34,2,1213,1,23653
79000,a,316,21,316,0,0.9377,29,3,1192,1,23969
80000,a,330,17,330,0,0.9510,48,2,1182,1,24299
81000,a,322,22,322,0,0.9360,39,2,1181,1,24621
82000,a,330,20,330,0,0.9429,36,5,1188,0,24951
83000,a,328,13,328,0,0.9619,34,2,1187,0,25279
84000,a,327,18,327,0,0.9478,41,0,1187,0,25606
85000,a,322,24,322,0,0.9306,30,7,1183,0,25928
86000,a,331,17,331,0,0.9511,31,0,1201,0,26259
87000,a,330,16,330,0,0.9538,37,1,1196,0,26589
88000,a,325,26,325,0,0.9259,41,3,1198,0,26914
89000,a,333,9,333,0,0.9737,43,1,1192,0,27247
90000,a,326,18,326,0,0.9477,37,2,1201,0,27573
91000,b,606,28,0,28,0.9558,330,19,733,13,27601
92000,b,443,69,0,69,0.8652,355,49,457,57,27670
93000,b,351,128,0,128,0.7328,297,79,310,133,27798
94000,b,271,209,0,209,0.5646,207,145,205,294,28007
95000,b,217,262,0,262,0.4530,169,164,143,489,28269
96000,b,131,313,0,313,0.2950,97,166,101,733,28582
97000,b,106,313,0,313,0.2530,52,124,75,944,28895
98000,b,84,291,0,291,0.2240,24,52,55,1072,29186
99000,b,72,291,0,291,0.1983,9,33,37,1113,29477
100000,b,52,307,0,307,0.1448,7,31,25,1126,29784
101000,b,46,320,0,320,0.1257,6,51,14,1144,30104
102000,b,35,319,0,319,0.0989,6,41,6,1169,30423
103000,b,23,322,0,322,0.0667,3,40,3,1170,30745
104000,b,30,319,0,319,0.0860,3,38,1,1167,31064
105000,b,21,319,0,319,0.0618,1,23,0,1172,31383
106000,b,23,334,0,334,0.0644,4,53,0,1173,31717
107000,b,13,328,0,328,0.0381,2,46,0,1177,32045
108000,b,15,331,0,331,0.0434,0,39,0,1191,32376
109000,b,21,321,0,321,0.0614,3,36,0,1181,32697
110000,b,17,332,0,332,0.0487,0,45,0,1183,33029
111000,b,24,320,0,320,0.0698,3,34,0,1185,33349
112000,b,16,336,0,336,0.0455,2,37,0,1199,33685
113000,b,18,328,0,328,0.0520,0,43,0,1191,34013
114000,b,14,338,0,338,0.0398,0,44,0,1216,34351
115000,b,12,324,0,324,0.0357,1,34,0,1199,34675
116000,b,19,329,0,329,0.0546,3,41,0,1202,35004
117000,b,13,330,0,330,0.0379,0,34,0,1213,35334
118000,b,10,329,0,329,0.0295,1,36,0,1206,35663
119000,b,12,335,0,335,0.0346,1,35,0,1215,35998
120000,b,16,322,0,322,0.0473,2,31,0,1200,36320
121000,a,35,589,35,0,0.0561,23,297,17,741,36355
122000,a,59,467,59,0,0.1122,44,356,45,478,36414
123000,a,108,384,108,0,0.2195,79,322,110,307,36522
124000,a,183,286,183,0,0.3902,130,225,244,205,36705
125000,a,270,207,270,0,0.5660,167,168,439,141,36975
126000,a,305,154,305,0,0.6645,173,104,686,99,37280
127000,a,311,101,311,0,0.7549,120,42,912,70,37591
128000,a,307,80,307,0,0.7933,52,12,1082,53,37898
129000,a,289,73,289,0,0.7983,33,7,1109,36,38187
130000,a,310,47,310,0,0.8683,35,2,1123,22,38497
131000,a,320,42,320,0,0.8840,59,2,1130,18,38817
132000,a,314,33,314,0,0.9049,41,2,1140,12,39131
133000,a,324,26,324,0,0.9257,48,2,1134,8,39455
134000,a,322,31,322,0,0.9122,40,7,1150,5,39777
135000,a,327,18,327,0,0.9478,37,0,1160,5,40104
136000,a,334,19,334,0,0.9462,48,1,1165,5,40438
137000,a,310,27,310,0,0.9199,32,2,1152,4,40748
138000,a,333,19,333,0,0.9460,40,0,1170,1,41081
139000,a,323,21,323,0,0.9390,34,1,1175,0,41404
140000,a,335,12,335,0,0.9654,38,2,1181,0,41739
141000,a,327,20,327,0,0.9424,40,2,1177,0,42066
142000,a,332,10,332,0,0.9708,33,0,1175,0,42398
143000,a,339,10,339,0,0.9713,30,2,1194,0,42737
144000,a,330,17,330,0,0.9510,39,3,1188,0,43067
145000,a,328,12,328,0,0.9647,32,0,1187,0,43395
146000,a,336,19,336,0,0.9465,42,1,1209,0,43731
147000,a,326,21,326,0,0.9395,43,3,1206,0,44057
148000,a,326,13,326,0,0.9617,31,2,1212,0,44383
149000,a,321,20,321,0,0.9413,30,0,1196,0,44704
150000,a,336,13,336,0,0.9628,37,2,1206,0,45040
151000,b,604,26,0,26,0.9587,325,19,710,12,45066
152000,b,449,67,0,67,0.8702,352,41,477,48,45133
153000,b,379,120,0,120,0.7595,317,85,320,122,45253
154000,b,286,191,0,191,0.5996,244,120,210,273,45444
155000,b,211,277,0,277,0.4324,172,188,146,480,45721
156000,b,120,326,0,326,0.2691,95,192,107,747,46047
157000,b,88,307,0,307,0.2228,34,115,87,957,46354
