step,season,bloomx,bloomy,paidx,paidy,policy,flx,fly,tokx,toky,score
1000,a,306,278,306,0,0.5240,93,75,0,0,306
2000,a,239,258,239,0,0.4809,82,80,0,0,545
3000,a,266,241,266,0,0.5247,90,86,0,0,811
4000,a,259,242,259,0,0.5170,96,82,0,0,1070
5000,a,243,267,243,0,0.4765,93,105,0,0,1313
6000,a,247,232,247,0,0.5157,83,73,0,0,1560
7000,a,251,252,251,0,0.4990,78,84,0,0,1811
8000,a,257,252,257,0,0.5049,104,76,0,0,2068
9000,a,257,231,257,0,0.5266,88,68,0,0,2325
10000,a,254,245,254,0,0.5090,82,72,0,0,2579
11000,a,246,266,246,0,0.4805,78,100,0,0,2825
12000,a,264,230,264,0,0.5344,92,74,0,0,3089
13000,a,231,272,231,0,0.4592,83,89,0,0,3320
14000,a,249,248,249,0,0.5010,72,94,0,0,3569
15000,a,242,263,242,0,0.4792,86,90,0,0,3811
16000,a,257,239,257,0,0.5181,84,84,0,0,4068
17000,a,252,252,252,0,0.5000,96,80,0,0,4320
18000,a,257,239,257,0,0.5181,94,74,0,0,4577
19000,a,236,256,236,0,0.4797,78,74,0,0,4813
20000,a,257,242,257,0,0.5150,64,86,0,0,5070
21000,a,255,262,255,0,0.4932,92,92,0,0,5325
22000,a,250,250,250,0,0.5000,93,91,0,0,5575
23000,a,246,249,246,0,0.4970,75,99,0,0,5821
24000,a,251,256,251,0,0.4951,92,96,0,0,6072
25000,a,252,239,252,0,0.5132,88,82,0,0,6324
26000,a,251,248,251,0,0.5030,95,73,0,0,6575
27000,a,240,261,240,0,0.4790,86,84,0,0,6815
28000,a,254,244,254,0,0.5100,84,82,0,0,7069
29000,a,235,268,235,0,0.4672,74,98,0,0,7304
30000,a,263,248,263,0,0.5147,107,87,0,0,7567
31000,b,251,236,0,236,0.5154,90,78,0,0,7803
32000,b,249,253,0,253,0.4960,90,82,0,0,8056
33000,b,263,238,0,238,0.5250,94,80,0,0,8294
34000,b,255,236,0,236,0.5193,81,75,0,0,8530
35000,b,258,248,0,248,0.5099,92,76,0,0,8778
36000,b,249,259,0,259,0.4902,86,98,0,0,9037
37000,b,255,236,0,236,0.5193,85,81,0,0,9273
38000,b,252,262,0,262,0.4903,98,96,0,0,9535
39000,b,234,256,0,256,0.4776,92,82,0,0,9791
40000,b,237,262,0,262,0.4749,83,89,0,0,10053
41000,b,266,227,0,227,0.5396,80,78,0,0,10280
42000,b,256,248,0,248,0.5079,85,81,0,0,10528
43000,b,253,250,0,250,0.5030,89,83,0,0,10778
44000,b,245,263,0,263,0.4823,84,104,0,0,11041
45000,b,241,243,0,243,0.4979,72,84,0,0,11284
46000,b,243,271,0,271,0.4728,83,101,0,0,11555
47000,b,255,231,0,231,0.5247,78,78,0,0,11786
48000,b,256,252,0,252,0.5039,79,93,0,0,12038
49000,b,255,242,0,242,0.5131,81,85,0,0,12280
50000,b,261,240,0,240,0.5210,83,85,0,0,12520
51000,b,264,241,0,241,0.5228,85,93,0,0,12761
52000,b,235,263,0,263,0.4719,94,80,0,0,13024
53000,b,245,249,0,249,0.4960,75,87,0,0,13273
54000,b,263,239,0,239,0.5239,87,79,0,0,13512
55000,b,265,232,0,232,0.5332,83,77,0,0,13744
56000,b,273,228,0,228,0.5449,81,81,0,0,13972
57000,b,266,237,0,237,0.5288,85,83,0,0,14209
58000,b,252,254,0,254,0.4980,93,87,0,0,14463
59000,b,241,250,0,250,0.4908,74,88,0,0,14713
60000,b,250,260,0,260,0.4902,97,85,0,0,14973
61000,a,253,242,253,0,0.5111,90,82,0,0,15226
62000,a,257,241,257,0,0.5161,94,74,0,0,15483
63000,a,243,264,243,0,0.4793,81,101,0,0,15726
64000,a,246,252,246,0,0.4940,87,91,0,0,15972
65000,a,267,240,267,0,0.5266,105,87,0,0,16239
66000,a,269,226,269,0,0.5434,94,88,0,0,16508
67000,a,226,259,226,0,0.4660,69,83,0,0,16734
68000,a,253,259,253,0,0.4941,82,94,0,0,16987
69000,a,249,240,249,0,0.5092,80,74,0,0,17236
70000,a,236,268,236,0,0.4683,81,81,0,0,17472
71000,a,249,262,249,0,0.4873,84,100,0,0,17721
72000,a,254,233,254,0,0.5216,84,74,0,0,17975
73000,a,247,268,247,0,0.4796,93,95,0,0,18222
74000,a,246,254,246,0,0.4920,96,92,0,0,18468
75000,a,242,254,242,0,0.4879,99,81,0,0,18710
76000,a,245,256,245,0,0.4890,96,86,0,0,18955
77000,a,256,247,256,0,0.5089,96,92,0,0,19211
78000,a,261,228,261,0,0.5337,83,83,0,0,19472
79000,a,237,264,237,0,0.4731,87,81,0,0,19709
80000,a,270,237,270,0,0.5325,105,77,0,0,19979
81000,a,254,234,254,0,0.5205,80,78,0,0,20233
82000,a,275,238,275,0,0.5361,100,84,0,0,20508
83000,a,262,221,262,0,0.5424,81,69,0,0,20770
84000,a,242,276,242,0,0.4672,88,98,0,0,21012
85000,a,245,240,245,0,0.5052,74,82,0,0,21257
86000,a,288,225,288,0,0.5614,113,69,0,0,21545
87000,a,242,241,242,0,0.5010,79,69,0,0,21787
88000,a,252,272,252,0,0.4809,96,100,0,0,22039
89000,a,247,242,247,0,0.5051,93,81,0,0,22286
90000,a,241,257,241,0,0.4839,84,86,0,0,22527
91000,b,269,233,0,233,0.5359,95,79,0,0,22760
92000,b,257,245,0,245,0.5120,94,84,0,0,23005
93000,b,249,242,0,242,0.5071,84,76,0,0,23247
94000,b,263,239,0,239,0.5239,92,72,0,0,23486
95000,b,246,248,0,248,0.4980,78,74,0,0,23734
96000,b,267,248,0,248,0.5184,95,87,0,0,23982
97000,b,257,239,0,239,0.5181,77,97,0,0,24221
98000,b,243,254,0,254,0.4889,85,83,0,0,24475
99000,b,232,267,0,267,0.4649,78,88,0,0,24742
100000,b,267,233,0,233,0.5340,87,79,0,0,24975
101000,b,266,234,0,234,0.5320,94,72,0,0,25209
102000,b,240,268,0,268,0.4724,88,94,0,0,25477
103000,b,261,230,0,230,0.5316,92,72,0,0,25707
104000,b,252,250,0,250,0.5020,89,79,0,0,25957
105000,b,254,246,0,246,0.5080,87,81,0,0,26203
106000,b,231,269,0,269,0.4620,74,94,0,0,26472
107000,b,258,247,0,247,0.5109,84,94,0,0,26719
108000,b,250,254,0,254,0.4960,91,95,0,0,26973
109000,b,239,257,0,257,0.4819,82,96,0,0,27230
110000,b,259,230,0,230,0.5297,81,75,0,0,27460
111000,b,246,265,0,265,0.4814,81,97,0,0,27725
112000,b,264,239,0,239,0.5249,100,84,0,0,27964
113000,b,255,249,0,249,0.5060,95,97,0,0,28213
114000,b,233,257,0,257,0.4755,83,89,0,0,28470
115000,b,265,240,0,240,0.5248,88,94,0,0,28710
116000,b,250,240,0,240,0.5102,75,87,0,0,28950
117000,b,240,268,0,268,0.4724,90,88,0,0,29218
118000,b,259,251,0,251,0.5078,92,106,0,0,29469
119000,b,252,232,0,232,0.5207,82,84,0,0,29701
120000,b,229,273,0,273,0.4562,74,96,0,0,29974
121000,a,240,257,240,0,0.4829,76,88,0,0,30214
122000,a,251,247,251,0,0.5040,84,76,0,0,30465
123000,a,270,227,270,0,0.5433,88,66,0,0,30735
124000,a,256,248,256,0,0.5079,94,68,0,0,30991
125000,a,252,246,252,0,0.5060,78,80,0,0,31243
126000,a,243,253,243,0,0.4899,72,78,0,0,31486
127000,a,255,254,255,0,0.5010,80,88,0,0,31741
128000,a,248,249,248,0,0.4990,84,78,0,0,31989
129000,a,235,262,235,0,0.4728,70,86,0,0,32224
130000,a,264,245,264,0,0.5187,87,87,0,0,32488
131000,a,231,256,231,0,0.4743,77,71,0,0,32719
132000,a,255,254,255,0,0.5010,79,87,0,0,32974
133000,a,247,263,247,0,0.4843,97,89,0,0,33221
134000,a,221,267,221,0,0.4529,80,82,0,0,33442
135000,a,240,269,240,0,0.4715,81,99,0,0,33682
136000,a,267,223,267,0,0.5449,81,79,0,0,33949
137000,a,224,275,224,0,0.4489,63,95,0,0,34173
138000,a,264,244,264,0,0.5197,91,83,0,0,34437
139000,a,263,242,263,0,0.5208,99,85,0,0,34700
140000,a,262,239,262,0,0.5230,94,92,0,0,34962
141000,a,264,225,264,0,0.5399,93,71,0,0,35226
142000,a,252,263,252,0,0.4893,93,101,0,0,35478
143000,a,252,242,252,0,0.5101,102,80,0,0,35730
144000,a,256,247,256,0,0.5089,99,89,0,0,35986
145000,a,243,251,243,0,0.4919,83,93,0,0,36229
146000,a,212,291,212,0,0.4215,78,104,0,0,36441
147000,a,237,251,237,0,0.4857,65,93,0,0,36678
148000,a,247,251,247,0,0.4960,71,83,0,0,36925
149000,a,249,257,249,0,0.4921,70,96,0,0,37174
150000,a,250,250,250,0,0.5000,86,80,0,0,37424
151000,b,249,254,0,254,0.4950,85,87,0,0,37678
152000,b,246,250,0,250,0.4960,72,92,0,0,37928
153000,b,237,265,0,265,0.4721,79,89,0,0,38193
154000,b,254,250,0,250,0.5040,88,88,0,0,38443
155000,b,243,259,0,259,0.4841,89,91,0,0,38702
156000,b,242,249,0,249,0.4929,80,82,0,0,38951
157000,b,247,251,0,251,0.4960,81,77,0,0,39202
158000,b,227,277,0,277,0.4504,63,103,0,0,39479
