cfg,seed,events,scoretail,score,tokx,toky,recon
agent-null,1,180000,45072,45072,0,0,ok
agent-null,2,180000,44975,44975,0,0,ok
agent-null,3,180000,45084,45084,0,0,ok
agent-null,4,180000,45172,45172,0,0,ok
agent-null,5,180000,44964,44964,0,0,ok
agent-null,6,180000,45305,45305,0,0,ok
agent-lri,1,180000,42883,42883,5,1202,ok
agent-lri,2,180000,42166,42166,8,1187,ok
agent-lri,3,180000,42492,42492,12,1174,ok
agent-lri,4,180000,42575,42575,9,1185,ok
agent-lri,5,180000,42645,42645,6,1202,ok
agent-lri,6,180000,42534,42534,11,1194,ok
agent-lrp,1,180000,53729,53729,0,1201,ok
agent-lrp,2,180000,53777,53777,0,1211,ok
agent-lrp,3,180000,53878,53878,0,1220,ok
agent-lrp,4,180000,53825,53825,0,1206,ok
agent-lrp,5,180000,53866,53866,0,1185,ok
agent-lrp,6,180000,53968,53968,0,1218,ok
