lambda,wi,wr,seed,events,score,extinct
0.3125,5,16,1,13,-1,1
0.3125,5,16,2,5,-1,1
0.3125,5,16,3,3,-1,1
0.3125,5,16,4,3,-1,1
0.3125,5,16,5,1,-1,1
0.3125,5,16,6,1,-1,1
0.3125,5,16,7,31,-1,1
0.3125,5,16,8,1,-1,1
0.3125,5,16,9,1,-1,1
0.3125,5,16,10,17,-1,1
0.3125,5,16,11,3,-1,1
0.3125,5,16,12,23,-1,1
0.3125,5,16,13,13,-1,1
0.3125,5,16,14,11,-1,1
0.3125,5,16,15,1,-1,1
0.3125,5,16,16,1,-1,1
0.3125,5,16,17,3,-1,1
0.3125,5,16,18,39,-1,1
0.3125,5,16,19,1,-1,1
0.3125,5,16,20,1,-1,1
0.3125,5,16,21,3,-1,1
0.3125,5,16,22,39,-1,1
0.3125,5,16,23,7,-1,1
0.3125,5,16,24,1,-1,1
0.3125,5,16,25,177,-1,1
0.3125,5,16,26,3,-1,1
0.3125,5,16,27,3,-1,1
0.3125,5,16,28,7,-1,1
0.3125,5,16,29,13,-1,1
0.3125,5,16,30,1,-1,1
0.3125,5,16,31,289,-1,1
0.3125,5,16,32,11,-1,1
0.3125,5,16,33,1,-1,1
0.3125,5,16,34,1,-1,1
0.3125,5,16,35,5,-1,1
0.3125,5,16,36,1,-1,1
0.3125,5,16,37,1,-1,1
0.3125,5,16,38,215,-1,1
0.3125,5,16,39,3,-1,1
0.3125,5,16,40,3,-1,1
0.3125,5,16,41,5,-1,1
0.3125,5,16,42,1,-1,1
0.3125,5,16,43,1,-1,1
0.3125,5,16,44,5,-1,1
0.3125,5,16,45,21,-1,1
0.3125,5,16,46,7,-1,1
0.3125,5,16,47,145,-1,1
0.3125,5,16,48,7,-1,1
0.3125,5,16,49,1,-1,1
0.3125,5,16,50,3,-1,1
0.3750,6,16,1,13,-1,1
0.3750,6,16,2,5,-1,1
0.3750,6,16,3,3,-1,1
0.3750,6,16,4,3,-1,1
0.3750,6,16,5,1,-1,1
0.3750,6,16,6,1,-1,1
0.3750,6,16,7,31,-1,1
0.3750,6,16,8,1,-1,1
0.3750,6,16,9,1,-1,1
0.3750,6,16,10,17,-1,1
0.3750,6,16,11,3,-1,1
0.3750,6,16,12,497,-1,1
0.3750,6,16,13,13,-1,1
0.3750,6,16,14,11,-1,1
0.3750,6,16,15,1,-1,1
0.3750,6,16,16,1,-1,1
0.3750,6,16,17,3,-1,1
0.3750,6,16,18,27,-1,1
0.3750,6,16,19,1,-1,1
0.3750,6,16,20,1,-1,1
0.3750,6,16,21,3,-1,1
0.3750,6,16,22,13,-1,1
0.3750,6,16,23,7,-1,1
0.3750,6,16,24,1,-1,1
0.3750,6,16,25,83,-1,1
0.3750,6,16,26,3,-1,1
0.3750,6,16,27,3,-1,1
0.3750,6,16,28,7,-1,1
0.3750,6,16,29,13,-1,1
0.3750,6,16,30,1,-1,1
0.3750,6,16,31,263,-1,1
0.3750,6,16,32,11,-1,1
0.3750,6,16,33,1,-1,1
0.3750,6,16,34,1,-1,1
0.3750,6,16,35,5,-1,1
0.3750,6,16,36,1,-1,1
0.3750,6,16,37,1,-1,1
0.3750,6,16,38,197,-1,1
0.3750,6,16,39,3,-1,1
0.3750,6,16,40,3,-1,1
0.3750,6,16,41,5,-1,1
0.3750,6,16,42,1,-1,1
0.3750,6,16,43,1,-1,1
0.3750,6,16,44,5,-1,1
0.3750,6,16,45,21,-1,1
0.3750,6,16,46,9,-1,1
0.3750,6,16,47,49,-1,1
0.3750,6,16,48,7,-1,1
0.3750,6,16,49,1,-1,1
0.3750,6,16,50,3,-1,1
0.4375,7,16,1,20000,158,0
0.4375,7,16,2,5,-1,1
0.4375,7,16,3,20000,124,0
0.4375,7,16,4,3,-1,1
0.4375,7,16,5,1,-1,1
0.4375,7,16,6,1,-1,1
0.4375,7,16,7,31,-1,1
0.4375,7,16,8,1,-1,1
0.4375,7,16,9,1,-1,1
0.4375,7,16,10,20000,68,0
0.4375,7,16,11,3,-1,1
0.4375,7,16,12,20000,114,0
0.4375,7,16,13,13,-1,1
0.4375,7,16,14,11,-1,1
0.4375,7,16,15,1,-1,1
0.4375,7,16,16,1,-1,1
0.4375,7,16,17,3,-1,1
0.4375,7,16,18,20000,116,0
0.4375,7,16,19,1,-1,1
0.4375,7,16,20,1,-1,1
0.4375,7,16,21,3,-1,1
0.4375,7,16,22,13,-1,1
0.4375,7,16,23,7,-1,1
0.4375,7,16,24,1,-1,1
0.4375,7,16,25,20000,140,0
0.4375,7,16,26,3,-1,1
0.4375,7,16,27,3,-1,1
0.4375,7,16,28,7,-1,1
0.4375,7,16,29,13,-1,1
0.4375,7,16,30,1,-1,1
0.4375,7,16,31,647,-1,1
0.4375,7,16,32,63,-1,1
0.4375,7,16,33,1,-1,1
0.4375,7,16,34,1,-1,1
0.4375,7,16,35,5,-1,1
0.4375,7,16,36,147,-1,1
0.4375,7,16,37,1,-1,1
0.4375,7,16,38,749,-1,1
0.4375,7,16,39,3,-1,1
0.4375,7,16,40,3,-1,1
0.4375,7,16,41,5,-1,1
0.4375,7,16,42,1,-1,1
0.4375,7,16,43,797,-1,1
0.4375,7,16,44,5,-1,1
0.4375,7,16,45,63,-1,1
0.4375,7,16,46,20000,118,0
0.4375,7,16,47,31,-1,1
0.4375,7,16,48,33,-1,1
0.4375,7,16,49,1,-1,1
0.4375,7,16,50,3,-1,1
0.5000,8,16,1,20000,202,0
0.5000,8,16,2,20000,178,0
0.5000,8,16,3,20000,142,0
0.5000,8,16,4,3,-1,1
0.5000,8,16,5,1,-1,1
0.5000,8,16,6,1,-1,1
0.5000,8,16,7,31,-1,1
0.5000,8,16,8,20000,178,0
0.5000,8,16,9,1,-1,1
0.5000,8,16,10,20000,208,0
0.5000,8,16,11,3,-1,1
0.5000,8,16,12,20000,182,0
0.5000,8,16,13,13,-1,1
0.5000,8,16,14,11,-1,1
0.5000,8,16,15,20000,202,0
0.5000,8,16,16,1,-1,1
0.5000,8,16,17,3,-1,1
0.5000,8,16,18,20000,172,0
0.5000,8,16,19,1,-1,1
0.5000,8,16,20,1,-1,1
0.5000,8,16,21,5,-1,1
0.5000,8,16,22,13,-1,1
0.5000,8,16,23,7,-1,1
0.5000,8,16,24,1,-1,1
0.5000,8,16,25,20000,174,0
0.5000,8,16,26,20000,220,0
0.5000,8,16,27,3,-1,1
0.5000,8,16,28,7,-1,1
0.5000,8,16,29,13,-1,1
0.5000,8,16,30,1,-1,1
0.5000,8,16,31,20000,184,0
0.5000,8,16,32,20000,186,0
0.5000,8,16,33,1,-1,1
0.5000,8,16,34,1,-1,1
0.5000,8,16,35,5,-1,1
0.5000,8,16,36,20000,190,0
0.5000,8,16,37,1,-1,1
0.5000,8,16,38,20000,174,0
0.5000,8,16,39,3,-1,1
0.5000,8,16,40,3,-1,1
0.5000,8,16,41,5,-1,1
0.5000,8,16,42,1,-1,1
0.5000,8,16,43,20000,214,0
0.5000,8,16,44,5,-1,1
0.5000,8,16,45,20000,184,0
0.5000,8,16,46,20000,216,0
0.5000,8,16,47,20000,178,0
0.5000,8,16,48,20000,140,0
0.5000,8,16,49,1,-1,1
0.5000,8,16,50,3,-1,1
0.5625,9,16,1,20000,236,0
0.5625,9,16,2,20000,256,0
0.5625,9,16,3,20000,226,0
0.5625,9,16,4,3,-1,1
0.5625,9,16,5,1,-1,1
