lambda,wi,wr,seed,events,score,extinct
0.3750,12,32,1,13,-1,1
0.3750,12,32,2,5,-1,1
0.3750,12,32,3,3,-1,1
0.3750,12,32,4,3,-1,1
0.3750,12,32,5,1,-1,1
0.3750,12,32,6,1,-1,1
0.3750,12,32,7,31,-1,1
0.3750,12,32,8,1,-1,1
0.3750,12,32,9,1,-1,1
0.3750,12,32,10,17,-1,1
0.3750,12,32,11,3,-1,1
0.3750,12,32,12,497,-1,1
0.3750,12,32,13,13,-1,1
0.3750,12,32,14,11,-1,1
0.3750,12,32,15,1,-1,1
0.3750,12,32,16,1,-1,1
0.3750,12,32,17,3,-1,1
0.3750,12,32,18,27,-1,1
0.3750,12,32,19,1,-1,1
0.3750,12,32,20,1,-1,1
0.3750,12,32,21,3,-1,1
0.3750,12,32,22,13,-1,1
0.3750,12,32,23,7,-1,1
0.3750,12,32,24,1,-1,1
0.3750,12,32,25,83,-1,1
0.3750,12,32,26,3,-1,1
0.3750,12,32,27,3,-1,1
0.3750,12,32,28,7,-1,1
0.3750,12,32,29,13,-1,1
0.3750,12,32,30,1,-1,1
0.3750,12,32,31,263,-1,1
0.3750,12,32,32,11,-1,1
0.3750,12,32,33,1,-1,1
0.3750,12,32,34,1,-1,1
0.3750,12,32,35,5,-1,1
0.3750,12,32,36,1,-1,1
0.3750,12,32,37,1,-1,1
0.3750,12,32,38,197,-1,1
0.3750,12,32,39,3,-1,1
0.3750,12,32,40,3,-1,1
0.3750,12,32,41,5,-1,1
0.3750,12,32,42,1,-1,1
0.3750,12,32,43,1,-1,1
0.3750,12,32,44,5,-1,1
0.3750,12,32,45,21,-1,1
0.3750,12,32,46,9,-1,1
0.3750,12,32,47,49,-1,1
0.3750,12,32,48,7,-1,1
0.3750,12,32,49,1,-1,1
0.3750,12,32,50,3,-1,1
0.3750,12,32,51,41,-1,1
0.3750,12,32,52,15,-1,1
0.3750,12,32,53,25,-1,1
0.3750,12,32,54,1,-1,1
0.3750,12,32,55,1,-1,1
0.3750,12,32,56,1,-1,1
0.3750,12,32,57,7,-1,1
0.3750,12,32,58,261,-1,1
0.3750,12,32,59,1,-1,1
0.3750,12,32,60,5,-1,1
0.3750,12,32,61,27,-1,1
0.3750,12,32,62,39,-1,1
0.3750,12,32,63,5,-1,1
0.3750,12,32,64,357,-1,1
0.3750,12,32,65,1,-1,1
0.3750,12,32,66,1,-1,1
0.3750,12,32,67,3,-1,1
0.3750,12,32,68,25,-1,1
0.3750,12,32,69,7,-1,1
0.3750,12,32,70,199,-1,1
0.3750,12,32,71,255,-1,1
0.3750,12,32,72,1,-1,1
0.3750,12,32,73,1,-1,1
0.3750,12,32,74,2485,-1,1
0.3750,12,32,75,1,-1,1
0.3750,12,32,76,1,-1,1
0.3750,12,32,77,1,-1,1
0.3750,12,32,78,7,-1,1
0.3750,12,32,79,1,-1,1
0.3750,12,32,80,3,-1,1
0.3750,12,32,81,15,-1,1
0.3750,12,32,82,5,-1,1
0.3750,12,32,83,103,-1,1
0.3750,12,32,84,1,-1,1
0.3750,12,32,85,11,-1,1
0.3750,12,32,86,5,-1,1
0.3750,12,32,87,1,-1,1
0.3750,12,32,88,1,-1,1
0.3750,12,32,89,367,-1,1
0.3750,12,32,90,3,-1,1
0.3750,12,32,91,3,-1,1
0.3750,12,32,92,43,-1,1
0.3750,12,32,93,59,-1,1
0.3750,12,32,94,1,-1,1
0.3750,12,32,95,3,-1,1
0.3750,12,32,96,1,-1,1
0.3750,12,32,97,103,-1,1
0.3750,12,32,98,1,-1,1
0.3750,12,32,99,25,-1,1
0.3750,12,32,100,1,-1,1
0.3750,12,32,101,3,-1,1
0.3750,12,32,102,1,-1,1
0.3750,12,32,103,1,-1,1
0.3750,12,32,104,1,-1,1
0.3750,12,32,105,65,-1,1
0.3750,12,32,106,87,-1,1
0.3750,12,32,107,1,-1,1
0.3750,12,32,108,5,-1,1
0.3750,12,32,109,7,-1,1
0.3750,12,32,110,49,-1,1
0.3750,12,32,111,273,-1,1
0.3750,12,32,112,1,-1,1
0.3750,12,32,113,3,-1,1
0.3750,12,32,114,7,-1,1
0.3750,12,32,115,1,-1,1
0.3750,12,32,116,1,-1,1
0.3750,12,32,117,145,-1,1
0.3750,12,32,118,3,-1,1
0.3750,12,32,119,1,-1,1
0.3750,12,32,120,17,-1,1
0.3750,12,32,121,13,-1,1
0.3750,12,32,122,91,-1,1
0.3750,12,32,123,1,-1,1
0.3750,12,32,124,3693,-1,1
0.3750,12,32,125,1,-1,1
