lambda,wi,wr,seed,events,score,extinct
0.4062,13,32,1,3,-1,1
0.4062,13,32,2,149,-1,1
0.4062,13,32,3,105,-1,1
0.4062,13,32,4,1,-1,1
0.4062,13,32,5,1501,-1,1
0.4062,13,32,6,1,-1,1
0.4062,13,32,7,1,-1,1
0.4062,13,32,8,141,-1,1
0.4062,13,32,9,1,-1,1
0.4062,13,32,10,1,-1,1
0.4062,13,32,11,151,-1,1
0.4062,13,32,12,1,-1,1
0.4062,13,32,13,335,-1,1
0.4062,13,32,14,25,-1,1
0.4062,13,32,15,3,-1,1
0.4062,13,32,16,121,-1,1
0.4062,13,32,17,1,-1,1
0.4062,13,32,18,15,-1,1
0.4062,13,32,19,1987,-1,1
0.4062,13,32,20,9,-1,1
0.4062,13,32,21,733,-1,1
0.4062,13,32,22,677,-1,1
0.4062,13,32,23,1,-1,1
0.4062,13,32,24,3,-1,1
0.4062,13,32,25,3,-1,1
0.4062,13,32,26,1,-1,1
0.4062,13,32,27,89,-1,1
0.4062,13,32,28,69,-1,1
0.4062,13,32,29,3,-1,1
0.4062,13,32,30,3,-1,1
0.4062,13,32,31,1,-1,1
0.4062,13,32,32,5,-1,1
0.4062,13,32,33,609,-1,1
0.4062,13,32,34,5,-1,1
0.4062,13,32,35,1,-1,1
0.4062,13,32,36,1,-1,1
0.4062,13,32,37,511,-1,1
0.4062,13,32,38,7,-1,1
0.4062,13,32,39,47,-1,1
0.4062,13,32,40,1,-1,1
0.4062,13,32,41,283,-1,1
0.4062,13,32,42,1615,-1,1
0.4062,13,32,43,113,-1,1
0.4062,13,32,44,57,-1,1
0.4062,13,32,45,61,-1,1
0.4062,13,32,46,1771,-1,1
0.4062,13,32,47,19,-1,1
0.4062,13,32,48,69,-1,1
0.4062,13,32,49,4047,-1,1
0.4062,13,32,50,1,-1,1
0.4062,13,32,51,523,-1,1
0.4062,13,32,52,3,-1,1
0.4062,13,32,53,1609,-1,1
0.4062,13,32,54,21,-1,1
0.4062,13,32,55,3,-1,1
0.4062,13,32,56,1,-1,1
0.4062,13,32,57,7,-1,1
0.4062,13,32,58,449,-1,1
0.4062,13,32,59,7,-1,1
0.4062,13,32,60,317,-1,1
0.4062,13,32,61,5,-1,1
0.4062,13,32,62,1,-1,1
0.4062,13,32,63,73,-1,1
0.4062,13,32,64,3,-1,1
0.4062,13,32,65,27,-1,1
0.4062,13,32,66,1,-1,1
0.4062,13,32,67,1,-1,1
0.4062,13,32,68,67,-1,1
0.4062,13,32,69,131,-1,1
0.4062,13,32,70,1,-1,1
0.4062,13,32,71,1,-1,1
0.4062,13,32,72,181,-1,1
0.4062,13,32,73,95,-1,1
0.4062,13,32,74,1,-1,1
0.4062,13,32,75,333,-1,1
0.4062,13,32,76,17,-1,1
0.4062,13,32,77,1,-1,1
0.4062,13,32,78,1,-1,1
0.4062,13,32,79,53,-1,1
0.4062,13,32,80,1,-1,1
0.4062,13,32,81,1,-1,1
0.4062,13,32,82,5,-1,1
0.4062,13,32,83,1,-1,1
0.4062,13,32,84,3,-1,1
