lambda,wi,wr,seed,events,score,extinct
0.4062,13,32,1,3,-1,1
0.4062,13,32,2,39,-1,1
0.4062,13,32,3,15,-1,1
0.4062,13,32,4,1,-1,1
0.4062,13,32,5,133,-1,1
0.4062,13,32,6,1,-1,1
0.4062,13,32,7,1,-1,1
0.4062,13,32,8,9,-1,1
0.4062,13,32,9,1,-1,1
0.4062,13,32,10,1,-1,1
0.4062,13,32,11,41,-1,1
0.4062,13,32,12,1,-1,1
0.4062,13,32,13,17,-1,1
0.4062,13,32,14,3,-1,1
0.4062,13,32,15,3,-1,1
0.4062,13,32,16,165,-1,1
0.4062,13,32,17,1,-1,1
0.4062,13,32,18,31,-1,1
0.4062,13,32,19,5,-1,1
0.4062,13,32,20,35,-1,1
0.4062,13,32,21,7,-1,1
0.4062,13,32,22,45,-1,1
0.4062,13,32,23,1,-1,1
0.4062,13,32,24,3,-1,1
0.4062,13,32,25,3,-1,1
0.4062,13,32,26,1,-1,1
0.4062,13,32,27,33,-1,1
0.4062,13,32,28,35,-1,1
0.4062,13,32,29,3,-1,1
0.4062,13,32,30,3,-1,1
0.4062,13,32,31,1,-1,1
0.4062,13,32,32,5,-1,1
0.4062,13,32,33,47,-1,1
0.4062,13,32,34,13,-1,1
0.4062,13,32,35,1,-1,1
0.4062,13,32,36,1,-1,1
0.4062,13,32,37,531,-1,1
0.4062,13,32,38,7,-1,1
0.4062,13,32,39,5,-1,1
0.4062,13,32,40,1,-1,1
0.4062,13,32,41,9,-1,1
0.4062,13,32,42,25,-1,1
0.4062,13,32,43,5,-1,1
0.4062,13,32,44,19,-1,1
0.4062,13,32,45,23,-1,1
0.4062,13,32,46,35,-1,1
0.4062,13,32,47,9,-1,1
0.4062,13,32,48,19,-1,1
0.4062,13,32,49,35,-1,1
0.4062,13,32,50,1,-1,1
0.4062,13,32,51,109,-1,1
0.4062,13,32,52,3,-1,1
0.4062,13,32,53,5,-1,1
0.4062,13,32,54,127,-1,1
0.4062,13,32,55,3,-1,1
0.4062,13,32,56,1,-1,1
0.4062,13,32,57,23,-1,1
0.4062,13,32,58,3,-1,1
0.4062,13,32,59,7,-1,1
0.4062,13,32,60,3,-1,1
0.4062,13,32,61,5,-1,1
0.4062,13,32,62,1,-1,1
0.4062,13,32,63,253,-1,1
0.4062,13,32,64,3,-1,1
0.4062,13,32,65,47,-1,1
0.4062,13,32,66,1,-1,1
0.4062,13,32,67,1,-1,1
0.4062,13,32,68,11,-1,1
0.4062,13,32,69,17,-1,1
0.4062,13,32,70,1,-1,1
0.4062,13,32,71,1,-1,1
0.4062,13,32,72,35,-1,1
0.4062,13,32,73,185,-1,1
0.4062,13,32,74,1,-1,1
0.4062,13,32,75,67,-1,1
0.4062,13,32,76,29,-1,1
0.4062,13,32,77,1,-1,1
0.4062,13,32,78,1,-1,1
0.4062,13,32,79,19,-1,1
0.4062,13,32,80,1,-1,1
0.4062,13,32,81,1,-1,1
0.4062,13,32,82,3,-1,1
0.4062,13,32,83,1,-1,1
0.4062,13,32,84,211,-1,1
0.4062,13,32,85,55,-1,1
0.4062,13,32,86,1,-1,1
0.4062,13,32,87,2947,-1,1
0.4062,13,32,88,69,-1,1
0.4062,13,32,89,1,-1,1
0.4062,13,32,90,1,-1,1
0.4062,13,32,91,37,-1,1
0.4062,13,32,92,27,-1,1
0.4062,13,32,93,17,-1,1
0.4062,13,32,94,233,-1,1
0.4062,13,32,95,323,-1,1
0.4062,13,32,96,1,-1,1
0.4062,13,32,97,1,-1,1
0.4062,13,32,98,1,-1,1
0.4062,13,32,99,7,-1,1
0.4062,13,32,100,115,-1,1
0.4375,14,32,1,3,-1,1
0.4375,14,32,2,39,-1,1
0.4375,14,32,3,15,-1,1
0.4375,14,32,4,1,-1,1
0.4375,14,32,5,485,-1,1
0.4375,14,32,6,1,-1,1
0.4375,14,32,7,1,-1,1
