p,threads,seed,events,size
0.40,1,1,15,7
0.40,1,2,1,0
0.40,1,3,47,23
0.40,1,4,73,36
0.40,1,5,99,49
0.40,1,6,1,0
0.40,1,7,1,0
0.40,1,8,1,0
0.40,1,9,47,23
0.40,1,10,53,26
0.40,1,11,39,19
0.40,1,12,49,24
0.40,1,13,71,35
0.40,1,14,57,28
0.40,1,15,5,2
0.40,1,16,29,14
0.40,1,17,15,7
0.40,1,18,1,0
0.40,1,19,203,101
0.40,1,20,1,0
0.40,1,21,3,1
0.40,1,22,103,51
0.40,1,23,9,4
0.40,1,24,1,0
0.40,1,25,1,0
0.40,1,26,17,8
0.40,1,27,27,13
0.40,1,28,49,24
0.40,1,29,9,4
0.40,1,30,1,0
0.40,1,31,1,0
0.40,1,32,321,160
0.40,1,33,7,3
0.40,1,34,9,4
0.40,1,35,373,186
0.40,1,36,3,1
0.40,1,37,1,0
0.40,1,38,11,5
0.40,1,39,5,2
0.40,1,40,11,5
0.40,1,41,1,0
0.40,1,42,51,25
0.40,1,43,3,1
0.40,1,44,11,5
0.40,1,45,51,25
0.40,1,46,3,1
0.40,1,47,1,0
0.40,1,48,239,119
0.40,1,49,11,5
0.40,1,50,241,120
0.40,1,51,3,1
0.40,1,52,9,4
0.40,1,53,1,0
0.40,1,54,1,0
0.40,1,55,41,20
0.40,1,56,99,49
0.40,1,57,55,27
0.40,1,58,1,0
0.40,1,59,1,0
0.40,1,60,31,15
0.40,1,61,7,3
0.40,1,62,47,23
0.40,1,63,17,8
0.40,1,64,1,0
0.40,1,65,9,4
0.40,1,66,1,0
0.40,1,67,65,32
0.40,1,68,5,2
0.40,1,69,1,0
0.40,1,70,1,0
0.40,1,71,3,1
0.40,1,72,7,3
0.40,1,73,37,18
0.40,1,74,105,52
0.40,1,75,61,30
0.40,1,76,3,1
0.40,1,77,13,6
0.40,1,78,17,8
0.40,1,79,41,20
0.40,1,80,57,28
0.40,1,81,1,0
0.40,1,82,33,16
0.40,1,83,19,9
0.40,1,84,3,1
0.40,1,85,5,2
0.40,1,86,125,62
0.40,1,87,1,0
0.40,1,88,287,143
0.40,1,89,1,0
0.40,1,90,113,56
0.40,1,91,39,19
0.40,1,92,479,239
0.40,1,93,1,0
0.40,1,94,11,5
0.40,1,95,139,69
0.40,1,96,13,6
0.40,1,97,31,15
0.40,1,98,235,117
0.40,1,99,1,0
0.40,1,100,249,124
0.40,1,101,11,5
0.40,1,102,11,5
0.40,1,103,39,19
0.40,1,104,3,1
0.40,1,105,63,31
0.40,1,106,1,0
0.40,1,107,73,36
0.40,1,108,109,54
0.40,1,109,3,1
0.40,1,110,257,128
0.40,1,111,65,32
0.40,1,112,13,6
0.40,1,113,21,10
0.40,1,114,3,1
0.40,1,115,7,3
0.40,1,116,1,0
0.40,1,117,13,6
0.40,1,118,1,0
0.40,1,119,27,13
0.40,1,120,65,32
0.40,1,121,133,66
0.40,1,122,1,0
0.40,1,123,1,0
0.40,1,124,27,13
0.40,1,125,17,8
0.40,1,126,25,12
0.40,1,127,141,70
0.40,1,128,9,4
0.40,1,129,211,105
0.40,1,130,171,85
0.40,1,131,163,81
0.40,1,132,87,43
0.40,1,133,55,27
0.40,1,134,123,61
0.40,1,135,147,73
0.40,1,136,231,115
0.40,1,137,3,1
0.40,1,138,111,55
0.40,1,139,75,37
0.40,1,140,37,18
0.40,1,141,169,84
0.40,1,142,15,7
0.40,1,143,23,11
0.40,1,144,1,0
0.40,1,145,1,0
0.40,1,146,1,0
0.40,1,147,5,2
0.40,1,148,11,5
0.40,1,149,27,13
0.40,1,150,1,0
0.40,1,151,75,37
0.40,1,152,9,4
0.40,1,153,213,106
0.40,1,154,5,2
0.40,1,155,17,8
0.40,1,156,1,0
0.40,1,157,1,0
0.40,1,158,1,0
0.40,1,159,125,62
0.40,1,160,5,2
0.40,1,161,1,0
0.40,1,162,37,18
0.40,1,163,11,5
0.40,1,164,285,142
0.40,1,165,3,1
0.40,1,166,325,162
0.40,1,167,5,2
0.40,1,168,1,0
0.40,1,169,63,31
0.40,1,170,51,25
0.40,1,171,49,24
0.40,1,172,93,46
0.40,1,173,57,28
0.40,1,174,5,2
0.40,1,175,1,0
0.40,1,176,51,25
0.40,1,177,15,7
0.40,1,178,3,1
0.40,1,179,103,51
0.40,1,180,1,0
0.40,1,181,63,31
0.40,1,182,49,24
0.40,1,183,9,4
0.40,1,184,73,36
0.40,1,185,1,0
0.40,1,186,103,51
0.40,1,187,25,12
0.40,1,188,9,4
0.40,1,189,21,10
0.40,1,190,3,1
0.40,1,191,161,80
0.40,1,192,71,35
0.40,1,193,3,1
0.40,1,194,47,23
0.40,1,195,3,1
0.40,1,196,41,20
0.40,1,197,77,38
0.40,1,198,1,0
0.40,1,199,47,23
0.40,1,200,11,5
0.45,1,1,229,114
0.45,1,2,1,0
0.45,1,3,331,165
0.45,1,4,217,108
0.45,1,5,161,80
0.45,1,6,1,0
0.45,1,7,1,0
0.45,1,8,1,0
0.45,1,9,63,31
0.45,1,10,327,163
0.45,1,11,509,254
0.45,1,12,419,209
0.45,1,13,85,42
0.45,1,14,29,14
0.45,1,15,5,2
0.45,1,16,717,358
0.45,1,17,15,7
0.45,1,18,1,0
0.45,1,19,583,291
0.45,1,20,45,22
0.45,1,21,891,445
0.45,1,22,111,55
0.45,1,23,9,4
0.45,1,24,1,0
0.45,1,25,1,0
0.45,1,26,207,103
0.45,1,27,45,22
0.45,1,28,69,34
0.45,1,29,45,22
0.45,1,30,1,0
0.45,1,31,1,0
0.45,1,32,7,3
0.45,1,33,31,15
0.45,1,34,161,80
0.45,1,35,97,48
0.45,1,36,3,1
0.45,1,37,55,27
0.45,1,38,19,9
0.45,1,39,9,4
0.45,1,40,475,237
0.45,1,41,1,0
0.45,1,42,57,28
0.45,1,43,3,1
0.45,1,44,55,27
0.45,1,45,317,158
0.45,1,46,53,26
0.45,1,47,1,0
0.45,1,48,379,189
0.45,1,49,15,7
0.45,1,50,683,341
0.45,1,51,3,1
0.45,1,52,9,4
0.45,1,53,1,0
0.45,1,54,1,0
0.45,1,55,27,13
0.45,1,56,611,305
0.45,1,57,415,207
0.45,1,58,1,0
0.45,1,59,1,0
0.45,1,60,31,15
0.45,1,61,7,3
0.45,1,62,61,30
0.45,1,63,321,160
0.45,1,64,1,0
0.45,1,65,13,6
0.45,1,66,103,51
0.45,1,67,657,328
0.45,1,68,113,56
0.45,1,69,1,0
0.45,1,70,1,0
0.45,1,71,301,150
0.45,1,72,9,4
0.45,1,73,75,37
0.45,1,74,49,24
0.45,1,75,123,61
0.45,1,76,3,1
0.45,1,77,13,6
0.45,1,78,29,14
0.45,1,79,67,33
0.45,1,80,15,7
0.45,1,81,1,0
0.45,1,82,129,64
0.45,1,83,29,14
0.45,1,84,3,1
0.45,1,85,5,2
0.45,1,86,639,319
0.45,1,87,1,0
0.45,1,88,265,132
0.45,1,89,21,10
0.45,1,90,65,32
0.45,1,91,129,64
0.45,1,92,143,71
0.45,1,93,1,0
0.45,1,94,35,17
0.45,1,95,27,13
0.45,1,96,45,22
0.45,1,97,37,18
0.45,1,98,95,47
0.45,1,99,1,0
0.45,1,100,131,65
0.45,1,101,497,248
0.45,1,102,15,7
0.45,1,103,219,109
0.45,1,104,3,1
0.45,1,105,75,37
0.45,1,106,1,0
0.45,1,107,141,70
0.45,1,108,207,103
0.45,1,109,3,1
0.45,1,110,879,439
0.45,1,111,43,21
0.45,1,112,143,71
0.45,1,113,67,33
0.45,1,114,3,1
0.45,1,115,7,3
0.45,1,116,1,0
0.45,1,117,231,115
0.45,1,118,109,54
0.45,1,119,77,38
0.45,1,120,397,198
0.45,1,121,243,121
0.45,1,122,1,0
0.45,1,123,1,0
0.45,1,124,279,139
0.45,1,125,27,13
0.45,1,126,23,11
0.45,1,127,223,111
0.45,1,128,9,4
0.45,1,129,75,37
0.45,1,130,119,59
0.45,1,131,189,94
0.45,1,132,173,86
0.45,1,133,275,137
0.45,1,134,55,27
0.45,1,135,39,19
0.45,1,136,169,84
0.45,1,137,3,1
0.45,1,138,207,103
0.45,1,139,45,22
0.45,1,140,419,209
0.45,1,141,573,286
0.45,1,142,17,8
0.45,1,143,29,14
0.45,1,144,1,0
0.45,1,145,1,0
0.45,1,146,1,0
0.45,1,147,5,2
0.45,1,148,11,5
0.45,1,149,279,139
0.45,1,150,1,0
0.45,1,151,73,36
0.45,1,152,9,4
0.45,1,153,87,43
