lambda,wi,wr,seed,events,score,extinct
0.3750,6,16,1,3,-1,1
0.3750,6,16,2,387,-1,1
0.3750,6,16,3,95,-1,1
0.3750,6,16,4,1,-1,1
0.3750,6,16,5,13,-1,1
0.3750,6,16,6,1,-1,1
0.3750,6,16,7,1,-1,1
0.3750,6,16,8,351,-1,1
0.3750,6,16,9,1,-1,1
0.3750,6,16,10,1,-1,1
0.3750,6,16,11,25,-1,1
0.3750,6,16,12,1,-1,1
0.3750,6,16,13,1,-1,1
0.3750,6,16,14,3,-1,1
0.3750,6,16,15,3,-1,1
0.3750,6,16,16,67,-1,1
0.3750,6,16,17,1,-1,1
0.3750,6,16,18,15,-1,1
0.3750,6,16,19,35,-1,1
0.3750,6,16,20,7,-1,1
0.3750,6,16,21,117,-1,1
0.3750,6,16,22,13,-1,1
0.3750,6,16,23,1,-1,1
0.3750,6,16,24,3,-1,1
0.3750,6,16,25,3,-1,1
0.3750,6,16,26,1,-1,1
0.3750,6,16,27,135,-1,1
0.3750,6,16,28,1381,-1,1
0.3750,6,16,29,3,-1,1
0.3750,6,16,30,3,-1,1
0.3750,6,16,31,1,-1,1
0.3750,6,16,32,53,-1,1
0.3750,6,16,33,1,-1,1
0.3750,6,16,34,5,-1,1
0.3750,6,16,35,1,-1,1
0.3750,6,16,36,1,-1,1
0.3750,6,16,37,27,-1,1
0.3750,6,16,38,57,-1,1
0.3750,6,16,39,337,-1,1
0.3750,6,16,40,1,-1,1
0.3750,6,16,41,119,-1,1
0.3750,6,16,42,35,-1,1
0.3750,6,16,43,5,-1,1
0.3750,6,16,44,83,-1,1
0.3750,6,16,45,47,-1,1
0.3750,6,16,46,3,-1,1
0.3750,6,16,47,99,-1,1
0.3750,6,16,48,11,-1,1
0.3750,6,16,49,59,-1,1
0.3750,6,16,50,1,-1,1
0.4375,7,16,1,3,-1,1
0.4375,7,16,2,20001,49,0
0.4375,7,16,3,1715,-1,1
0.4375,7,16,4,1,-1,1
0.4375,7,16,5,9,-1,1
0.4375,7,16,6,1,-1,1
0.4375,7,16,7,1,-1,1
0.4375,7,16,8,20000,100,0
0.4375,7,16,9,1,-1,1
0.4375,7,16,10,1,-1,1
0.4375,7,16,11,9607,-1,1
0.4375,7,16,12,1,-1,1
0.4375,7,16,13,14879,-1,1
0.4375,7,16,14,3,-1,1
0.4375,7,16,15,3,-1,1
0.4375,7,16,16,139,-1,1
0.4375,7,16,17,1,-1,1
0.4375,7,16,18,15,-1,1
0.4375,7,16,19,127,-1,1
0.4375,7,16,20,7,-1,1
0.4375,7,16,21,87,-1,1
0.4375,7,16,22,241,-1,1
0.4375,7,16,23,1,-1,1
0.4375,7,16,24,3,-1,1
0.4375,7,16,25,3,-1,1
0.4375,7,16,26,1,-1,1
0.4375,7,16,27,23,-1,1
