lambda,wi,wr,seed,events,score,extinct
0.1250,1,8,1,7,-1,1
0.1250,1,8,2,3,-1,1
0.1250,1,8,3,1,-1,1
0.1250,1,8,4,3,-1,1
0.1250,1,8,5,1,-1,1
0.1250,1,8,6,1,-1,1
0.1250,1,8,7,1,-1,1
0.1250,1,8,8,1,-1,1
0.1250,1,8,9,1,-1,1
0.1250,1,8,10,1,-1,1
0.1250,1,8,11,3,-1,1
0.1250,1,8,12,7,-1,1
0.1250,1,8,13,1,-1,1
0.1250,1,8,14,3,-1,1
0.1250,1,8,15,1,-1,1
0.1250,1,8,16,1,-1,1
0.1250,1,8,17,1,-1,1
0.1250,1,8,18,17,-1,1
0.1250,1,8,19,1,-1,1
0.1250,1,8,20,1,-1,1
0.1250,1,8,21,1,-1,1
0.1250,1,8,22,3,-1,1
0.1250,1,8,23,7,-1,1
0.1250,1,8,24,1,-1,1
0.1250,1,8,25,3,-1,1
0.1250,1,8,26,3,-1,1
0.1250,1,8,27,1,-1,1
0.1250,1,8,28,1,-1,1
0.1250,1,8,29,5,-1,1
0.1250,1,8,30,1,-1,1
0.2500,2,8,1,13,-1,1
0.2500,2,8,2,5,-1,1
0.2500,2,8,3,3,-1,1
0.2500,2,8,4,3,-1,1
0.2500,2,8,5,1,-1,1
0.2500,2,8,6,1,-1,1
0.2500,2,8,7,1,-1,1
0.2500,2,8,8,1,-1,1
0.2500,2,8,9,1,-1,1
0.2500,2,8,10,17,-1,1
0.2500,2,8,11,3,-1,1
0.2500,2,8,12,23,-1,1
0.2500,2,8,13,13,-1,1
0.2500,2,8,14,3,-1,1
0.2500,2,8,15,1,-1,1
0.2500,2,8,16,1,-1,1
0.2500,2,8,17,3,-1,1
0.2500,2,8,18,27,-1,1
0.2500,2,8,19,1,-1,1
0.2500,2,8,20,1,-1,1
0.2500,2,8,21,3,-1,1
0.2500,2,8,22,13,-1,1
0.2500,2,8,23,7,-1,1
0.2500,2,8,24,1,-1,1
0.2500,2,8,25,31,-1,1
0.2500,2,8,26,3,-1,1
0.2500,2,8,27,3,-1,1
0.2500,2,8,28,3,-1,1
0.2500,2,8,29,13,-1,1
0.2500,2,8,30,1,-1,1
0.3750,3,8,1,13,-1,1
0.3750,3,8,2,5,-1,1
0.3750,3,8,3,3,-1,1
0.3750,3,8,4,3,-1,1
0.3750,3,8,5,1,-1,1
0.3750,3,8,6,1,-1,1
0.3750,3,8,7,31,-1,1
0.3750,3,8,8,1,-1,1
0.3750,3,8,9,1,-1,1
0.3750,3,8,10,17,-1,1
0.3750,3,8,11,3,-1,1
0.3750,3,8,12,497,-1,1
0.3750,3,8,13,13,-1,1
0.3750,3,8,14,11,-1,1
0.3750,3,8,15,1,-1,1
0.3750,3,8,16,1,-1,1
0.3750,3,8,17,3,-1,1
0.3750,3,8,18,27,-1,1
0.3750,3,8,19,1,-1,1
0.3750,3,8,20,1,-1,1
0.3750,3,8,21,3,-1,1
0.3750,3,8,22,13,-1,1
0.3750,3,8,23,7,-1,1
0.3750,3,8,24,1,-1,1
0.3750,3,8,25,83,-1,1
0.3750,3,8,26,3,-1,1
0.3750,3,8,27,3,-1,1
0.3750,3,8,28,7,-1,1
0.3750,3,8,29,13,-1,1
0.3750,3,8,30,1,-1,1
0.5000,4,8,1,20000,202,0
0.5000,4,8,2,20000,178,0
0.5000,4,8,3,20000,142,0
0.5000,4,8,4,3,-1,1
0.5000,4,8,5,1,-1,1
0.5000,4,8,6,1,-1,1
0.5000,4,8,7,31,-1,1
0.5000,4,8,8,20000,178,0
0.5000,4,8,9,1,-1,1
0.5000,4,8,10,20000,208,0
0.5000,4,8,11,3,-1,1
0.5000,4,8,12,20000,182,0
0.5000,4,8,13,13,-1,1
0.5000,4,8,14,11,-1,1
0.5000,4,8,15,20000,202,0
0.5000,4,8,16,1,-1,1
0.5000,4,8,17,3,-1,1
0.5000,4,8,18,20000,172,0
0.5000,4,8,19,1,-1,1
0.5000,4,8,20,1,-1,1
0.5000,4,8,21,5,-1,1
0.5000,4,8,22,13,-1,1
0.5000,4,8,23,7,-1,1
0.5000,4,8,24,1,-1,1
0.5000,4,8,25,20000,174,0
0.5000,4,8,26,20000,220,0
0.5000,4,8,27,3,-1,1
0.5000,4,8,28,7,-1,1
0.5000,4,8,29,13,-1,1
0.5000,4,8,30,1,-1,1
0.6250,5,8,1,20000,278,0
0.6250,5,8,2,20000,254,0
0.6250,5,8,3,20000,248,0
0.6250,5,8,4,3,-1,1
0.6250,5,8,5,1,-1,1
0.6250,5,8,6,1,-1,1
0.6250,5,8,7,25,-1,1
0.6250,5,8,8,20000,276,0
0.6250,5,8,9,1,-1,1
0.6250,5,8,10,20000,280,0
0.6250,5,8,11,20000,246,0
0.6250,5,8,12,20000,264,0
0.6250,5,8,13,13,-1,1
0.6250,5,8,14,11,-1,1
0.6250,5,8,15,20000,268,0
0.6250,5,8,16,1,-1,1
0.6250,5,8,17,3,-1,1
0.6250,5,8,18,20000,248,0
0.6250,5,8,19,20000,264,0
0.6250,5,8,20,1,-1,1
0.6250,5,8,21,7,-1,1
0.6250,5,8,22,15,-1,1
0.6250,5,8,23,7,-1,1
0.6250,5,8,24,1,-1,1
0.6250,5,8,25,20000,278,0
0.6250,5,8,26,20000,280,0
0.6250,5,8,27,3,-1,1
0.6250,5,8,28,20000,274,0
0.6250,5,8,29,20000,276,0
0.6250,5,8,30,1,-1,1
0.7500,6,8,1,20000,320,0
0.7500,6,8,2,20000,324,0
0.7500,6,8,3,20000,310,0
0.7500,6,8,4,3,-1,1
0.7500,6,8,5,5,-1,1
0.7500,6,8,6,1,-1,1
0.7500,6,8,7,25,-1,1
0.7500,6,8,8,20000,344,0
0.7500,6,8,9,1,-1,1
0.7500,6,8,10,20000,298,0
0.7500,6,8,11,20000,332,0
0.7500,6,8,12,20000,308,0
0.7500,6,8,13,20000,320,0
0.7500,6,8,14,20000,310,0
0.7500,6,8,15,20000,316,0
0.7500,6,8,16,1,-1,1
0.7500,6,8,17,3,-1,1
0.7500,6,8,18,20000,322,0
0.7500,6,8,19,20000,302,0
0.7500,6,8,20,1,-1,1
0.7500,6,8,21,20000,318,0
0.7500,6,8,22,20000,304,0
0.7500,6,8,23,20000,296,0
0.7500,6,8,24,1,-1,1
0.7500,6,8,25,20000,296,0
0.7500,6,8,26,20000,300,0
0.7500,6,8,27,3,-1,1
0.7500,6,8,28,20000,300,0
0.7500,6,8,29,20000,296,0
0.7500,6,8,30,1,-1,1
1.0000,8,8,1,20000,370,0
1.0000,8,8,2,20000,360,0
1.0000,8,8,3,20000,362,0
1.0000,8,8,4,20000,370,0
1.0000,8,8,5,5,-1,1
1.0000,8,8,6,1,-1,1
1.0000,8,8,7,25,-1,1
1.0000,8,8,8,20000,374,0
1.0000,8,8,9,20000,364,0
1.0000,8,8,10,20000,368,0
1.0000,8,8,11,20000,356,0
1.0000,8,8,12,20000,388,0
1.0000,8,8,13,20000,380,0
1.0000,8,8,14,20000,348,0
1.0000,8,8,15,20000,386,0
1.0000,8,8,16,20000,366,0
1.0000,8,8,17,3,-1,1
1.0000,8,8,18,20000,378,0
1.0000,8,8,19,20000,370,0
1.0000,8,8,20,1,-1,1
1.0000,8,8,21,20000,372,0
1.0000,8,8,22,20000,344,0
1.0000,8,8,23,20000,362,0
1.0000,8,8,24,1,-1,1
1.0000,8,8,25,20000,390,0
1.0000,8,8,26,20000,390,0
1.0000,8,8,27,20000,384,0
1.0000,8,8,28,20000,392,0
1.0000,8,8,29,20000,368,0
1.0000,8,8,30,20000,376,0
