step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,173,147,192,50,0,68,0,67,89,64,81,91,82,222
2000,a,239,257,282,81,0,105,0,74,72,80,58,88,69,464
3000,a,269,309,330,100,0,119,0,52,72,70,48,88,82,674
4000,a,268,333,373,94,0,116,0,45,65,68,61,84,58,871
5000,a,287,361,381,98,0,111,0,48,55,74,65,73,72,1066
6000,a,264,359,373,94,0,106,0,43,71,65,51,68,67,1242
7000,a,298,379,386,94,0,118,0,53,41,81,64,78,59,1454
8000,a,279,384,406,89,0,119,0,41,64,69,43,80,61,1644
9000,a,291,361,393,87,0,99,0,50,61,62,67,59,56,1815
10000,a,312,342,404,95,0,124,0,51,58,61,57,102,58,2029
11000,a,297,364,378,92,0,119,0,51,65,63,38,70,66,2213
12000,a,315,367,360,95,0,104,0,51,65,67,52,64,47,2395
13000,a,301,362,366,112,0,102,0,49,53,85,59,67,53,2596
14000,a,307,348,371,104,0,104,0,45,65,71,63,72,51,2784
15000,a,315,358,360,101,0,100,0,47,57,73,54,80,71,2984
16000,a,329,353,366,99,0,87,0,59,62,54,50,61,49,3158
17000,a,305,363,367,93,0,108,0,50,67,64,48,79,56,3351
18000,a,298,351,368,85,0,103,0,39,58,66,64,68,47,3524
19000,a,306,359,377,100,0,109,0,34,59,73,75,82,53,3713
20000,a,291,377,377,105,0,100,0,40,56,80,61,69,43,3902
21000,a,280,367,370,108,0,108,0,41,53,76,63,68,54,4087
22000,a,295,375,385,106,0,121,0,46,58,70,56,81,64,4284
23000,a,306,366,387,106,0,113,0,47,56,80,37,70,41,4481
24000,a,307,344,398,90,0,113,0,43,55,55,60,76,67,4655
25000,a,308,328,419,86,0,124,0,37,39,57,46,93,70,4842
26000,a,294,331,419,80,0,125,0,53,60,50,40,86,68,5031
27000,a,285,363,400,76,0,117,0,47,53,68,36,82,54,5228
28000,a,313,359,390,83,0,119,0,63,58,60,39,73,61,5424
29000,a,303,366,395,86,0,115,0,43,52,71,52,76,55,5614
30000,a,312,344,404,79,0,111,0,56,53,58,63,71,51,5799
31000,a,294,356,403,81,0,109,0,49,57,65,37,84,69,5997
32000,a,291,344,419,82,0,112,0,48,54,50,59,74,54,6169
33000,a,309,329,420,74,0,113,0,51,52,43,62,82,72,6345
34000,a,303,347,416,77,0,120,0,37,43,68,61,82,48,6532
35000,a,294,339,436,85,0,115,0,39,41,67,45,99,58,6737
36000,a,306,342,417,87,0,111,0,43,42,66,52,82,57,6928
37000,a,316,352,404,87,0,110,0,50,60,58,66,75,65,7111
38000,a,311,369,411,86,0,119,0,46,51,63,57,86,52,7306
39000,a,322,372,372,88,0,110,0,34,53,69,50,70,47,7479
40000,a,303,406,361,93,0,96,0,42,55,77,69,63,46,7661
41000,a,304,386,352,93,0,90,0,51,77,64,46,64,65,7840
42000,a,302,374,375,93,0,117,0,49,62,69,60,83,60,8041
43000,a,271,383,368,95,0,111,0,47,58,66,75,64,59,8218
44000,a,290,386,363,100,0,115,0,54,57,64,74,74,57,8410
45000,a,304,382,365,102,0,119,0,64,57,65,53,71,33,8610
46000,a,318,375,393,117,0,109,0,42,42,86,53,71,56,8809
47000,a,311,388,384,110,0,112,0,44,44,71,58,82,47,9006
48000,a,317,359,381,96,0,104,0,38,58,62,44,72,41,9178
49000,a,306,375,369,93,0,91,0,50,65,68,54,66,60,9362
50000,a,303,370,378,94,0,96,0,50,43,68,59,63,65,9543
51000,a,308,368,386,101,0,86,0,36,66,73,58,67,43,9719
52000,a,271,359,410,98,0,87,0,39,51,77,72,55,56,9890
53000,a,297,356,419,96,0,102,0,44,50,67,60,80,64,10081
54000,a,289,340,400,88,0,113,0,40,53,64,33,85,86,10270
55000,a,284,336,419,86,0,122,0,45,56,63,47,84,72,10462
56000,a,290,337,398,88,0,98,0,54,58,56,55,70,54,10642
57000,a,310,358,395,84,0,106,0,55,56,64,59,75,66,10836
58000,a,295,332,387,83,0,111,0,44,59,54,47,75,66,11009
59000,a,292,375,398,94,0,117,0,46,55,71,60,85,55,11211
60000,a,292,372,414,85,0,114,0,48,49,71,39,74,57,11404
61000,a,301,380,410,91,0,113,0,49,66,63,57,82,60,11598
62000,a,294,379,398,88,0,114,0,50,63,59,60,71,54,11778
63000,a,292,361,400,84,0,120,0,47,62,58,47,93,57,11976
64000,a,293,377,402,96,0,127,0,42,52,73,51,89,50,12180
65000,a,308,370,393,95,0,118,0,55,56,61,50,74,57,12370
66000,a,324,357,380,105,0,103,0,53,59,69,67,65,51,12557
67000,a,337,367,391,98,0,100,0,57,41,59,63,81,66,12754
68000,a,344,372,387,92,0,91,0,50,52,73,58,70,50,12947
69000,a,313,376,382,82,0,101,0,39,67,59,48,70,57,13115
70000,a,306,388,376,110,0,87,0,49,58,72,42,61,68,13297
71000,a,324,417,344,111,0,90,0,55,71,84,44,72,54,13508
72000,a,306,389,379,113,0,105,0,39,43,71,53,82,51,13700
73000,a,317,371,400,104,0,114,0,49,47,74,61,75,61,13898
74000,a,315,352,387,104,0,112,0,53,65,72,57,70,62,14093
75000,a,298,342,391,102,0,109,0,47,50,71,58,65,77,14276
76000,a,304,343,403,102,0,102,0,39,66,57,71,75,56,14447
77000,a,307,353,397,113,0,87,0,50,43,71,58,62,57,14630
78000,a,308,340,403,100,0,100,0,51,46,62,39,91,73,14834
79000,a,312,334,387,100,0,107,0,47,60,67,43,84,61,15032
80000,a,318,315,417,92,0,114,0,52,52,54,54,79,53,15217
81000,a,332,320,393,82,0,102,0,61,80,46,37,68,49,15392
82000,a,318,334,390,98,0,114,0,50,77,71,59,66,56,15579
83000,a,304,347,404,92,0,115,0,53,72,61,38,84,41,15777
84000,a,307,356,383,104,0,106,0,56,65,77,39,61,52,15971
85000,a,299,348,399,92,0,114,0,46,71,56,48,73,66,16146
86000,a,294,356,391,82,0,116,0,37,54,57,60,93,59,16333
87000,a,284,343,394,87,0,124,0,45,48,65,49,78,56,16521
88000,a,267,366,368,92,0,131,0,53,64,64,56,79,60,16717
89000,a,277,353,383,88,0,119,0,49,51,74,56,69,76,16909
90000,a,289,353,400,89,0,119,0,42,37,70,73,70,62,17091
91000,a,312,341,416,95,0,124,0,52,62,54,44,82,49,17279
92000,a,320,349,416,90,0,121,0,47,60,69,55,78,50,17473
93000,a,318,340,422,83,0,120,0,45,63,63,52,90,52,17671
94000,a,326,327,442,73,0,132,0,48,70,49,51,92,46,17860
95000,a,317,324,409,60,0,116,0,48,46,45,61,80,63,18033
96000,a,317,316,393,75,0,106,0,54,54,58,56,75,68,18220
97000,a,316,341,403,79,0,111,0,48,64,54,40,89,68,18411
98000,a,328,340,400,85,0,121,0,46,52,75,49,73,64,18605
99000,a,304,370,411,90,0,124,0,40,55,61,55,73,63,18779
100000,a,296,377,412,84,0,122,0,35,49,72,58,78,60,18964
101000,a,293,396,411,95,0,100,0,57,54,70,39,74,48,19165
102000,a,319,390,389,97,0,102,0,45,47,69,58,68,63,19347
103000,a,312,376,383,96,0,101,0,52,68,69,60,61,49,19529
104000,a,303,372,394,100,0,110,0,45,57,63,58,95,49,19732
105000,a,278,365,389,86,0,105,0,43,61,55,56,76,67,19906
106000,a,268,360,385,93,0,110,0,55,62,57,73,72,55,20090
107000,a,303,375,374,101,0,102,0,49,72,74,70,51,50,20264
108000,a,297,371,356,91,0,109,0,49,66,66,54,63,53,20442
109000,a,286,371,360,96,0,111,0,51,79,61,44,76,57,20630
110000,a,282,373,408,110,0,113,0,44,70,78,61,69,39,20821
111000,a,277,381,406,103,0,110,0,35,63,75,57,78,63,21009
112000,a,291,365,430,111,0,128,0,42,41,80,57,92,53,21223
113000,a,285,356,409,103,0,101,0,46,34,71,53,62,50,21402
114000,a,298,340,395,105,0,97,0,51,57,67,68,68,63,21588
115000,a,324,356,396,99,0,106,0,44,81,66,38,86,80,21784
116000,a,292,353,390,96,0,112,0,41,52,62,65,78,70,21965
117000,a,318,348,387,94,0,114,0,48,56,73,62,85,41,22171
118000,a,296,359,393,91,0,102,0,52,62,64,42,68,60,22355
119000,a,292,362,396,94,0,99,0,35,55,79,48,69,64,22538
120000,a,299,372,395,96,0,96,0,43,37,67,65,73,67,22721
121000,a,325,350,402,91,0,106,0,53,65,47,57,77,76,22898
122000,a,330,356,387,88,0,111,0,45,40,74,44,83,59,23100
123000,a,338,343,398,84,0,101,0,45,49,58,47,68,65,23271
124000,a,320,356,412,90,0,118,0,49,61,76,60,76,55,23472
125000,a,321,361,394,90,0,102,0,48,61,66,51,72,76,23658
126000,a,326,358,381,99,0,114,0,44,69,64,40,78,58,23844
127000,a,316,373,410,92,0,120,0,43,74,61,68,81,67,24029
128000,a,312,382,392,96,0,118,0,43,55,75,44,68,64,24215
129000,a,324,388,365,96,0,100,0,53,59,66,44,56,54,24390
130000,a,300,391,375,97,0,98,0,39,59,69,51,70,59,24568
131000,a,319,377,357,97,0,84,0,48,73,63,61,54,50,24733
132000,a,337,351,349,108,0,87,0,61,62,72,55,65,46,24931
133000,a,328,370,368,116,0,96,0,46,48,71,63,68,51,25116
134000,a,331,374,357,98,0,94,0,45,75,62,43,66,41,25289
135000,a,325,394,364,91,0,96,0,50,51,58,63,61,61,25458
136000,a,313,395,376,89,0,84,0,41,59,68,66,59,54,25626
137000,a,327,380,348,92,0,95,0,58,78,70,62,62,63,25816
138000,a,336,351,372,88,0,114,0,48,58,58,56,80,68,26002
139000,a,331,360,371,98,0,102,0,51,65,66,39,72,48,26191
140000,a,341,352,368,94,0,93,0,67,83,66,49,60,53,26384
141000,a,321,352,372,97,0,105,0,41,49,76,66,69,72,26570
142000,a,337,344,364,98,0,105,0,58,65,57,52,75,48,26760
143000,a,361,357,367,97,0,100,0,54,64,69,44,73,57,26956
144000,a,340,347,378,94,0,99,0,45,58,64,55,58,51,27123
145000,a,354,350,389,83,0,92,0,55,54,62,47,66,50,27306
146000,a,334,356,392,83,0,97,0,54,66,47,62,72,69,27479
147000,a,317,353,379,87,0,97,0,46,51,58,70,66,61,27649
148000,a,313,353,385,90,0,112,0,49,68,55,51,83,95,27836
149000,a,296,367,382,97,0,110,0,50,65,69,47,77,55,28032
150000,a,319,375,398,102,0,84,0,54,61,75,46,54,42,28215
151000,a,315,373,387,96,0,96,0,53,72,69,40,65,50,28402
152000,a,286,389,389,108,0,107,0,40,53,70,57,83,44,28595
153000,a,294,369,374,108,0,102,0,54,60,86,62,55,35,28790
154000,a,296,371,370,100,0,100,0,50,66,64,65,58,53,28962
155000,a,285,387,368,111,0,107,0,39,41,90,62,68,59,29159
156000,a,312,388,374,92,0,101,0,49,62,63,48,73,44,29344
157000,a,299,385,388,93,0,102,0,48,60,72,50,58,54,29522
158000,a,287,405,387,101,0,108,0,41,64,82,74,89,53,29734
159000,a,296,391,398,87,0,107,0,61,65,62,46,73,48,29930
160000,a,292,403,412,94,0,109,0,47,52,73,66,66,58,30116
161000,a,293,369,420,93,0,101,0,38,47,67,55,67,75,30288
