step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,186,212,171,77,0,55,0,78,74,96,75,68,86,242
2000,a,267,292,265,113,0,82,0,77,90,94,51,69,66,482
3000,a,300,337,337,105,0,99,0,68,78,74,58,80,66,704
4000,a,325,372,373,116,0,107,0,55,48,89,43,85,56,933
5000,a,348,388,379,103,0,109,0,65,51,72,47,70,34,1140
6000,a,356,390,386,106,0,109,0,60,54,77,59,62,56,1339
7000,a,355,393,393,113,0,134,0,43,28,88,63,80,62,1550
8000,a,362,409,414,105,0,123,0,61,78,70,33,66,26,1747
9000,a,370,387,389,107,0,111,0,61,43,71,43,61,45,1940
10000,a,343,386,384,103,0,109,0,41,46,72,48,81,56,2134
11000,a,356,382,391,109,0,102,0,56,61,76,51,74,33,2340
12000,a,345,396,401,113,0,104,0,59,52,84,50,68,37,2551
13000,a,343,386,419,108,0,120,0,63,53,59,32,81,65,2754
14000,a,353,374,402,106,0,101,0,57,60,59,45,67,58,2937
15000,a,335,379,397,116,0,98,0,53,81,70,38,65,43,3125
16000,a,313,391,416,104,0,110,0,39,39,86,45,91,46,3341
17000,a,305,397,430,112,0,121,0,38,51,70,54,91,40,3540
18000,a,314,390,432,111,0,130,0,52,60,65,58,71,50,3728
19000,a,309,383,410,117,0,118,0,55,78,71,43,71,36,3925
20000,a,314,371,426,108,0,117,0,51,66,67,48,89,60,4132
21000,a,315,375,420,100,0,119,0,43,51,77,73,80,52,4332
22000,a,302,383,440,99,0,142,0,39,48,67,29,111,62,4549
23000,a,300,377,440,93,0,148,0,48,67,66,38,102,43,4765
24000,a,301,382,441,92,0,132,0,49,36,62,64,86,55,4962
25000,a,298,385,430,92,0,128,0,40,37,76,38,88,57,5166
26000,a,294,395,434,120,0,109,0,45,40,83,69,71,46,5365
27000,a,306,410,441,107,0,101,0,46,52,61,46,79,78,5551
28000,a,298,402,445,104,0,105,0,46,44,71,33,84,55,5752
29000,a,323,385,426,105,0,100,0,62,51,64,37,86,52,5964
30000,a,338,376,414,99,0,122,0,49,54,75,51,77,46,6165
31000,a,328,368,419,118,0,120,0,62,71,69,50,76,28,6372
32000,a,349,367,415,111,0,110,0,58,55,68,27,81,39,6579
33000,a,357,361,413,92,0,111,0,62,56,66,34,68,44,6775
34000,a,384,370,412,84,0,122,0,67,53,53,29,98,70,6993
35000,a,352,373,414,90,0,126,0,68,74,69,44,78,44,7208
36000,a,351,377,417,105,0,111,0,73,41,76,51,66,59,7423
37000,a,335,357,430,103,0,124,0,52,62,71,38,93,48,7639
38000,a,337,371,430,100,0,132,0,55,52,71,49,83,34,7848
39000,a,324,384,422,91,0,118,0,46,43,66,54,74,43,8034
40000,a,304,390,434,95,0,130,0,44,48,71,57,91,52,8240
41000,a,315,380,432,95,0,122,0,56,56,62,48,79,55,8437
42000,a,319,390,435,99,0,119,0,43,50,72,44,80,45,8632
43000,a,319,369,437,99,0,128,0,44,48,62,41,92,54,8830
44000,a,324,388,432,98,0,124,0,56,48,66,40,86,61,9038
45000,a,346,375,429,99,0,113,0,53,51,68,55,78,60,9237
46000,a,326,370,434,103,0,112,0,56,50,68,49,74,51,9435
47000,a,303,388,420,117,0,102,0,46,45,85,52,67,26,9633
48000,a,306,404,420,109,0,112,0,36,38,81,46,84,51,9834
49000,a,288,395,457,128,0,115,0,38,25,81,51,94,62,10047
50000,a,295,395,429,125,0,101,0,40,33,78,45,75,67,10240
51000,a,292,392,426,120,0,107,0,35,48,88,40,71,57,10434
52000,a,288,424,419,124,0,106,0,50,47,89,52,65,43,10638
53000,a,296,418,403,120,0,96,0,42,40,91,65,52,42,10823
54000,a,300,409,421,125,0,112,0,30,42,84,60,84,55,11021
55000,a,299,377,405,128,0,126,0,46,41,87,71,74,57,11228
56000,a,298,391,429,129,0,120,0,49,44,81,43,84,45,11442
57000,a,302,387,422,131,0,121,0,45,47,70,65,78,31,11635
58000,a,330,405,387,120,0,110,0,63,40,76,47,69,55,11843
59000,a,333,383,401,109,0,113,0,40,36,66,57,80,61,12029
60000,a,333,387,408,117,0,115,0,56,50,70,47,80,63,12235
61000,a,334,366,398,116,0,101,0,56,63,71,51,59,36,12421
62000,a,355,383,402,125,0,107,0,51,60,79,56,70,42,12621
63000,a,353,403,394,117,0,93,0,64,60,72,46,62,37,12819
64000,a,344,419,391,110,0,115,0,51,62,79,43,79,53,13028
65000,a,365,417,386,101,0,111,0,61,53,73,51,66,37,13228
66000,a,362,409,382,110,0,94,0,42,47,76,40,78,38,13424
