cond,seed,popn,popi,popp,births,recon
p10,1,336,386,406,34486,ok
p10,2,334,413,384,34203,ok
p10,3,368,431,362,34231,ok
p10,4,329,389,418,34511,ok
p10,5,318,397,392,34255,ok
p10,6,343,403,395,34885,ok
p4,1,332,403,451,31293,ok
p4,2,353,408,376,31517,ok
p4,3,366,385,384,31415,ok
p4,4,353,347,433,31276,ok
p4,5,341,400,418,31511,ok
p4,6,342,400,379,31275,ok
p2,1,358,404,372,31784,ok
p2,2,370,374,367,31545,ok
p2,3,349,397,417,31380,ok
p2,4,356,382,368,31446,ok
p2,5,350,419,404,31547,ok
p2,6,346,404,364,31616,ok
