cond,seed,popn,popi,popp,births,recon
p8,1,312,377,409,31765,ok
p8,2,302,403,377,31770,ok
p8,3,343,332,380,31714,ok
p8,4,312,343,366,31766,ok
p8,5,322,409,339,31582,ok
p8,6,341,372,364,31722,ok
p4,1,307,377,397,30777,ok
p4,2,344,375,349,30958,ok
p4,3,320,361,367,30606,ok
p4,4,323,346,359,30816,ok
p4,5,288,356,398,30737,ok
p4,6,351,341,385,30763,ok
p1,1,353,364,334,29974,ok
p1,2,332,340,345,30018,ok
p1,3,363,328,374,29992,ok
p1,4,286,343,368,29871,ok
p1,5,379,325,358,29940,ok
p1,6,369,340,336,29854,ok
