cond,seed,popn,popi,popp,births,recon
const,1,288,386,377,33874,ok
const,2,277,355,398,33960,ok
const,3,313,341,377,33808,ok
const,4,284,337,400,34072,ok
const,5,282,391,354,34052,ok
const,6,315,359,391,33958,ok
p30,1,330,367,375,33696,ok
p30,2,310,363,395,33410,ok
p30,3,342,386,372,33555,ok
p30,4,322,371,386,33465,ok
p30,5,301,375,395,33455,ok
p30,6,317,344,394,33398,ok
p2,1,330,310,382,30450,ok
p2,2,320,360,366,30400,ok
p2,3,333,318,379,30359,ok
p2,4,310,347,402,30295,ok
p2,5,313,335,416,30376,ok
p2,6,316,338,407,30463,ok
