cond,seed,popn,popi,popp,births,recon
const,1,324,359,418,36522,ok
const,2,335,413,411,36368,ok
const,3,281,392,409,36511,ok
const,4,347,366,420,36543,ok
const,5,329,422,410,36284,ok
const,6,281,422,428,36234,ok
p30,1,316,430,367,35969,ok
p30,2,373,380,383,35910,ok
p30,3,338,389,405,35812,ok
p30,4,329,393,438,35495,ok
p30,5,312,375,424,35538,ok
p30,6,359,420,410,35674,ok
p90,1,351,416,391,36408,ok
p90,2,319,401,429,36269,ok
p90,3,350,402,407,36313,ok
p90,4,330,396,405,36459,ok
p90,5,320,409,389,36364,ok
p90,6,321,404,395,36097,ok
