step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,172,203,148,73,0,46,0,75,89,97,96,66,80,238
2000,a,232,307,226,107,0,73,0,71,71,92,50,80,67,481
3000,a,299,349,271,106,0,81,0,56,67,88,74,59,72,684
4000,a,324,345,300,105,0,92,0,48,54,83,70,83,43,898
5000,a,317,348,320,92,0,99,0,60,69,66,59,63,56,1087
6000,a,311,386,342,108,0,94,0,41,57,77,47,62,74,1267
7000,a,306,381,352,122,0,102,0,40,59,75,73,71,77,1453
8000,a,297,377,351,117,0,95,0,48,65,75,41,72,58,1648
9000,a,309,364,369,102,0,91,0,48,45,74,61,68,50,1838
10000,a,304,377,352,99,0,90,0,58,68,67,46,60,43,2023
11000,a,291,378,371,110,0,113,0,38,68,74,58,86,55,2221
12000,a,326,387,377,105,0,96,0,54,77,62,45,62,54,2399
13000,a,327,401,380,99,0,95,0,40,58,76,58,62,53,2577
14000,a,329,387,361,112,0,92,0,49,62,79,58,61,50,2766
15000,a,298,376,381,95,0,111,0,49,56,63,51,74,54,2952
16000,a,312,375,390,89,0,114,0,54,64,67,40,85,51,3158
17000,a,296,365,373,84,0,108,0,39,57,64,51,64,50,3325
18000,a,301,377,370,101,0,111,0,53,78,73,41,78,50,3529
19000,a,290,391,371,106,0,111,0,45,59,78,58,77,48,3729
20000,a,295,411,357,99,0,98,0,54,87,59,49,64,64,3906
21000,a,293,404,382,100,0,96,0,37,55,65,70,74,60,4082
22000,a,300,398,381,104,0,106,0,42,50,73,58,72,51,4269
23000,a,302,392,359,108,0,113,0,48,47,74,63,66,65,4457
24000,a,294,398,349,92,0,98,0,41,51,70,57,58,53,4626
25000,a,279,379,353,104,0,98,0,36,53,77,58,72,57,4811
26000,a,304,374,365,102,0,101,0,45,78,71,49,64,80,4991
27000,a,302,382,368,116,0,111,0,42,64,86,51,77,57,5196
28000,a,308,356,390,100,0,106,0,61,63,64,33,76,47,5397
29000,a,295,366,394,107,0,115,0,51,56,64,53,92,34,5604
30000,a,290,376,397,109,0,116,0,45,47,75,48,74,49,5798
31000,a,279,368,404,111,0,105,0,43,59,66,44,75,47,5982
32000,a,290,353,409,123,0,113,0,45,67,77,47,77,89,6181
33000,a,297,339,435,123,0,108,0,44,50,69,59,85,52,6379
34000,a,292,340,410,116,0,105,0,37,42,79,61,57,46,6552
35000,a,261,353,421,112,0,115,0,36,50,71,57,82,78,6741
36000,a,251,364,387,124,0,119,0,33,69,71,45,89,84,6934
37000,a,275,366,374,105,0,124,0,63,66,70,55,69,65,7136
38000,a,285,377,343,110,0,96,0,53,46,80,50,41,57,7310
39000,a,293,363,357,97,0,101,0,56,65,67,61,58,55,7491
40000,a,325,359,374,94,0,88,0,55,72,57,60,63,42,7666
41000,a,325,354,361,86,0,102,0,51,61,65,46,65,63,7847
42000,a,294,367,351,101,0,96,0,49,72,75,44,69,53,8040
43000,a,323,379,357,95,0,90,0,56,69,76,46,58,56,8230
44000,a,315,383,386,100,0,93,0,45,56,76,47,81,51,8432
45000,a,319,392,358,103,0,87,0,43,66,72,61,72,31,8619
46000,a,328,380,372,110,0,87,0,62,61,73,66,62,51,8816
47000,a,315,384,374,104,0,82,0,61,70,70,45,64,49,9011
48000,a,323,386,378,105,0,92,0,56,57,70,60,73,53,9210
49000,a,310,386,364,102,0,88,0,46,63,79,57,67,51,9402
50000,a,311,378,386,104,0,107,0,45,49,77,70,71,56,9595
51000,a,280,386,393,105,0,100,0,48,52,71,64,63,35,9777
52000,a,307,389,395,100,0,106,0,56,57,70,66,68,54,9971
53000,a,303,370,384,102,0,112,0,42,52,77,44,73,60,10163
54000,a,307,370,388,107,0,100,0,58,66,68,66,66,55,10355
55000,a,314,370,392,108,0,85,0,49,78,63,54,64,48,10531
56000,a,304,357,401,106,0,94,0,46,51,71,57,76,62,10724
57000,a,308,356,401,96,0,98,0,43,81,62,45,69,58,10898
58000,a,290,374,385,102,0,98,0,43,48,73,61,64,69,11078
59000,a,298,393,397,96,0,99,0,37,37,70,77,74,49,11259
60000,a,310,367,373,92,0,93,0,46,56,69,67,67,52,11441
61000,a,280,390,377,110,0,109,0,38,60,84,43,77,59,11640
62000,a,269,402,387,117,0,100,0,41,55,81,75,65,54,11827
63000,a,269,409,391,114,0,113,0,41,54,69,39,87,64,12024
64000,a,282,419,393,113,0,107,0,43,51,79,50,76,51,12222
