step,season,popn,popi,popp,tokix,tokiy,tokpx,tokpy,bn,wn,bi,wi,bp,wp,score
1000,a,163,146,202,44,0,74,0,63,88,57,79,99,90,219
2000,a,259,252,269,75,0,90,0,75,80,84,65,75,70,453
3000,b,290,278,300,48,34,16,40,57,74,40,96,60,131,610
4000,b,313,311,338,24,51,13,61,53,70,61,76,62,66,786
5000,a,329,322,371,59,35,46,11,48,79,59,108,68,105,961
6000,a,322,325,382,76,23,77,7,43,61,59,83,78,72,1141
7000,b,329,312,376,56,39,9,51,51,67,40,113,63,131,1295
8000,b,318,329,364,31,64,6,68,57,69,65,78,59,65,1476
9000,a,331,322,370,47,45,50,15,57,62,49,79,58,112,1640
10000,a,311,316,374,54,33,79,9,41,56,51,95,72,65,1804
11000,b,315,332,395,30,59,10,52,44,47,57,62,67,126,1972
12000,b,304,350,377,21,89,8,59,49,60,80,83,57,57,2158
13000,a,309,357,354,54,54,44,18,40,51,56,113,45,111,2299
14000,a,311,344,360,65,38,66,10,46,71,59,102,65,45,2469
15000,b,321,353,366,46,69,14,45,44,59,67,89,54,101,2634
16000,b,320,344,356,25,73,7,63,61,90,56,59,49,45,2800
17000,a,315,338,360,52,40,33,14,50,58,46,96,50,108,2946
18000,a,298,354,356,65,24,69,10,48,69,67,75,75,63,3136
19000,b,319,371,374,42,45,13,49,51,35,47,81,77,113,3311
20000,b,328,362,385,23,69,7,69,43,53,61,113,66,55,3481
21000,a,313,351,403,60,47,48,9,39,50,67,116,58,112,3645
22000,a,316,356,403,79,29,73,5,64,70,60,93,61,63,3830
23000,b,321,376,402,54,63,6,46,37,45,67,113,58,124,3992
24000,b,309,400,408,30,84,3,73,48,64,63,83,80,65,4183
25000,a,307,376,399,49,46,31,13,49,56,43,94,46,122,4321
26000,a,318,379,361,72,31,60,9,50,57,78,72,51,79,4500
27000,b,322,382,341,45,67,11,33,45,55,67,79,41,108,4653
28000,b,316,347,311,30,94,7,62,46,85,61,87,68,53,4828
29000,a,328,372,340,69,66,46,7,46,80,67,122,56,114,4997
30000,a,322,378,343,78,37,71,2,45,67,65,89,65,59,5172
31000,b,338,378,339,53,55,15,37,48,58,50,119,46,138,5316
32000,b,357,366,340,37,65,9,61,57,72,62,112,62,51,5497
33000,a,340,370,318,75,37,42,8,46,64,66,117,51,101,5660
34000,a,341,380,327,76,22,59,5,59,65,73,65,47,56,5839
35000,b,385,339,356,44,49,8,37,68,67,48,111,51,101,6006
36000,b,372,338,338,28,81,4,50,62,77,69,78,50,50,6187
37000,a,392,335,364,57,44,40,6,56,56,62,94,53,97,6358
38000,a,367,329,358,74,25,65,4,56,77,57,69,59,64,6530
39000,b,337,342,376,51,64,6,49,55,84,61,82,53,111,6699
40000,b,353,344,379,30,97,4,77,58,75,68,72,66,64,6891
41000,a,346,359,376,59,58,41,8,48,61,58,82,55,135,7052
42000,a,354,339,368,69,38,63,5,68,85,51,79,66,37,7237
43000,b,359,328,345,44,54,12,40,63,62,43,98,59,117,7402
44000,b,363,331,357,31,74,5,62,63,54,59,68,65,61,7589
45000,a,368,320,355,54,49,49,9,48,59,41,102,59,93,7737
46000,a,362,306,372,69,29,76,4,60,57,53,113,63,56,7913
47000,b,364,320,371,47,53,13,42,52,61,49,78,53,119,8067
48000,b,371,319,377,28,81,7,62,54,58,78,99,57,69,8256
49000,a,363,311,368,52,50,50,9,57,51,44,71,64,101,8421
50000,a,383,321,393,71,32,76,7,58,76,57,80,66,49,8602
51000,b,358,325,390,48,48,8,45,45,76,54,96,57,112,8758
52000,b,353,335,397,28,69,5,70,54,56,55,55,70,84,8937
53000,a,342,341,380,52,50,56,10,43,51,50,83,69,130,9099
54000,a,319,336,393,67,34,90,7,48,77,55,85,78,69,9280
55000,b,314,363,369,46,56,13,48,43,56,61,94,62,113,9446
56000,b,322,349,387,24,67,6,74,46,59,61,94,69,60,9622
57000,a,308,360,388,59,48,46,11,44,57,65,89,58,131,9789
58000,a,306,358,360,70,34,70,6,50,60,62,81,64,63,9965
59000,b,305,320,367,42,54,14,38,44,56,49,91,53,119,10111
60000,b,324,314,368,30,64,11,74,62,93,45,93,66,47,10284
61000,a,320,334,349,61,39,42,7,53,58,60,65,50,112,10447
62000,a,307,375,359,87,23,75,6,43,74,82,72,66,68,10638
63000,b,337,366,353,62,51,11,45,46,65,47,97,56,110,10787
64000,b,338,362,351,44,69,8,65,49,63,59,97,70,59,10965
65000,a,325,353,358,69,46,52,9,43,43,56,104,67,109,11131
66000,a,334,363,357,86,27,73,7,46,57,62,83,76,57,11315
67000,b,367,339,352,49,55,10,37,62,80,46,83,46,108,11469
68000,b,360,341,349,25,77,8,64,60,62,59,109,54,42,11642
69000,a,358,330,359,51,50,41,14,55,65,46,101,52,100,11795
70000,a,339,344,372,62,25,66,7,61,60,50,61,65,63,11971
71000,b,347,355,372,37,51,11,50,53,70,63,61,63,109,12150
72000,b,341,374,346,25,73,3,72,48,49,74,89,63,65,12335
73000,a,312,411,331,70,49,40,19,39,71,75,96,57,119,12506
74000,a,314,388,321,85,30,57,11,52,72,62,94,51,69,12671
75000,b,322,377,315,54,66,8,49,50,74,59,118,54,108,12834
76000,b,313,358,348,34,88,5,78,55,82,67,75,67,56,13023
77000,a,336,332,337,45,57,38,16,58,82,38,129,49,111,13168
78000,a,364,338,361,80,38,54,11,64,92,65,86,55,38,13352
79000,b,355,350,368,54,56,9,50,45,59,51,85,64,109,13512
80000,b,337,348,373,32,74,7,79,45,65,52,97,73,42,13682
81000,a,335,326,390,57,48,61,18,41,55,51,80,77,121,13851
82000,a,333,328,398,71,28,72,11,45,58,54,85,72,69,14022
83000,b,337,339,407,44,59,10,46,45,67,56,86,54,131,14177
84000,b,326,353,404,29,79,5,74,36,42,76,78,71,54,14360
85000,a,330,334,393,42,46,43,10,57,66,42,88,56,115,14515
86000,a,324,339,399,64,22,71,5,33,33,67,79,76,72,14691
87000,b,328,332,399,32,44,8,69,46,50,50,66,75,111,14862
88000,b,330,353,389,19,69,2,93,43,53,62,75,78,54,15045
89000,a,335,321,380,50,43,39,11,43,55,59,102,55,144,15202
90000,a,326,336,387,65,31,55,4,51,56,52,88,58,69,15363
91000,b,342,342,372,37,63,8,43,47,60,61,77,56,119,15527
92000,b,334,336,366,24,76,5,62,52,70,56,58,65,63,15700
93000,a,337,332,352,60,50,38,10,52,59,56,111,56,110,15864
94000,a,341,346,359,70,28,69,5,55,83,63,86,68,52,16050
95000,b,349,341,348,47,55,12,40,60,73,46,117,49,113,16205
96000,b,342,341,387,21,58,6,76,51,49,52,55,74,78,16382
97000,a,335,330,379,68,33,42,12,44,55,77,70,54,109,16557
98000,a,336,323,396,67,20,75,8,49,80,54,65,73,71,16733
99000,b,343,334,373,44,56,12,43,51,50,57,81,57,132,16898
100000,b,335,330,363,23,64,7,71,53,79,49,54,69,71,17069
101000,a,333,328,347,47,38,45,12,45,76,39,111,57,123,17210
102000,a,318,334,346,69,24,84,5,45,67,55,90,83,62,17393
103000,b,326,342,362,43,55,16,37,59,71,72,89,43,118,17567
104000,b,327,332,382,27,63,10,69,41,60,44,91,68,78,17720
105000,a,365,330,368,54,39,55,11,59,49,48,120,58,109,17885
106000,a,347,338,376,77,25,72,5,57,64,65,72,59,45,18066
107000,b,344,323,359,45,52,16,48,42,48,52,84,62,117,18222
108000,b,340,311,361,25,63,9,73,47,74,52,90,68,65,18389
109000,a,339,317,354,50,40,49,16,54,62,46,99,53,121,18542
110000,a,313,323,346,72,21,75,9,47,75,54,84,62,83,18705
111000,b,319,317,366,44,43,8,54,46,51,51,103,62,123,18864
112000,b,333,307,377,26,45,4,74,61,64,44,54,74,68,19043
113000,a,336,305,368,45,29,50,15,57,80,46,88,64,136,19210
114000,a,326,319,388,61,19,72,8,56,64,63,66,62,60,19391
115000,b,328,327,406,41,44,14,54,53,40,54,94,68,120,19566
116000,b,336,303,397,27,58,9,65,50,57,56,86,66,61,19738
117000,a,343,302,392,57,44,59,6,58,65,51,102,63,120,19910
118000,a,332,314,380,69,28,85,3,56,81,46,79,71,77,20083
119000,b,335,320,363,45,58,23,56,46,68,65,86,71,106,20265
120000,b,325,304,381,29,72,9,68,59,72,48,62,62,65,20434
121000,a,327,295,381,51,44,43,7,45,54,47,111,53,134,20579
122000,a,346,297,393,68,32,77,3,55,81,61,65,71,63,20766
123000,b,342,287,380,44,44,16,41,39,66,46,99,54,119,20905
124000,b,343,314,385,24,62,11,67,63,90,53,64,71,68,21092
125000,a,352,321,366,53,43,54,7,57,76,44,89,64,126,21257
126000,a,332,325,375,78,25,63,5,37,45,60,90,58,67,21412
127000,b,328,343,362,48,52,12,39,46,54,49,130,54,113,21561
128000,b,323,345,359,29,73,10,57,53,75,61,88,56,61,21731
129000,a,341,349,354,48,52,45,12,58,68,44,96,55,121,21888
130000,a,342,332,360,61,34,66,8,52,61,58,56,66,39,22064
131000,b,356,351,351,34,60,12,41,50,61,50,82,48,126,22212
132000,b,358,349,355,22,72,8,65,56,83,53,58,64,42,22385
133000,a,356,354,353,52,37,43,11,47,68,55,95,53,96,22540
134000,a,324,336,377,62,30,65,5,60,59,62,76,53,62,22715
135000,b,324,329,391,43,49,9,43,52,79,43,87,58,126,22868
136000,b,336,331,396,22,64,5,69,46,67,59,87,72,52,23045
137000,a,355,352,357,61,45,44,10,46,57,64,109,51,123,23206
138000,a,378,364,353,64,33,73,10,59,62,53,87,67,73,23385
139000,b,380,369,335,43,62,9,36,54,57,62,75,48,111,23549
140000,b,365,366,318,28,71,5,55,57,56,59,81,59,59,23724
141000,a,359,357,334,48,46,39,7,41,71,41,81,55,107,23861
142000,a,355,358,351,70,30,56,6,58,76,66,86,58,50,24043
143000,b,322,361,352,40,62,7,33,52,68,55,67,43,91,24193
144000,b,329,377,364,26,84,5,67,50,74,73,88,61,79,24377
145000,a,312,364,367,53,60,48,9,40,76,53,81,57,110,24527
146000,a,320,370,369,79,37,75,5,42,85,62,75,70,83,24701
147000,b,311,373,369,49,62,11,45,50,57,54,114,51,134,24856
148000,b,306,373,402,34,75,7,71,37,60,56,78,87,56,25036
149000,a,296,343,369,59,44,34,9,48,62,48,116,47,131,25179
150000,a,311,333,372,68,25,60,4,49,63,60,84,63,69,25351
151000,b,335,300,396,44,41,11,53,49,61,35,101,70,123,25505
152000,b,351,301,383,31,60,6,81,55,64,50,97,75,70,25685
153000,a,382,302,398,48,38,59,15,66,60,34,77,69,146,25854
154000,a,372,298,381,61,20,79,6,48,71,53,85,61,68,26016
155000,b,365,314,394,43,52,15,48,57,84,48,78,65,117,26186
156000,b,367,325,391,26,73,7,68,62,86,66,87,56,54,26370
157000,a,365,300,387,42,46,48,13,54,62,38,104,51,125,26513
158000,a,357,331,391,64,28,60,7,56,59,68,63,56,63,26693
159000,b,351,330,368,38,59,10,50,45,53,49,98,52,110,26839
160000,b,340,321,382,24,69,4,83,58,69,56,60,72,71,27025
161000,a,338,312,384,46,43,50,12,51,60,43,77,68,129,27187
162000,a,328,307,373,66,28,81,9,51,84,54,77,67,77,27359
163000,b,324,315,384,42,52,10,46,50,57,52,73,54,150,27515
164000,b,309,319,399,24,64,5,82,49,73,49,89,80,70,27693
165000,a,320,315,407,51,37,55,13,56,57,43,82,72,129,27864
166000,a,319,332,387,70,20,69,10,44,74,57,98,50,70,28015
167000,b,318,345,394,40,51,15,55,42,65,56,101,60,108,28173
168000,b,336,339,385,28,65,8,77,55,63,54,95,66,67,28348
169000,a,360,318,365,45,38,40,15,58,67,39,85,47,121,28492
170000,a,351,330,370,67,21,69,9,52,53,56,71,70,48,28670
171000,b,342,333,363,43,44,14,47,61,70,43,92,58,126,28832
172000,b,323,337,373,34,63,9,76,48,68,53,89,68,67,29001
173000,a,338,341,379,56,44,49,6,43,65,49,67,66,155,29159
174000,a,329,324,366,79,28,77,3,57,68,67,91,66,57,29349
175000,b,327,313,380,48,50,17,52,51,48,40,98,74,130,29514
176000,b,318,307,391,28,67,9,80,49,49,61,77,76,51,29700
177000,a,309,311,399,47,42,56,15,58,64,40,87,58,124,29856
178000,a,307,308,434,63,29,94,9,45,61,55,102,86,69,30042
179000,b,319,319,423,40,52,20,54,44,50,48,80,58,144,30192
180000,b,313,335,416,22,72,12,87,49,70,65,60,70,69,30376
