arm,m,seed,rho_init,rho_lastq,runmean_lastq,tape_lastq,s_share_lastq,fidelity,rho_traj,rho_osc,rep_base,rep_pair,rep_mut,rep_dpair
plain,8,1,0.583,0.000,6.475,17.150,1.000,1.000,0.10;0.11;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2660,0,0,0
plain,8,2,0.417,0.000,12.902,19.658,0.000,1.000,0.06;0.07;0.09;0.06;0.00;0.00;0.00;0.00,0.040,2664,0,0,0
plain,8,3,0.333,0.000,12.062,19.583,0.000,1.000,0.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2663,0,0,0
plain,8,4,0.333,0.000,5.309,16.242,1.000,1.000,0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2661,0,0,0
plain,8,5,0.500,0.000,4.923,16.142,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2660,0,0,0
plain,8,6,0.500,0.000,5.908,16.867,1.000,1.000,0.06;0.10;0.10;0.00;0.00;0.00;0.00;0.00,0.000,2661,0,0,0
plain,8,7,0.417,0.000,5.508,16.358,1.000,1.000,0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2662,0,0,0
plain,8,8,0.583,0.000,12.192,19.675,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2664,0,0,0
plain,8,9,0.667,0.000,5.455,16.483,1.000,1.000,0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2658,0,0,0
plain,8,10,0.500,0.083,5.306,18.775,0.386,1.000,0.06;0.06;0.05;0.00;0.09;0.00;0.10;0.05,0.034,2663,0,0,0
plain,8,11,0.583,0.000,12.815,19.725,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2665,0,0,0
plain,8,12,0.583,0.000,12.258,19.692,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2665,0,0,0
plain,8,13,0.500,0.000,5.056,16.417,1.000,1.000,0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2663,0,0,0
plain,8,14,0.500,0.000,13.938,19.908,0.000,1.000,0.12;0.11;0.12;0.00;0.00;0.00;0.00;0.00,0.000,2665,0,0,0
plain,8,15,0.417,0.000,5.713,16.650,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2661,0,0,0
plain,8,16,0.583,0.000,13.167,19.717,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2664,0,0,0
plain,8,17,0.667,0.000,5.466,16.475,1.000,1.000,0.05;0.13;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2660,0,0,0
plain,8,18,0.500,0.000,5.615,16.567,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2662,0,0,0
plain,8,19,0.417,0.000,13.179,19.808,0.000,1.000,0.11;0.06;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2664,0,0,0
plain,8,20,0.417,0.000,4.696,16.042,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2660,0,0,0
plain,8,21,0.417,0.000,13.834,19.792,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2663,0,0,0
plain,8,22,0.500,0.000,13.079,19.858,0.000,1.000,0.09;0.11;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2665,0,0,0
plain,8,23,0.500,0.000,4.612,16,1.000,1.000,0.12;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2660,0,0,0
plain,8,24,0.500,0.000,12.914,19.683,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2663,0,0,0
plain,8,25,0.417,0.000,11.713,19.583,0.000,1.000,0.10;0.12;0.10;0.11;0.00;0.00;0.00;0.00,0.028,2665,0,0,0
plain,8,26,0.667,0.000,13.692,19.908,0.000,1.000,0.11;0.05;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2663,0,0,0
plain,8,27,0.333,0.000,5.662,16.808,1.000,1.000,0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2661,0,0,0
plain,8,28,0.333,0.000,12.822,19.733,0.000,1.000,0.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2664,0,0,0
plain,8,29,0.333,0.029,9.870,19.500,0.082,1.000,0.09;0.00;0.11;0.00;0.05;0.05;0.00;0.00,0.049,2665,0,0,0
plain,8,30,0.500,0.000,5.391,16.792,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2662,0,0,0
plain,8,31,0.500,0.000,13.034,19.850,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2664,0,0,0
plain,8,32,0.583,0.000,11.530,19.608,0.000,1.000,0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00,0.000,2666,0,0,0
plain,4,1,0.583,0.000,4.934,15.942,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4794,0,0,0
plain,4,2,0.417,0.000,4.346,15.492,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4796,0,0,0
plain,4,3,0.333,0.000,2.829,5.175,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4784,0,0,0
plain,4,4,0.333,0.000,3.074,5.283,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4786,0,0,0
plain,4,5,0.500,0.000,2.906,5.542,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4783,0,0,0
plain,4,6,0.500,0.000,2.799,6.892,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4784,0,0,0
plain,4,7,0.417,0.000,5.281,15.850,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4792,0,0,0
plain,4,8,0.583,0.000,4.805,15.767,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4795,0,0,0
plain,4,9,0.667,0.000,3.116,6.658,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4781,0,0,0
plain,4,10,0.500,0.000,2.970,6.958,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4794,0,0,0
plain,4,11,0.583,0.000,4.549,15.833,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4797,0,0,0
plain,4,12,0.583,0.000,3.150,6.042,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4782,0,0,0
plain,4,13,0.500,0.000,4.884,15.758,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4793,0,0,0
plain,4,14,0.500,0.000,4.747,15.625,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4794,0,0,0
plain,4,15,0.417,0.000,2.917,6.850,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4787,0,0,0
plain,4,16,0.583,0.000,4.278,15.517,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4794,0,0,0
plain,4,17,0.667,0.000,4.724,15.792,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4794,0,0,0
plain,4,18,0.500,0.000,4.961,15.758,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4797,0,0,0
plain,4,19,0.417,0.000,5.047,15.767,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4795,0,0,0
plain,4,20,0.417,0.000,3.070,6.225,1.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4790,0,0,0
plain,4,21,0.417,0.000,5.067,16.258,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4793,0,0,0
plain,4,22,0.500,0.000,4.761,15.958,0.000,1.000,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.000,4795,0,0,0
