arm,m,seed,res_f,res_s,ext_ev_f,ext_ev_s,phi0_cross,phi0_own,n_ext_samples,b_base,b_pair,b_dpair,min_cross_share,sp_overlap_exc,sp_drift_R,runlen_obs,runlen_null
order,8,1,0,0,764,0,0.048,0,21,2182,480,0,0.000,,,,
order,8,2,0,0,0,17450,0.015,0,472,2337,328,0,0.000,,,,
order,8,3,0,0,0,20951,0.034,0,566,2334,330,0,0.000,,,,
order,8,4,0,0,14165,0,0.052,0,383,2033,628,0,0.000,,,,
order,8,5,0,0,0,15326,0.019,0,414,2282,382,0,0.000,,,,
order,8,6,0,0,18548,0,0.032,0,501,2024,640,0,0.000,,,,
order,8,7,0,0,14633,0,0.040,0,396,2071,592,0,0.000,,,,
order,8,8,0,0,15209,0,0.034,0,411,2088,572,0,0.000,,,,
order,8,9,0,0,0,21752,0.024,0,588,2331,334,0,0.000,,,,
order,8,10,0,0,0,16838,0.024,0,455,2290,374,0,0.000,,,,
order,8,11,0,0,0,14678,0.018,0,397,2283,382,0,0.000,,,,
order,8,12,0,0,15650,0,0.045,0,423,2092,570,0,0.000,,,,
order,8,13,0,0,0,22904,0.015,0,619,2350,314,0,0.000,,,,
order,8,14,0,0,20951,0,0.041,0,566,2023,640,0,0.000,,,,
order,8,15,0,0,22949,0,0.047,0,620,2075,588,0,0.000,,,,
order,8,16,0,0,0,23867,0.017,0,645,2320,344,0,0.000,,,,
order,8,17,0,0,0,21266,0.024,0,575,2341,322,0,0.000,,,,
order,8,18,0,0,23039,0,0.032,0,623,2026,636,0,0.000,,,,
order,8,19,0,0,0,22094,0.022,0,597,2315,348,0,0.000,,,,
order,8,20,0,0,18764,0,0.057,0,507,2088,572,0,0.000,,,,
order,8,21,0,0,0,23111,0.018,0,625,2288,374,0,0.000,,,,
order,8,22,0,0,0,11852,0.041,0,320,2277,388,0,0.000,,,,
order,8,23,0,0,20465,0,0.042,0,553,2037,624,0,0.000,,,,
order,8,24,0,0,0,23696,0.011,0,641,2345,318,0,0.000,,,,
order,8,25,0,0,8243,0,0.054,0,223,2169,494,0,0.000,,,,
order,8,26,0,0,0,22868,0.024,0,618,2314,350,0,0.000,,,,
order,8,27,0,0,14741,0,0.048,0,399,2040,622,0,0.000,,,,
order,8,28,0,0,20609,0,0.052,0,557,2033,628,0,0.000,,,,
order,8,29,0,0,0,23075,0.016,0,624,2389,274,0,0.000,,,,
order,8,30,0,0,17909,0,0.050,0,484,2052,610,0,0.000,,,,
order,8,31,0,0,12878,0,0.057,0,348,2172,490,0,0.000,,,,
order,8,32,0,0,0,18575,0.014,0,502,2283,382,0,0.000,,,,
order,4,1,0,0,20954,0,0.147,0,566,2929,1864,0,0.000,,,,
order,4,2,0,0,23699,0,0.176,0,641,2755,2034,0,0.000,,,,
order,4,3,0,0,0,23634,0.077,0,639,3444,1350,0,0.000,,,,
order,4,4,0,0,0,21794,0.097,0,589,3455,1340,0,0.000,,,,
order,4,5,0,0,0,20679,0.098,0,559,3439,1358,0,0.000,,,,
order,4,6,0,0,0,23304,0.116,0,630,3401,1394,0,0.000,,,,
order,4,7,0,0,0,23884,0.113,0,646,3416,1378,0,,,,,
order,4,8,0,0,23494,0,0.146,0,635,2832,1956,0,0.000,,,,
order,4,9,0,0,0,23489,0.126,0,635,3427,1370,0,0.000,,,,
order,4,10,0,0,0,23049,0.100,0,623,3398,1396,0,0.000,,,,
order,4,11,0,0,22349,0,0.166,0,604,2939,1854,0,0.000,,,,
order,4,12,0,0,21179,0,0.131,0,572,2862,1926,0,0.000,,,,
order,4,13,0,0,21779,0,0.153,0,589,2829,1960,0,0.000,,,,
order,4,14,0,0,20979,0,0.205,0,567,2835,1956,0,0.000,,,,
order,4,15,0,0,0,23024,0.119,0,622,3426,1370,0,0.000,,,,
order,4,16,0,0,0,23879,0.098,0,645,3477,1320,0,0.000,,,,
order,4,17,0,0,0,23809,0.103,0,643,3381,1412,0,0.000,,,,
order,4,18,0,0,23214,0,0.126,0,627,2811,1980,0,0.000,,,,
order,4,19,0,0,0,23479,0.083,0,635,3436,1360,0,0.000,,,,
order,4,20,0,0,0,20814,0.101,0,563,3378,1416,0,0.000,,,,
order,4,21,0,0,0,23874,0.085,0,645,3377,1420,0,0.000,,,,
order,4,22,0,0,0,23439,0.107,0,633,3444,1352,0,0.000,,,,
order,4,23,0,0,23309,0,0.179,0,630,2880,1904,0,0.000,,,,
order,4,24,0,0,23784,0,0.154,0,643,2804,1988,0,0.000,,,,
order,4,25,0,0,23264,0,0.149,0,629,2784,2006,0,0.000,,,,
order,4,26,0,0,23339,0,0.171,0,631,2866,1924,0,0.000,,,,
order,4,27,0,0,22534,0,0.151,0,609,2870,1922,0,0.000,,,,
order,4,28,0,0,0,19894,0.100,0,538,3475,1320,0,0.000,,,,
order,4,29,0,0,0,23609,0.097,0,638,3447,1348,0,0.000,,,,
order,4,30,0,0,0,22744,0.102,0,615,3451,1346,0,0.000,,,,
order,4,31,0,0,0,23769,0.103,0,642,3471,1324,0,0.000,,,,
order,4,32,0,0,22514,0,0.151,0,608,2834,1956,0,0.000,,,,
order,2,1,0,0,0,23870,0.340,0,645,4209,3778,0,0.000,,,,
order,2,2,0,0,23723,0,0.112,0,641,6765,1062,0,0.000,,,,
order,2,3,0,0,23605,0,0.114,0,638,6504,1324,0,0.000,,,,
order,2,4,0,0,23609,0,0.125,0,638,6609,1208,0,0.000,,,,
order,2,5,0,0,23407,0,0.104,0,632,6625,1186,0,0.000,,,,
order,2,6,0,0,0,23825,0.340,0,644,4222,3768,0,0.000,,,,
order,2,7,0,0,0,23792,0.344,0,643,4251,3740,0,0.000,,,,
order,2,8,0,0,0,23888,0.356,0,646,4233,3760,0,0.000,,,,
order,2,9,0,0,23562,0,0.141,0,637,6672,1162,0,0.000,,,,
order,2,10,0,0,0,23870,0.361,0,645,4322,3666,0,0.000,,,,
order,2,11,0,0,0,23888,0.348,0,646,4213,3778,0,,,,,
order,2,12,0,0,23704,0,0.112,0,641,6686,1106,0,,,,,
order,2,13,0,0,0,23801,0.365,0,643,4178,3814,0,0.000,,,,
order,2,14,0,0,0,23891,0.361,0,646,4086,3902,0,,,,,
order,2,15,0,0,23669,0,0.125,0,640,6524,1298,0,0.000,,,,
order,2,16,0,0,0,23834,0.349,0,644,4201,3790,0,0.000,,,,
order,2,17,0,0,23678,0,0.128,0,640,6718,1066,0,0.000,,,,
order,2,18,0,0,23700,0,0.137,0,641,6706,1112,0,0.000,,,,
order,2,19,0,0,23705,0,0.122,0,640,6788,1014,0,0.000,,,,
order,2,20,0,0,23664,0,0.125,0,640,6519,1314,0,0.000,,,,
order,2,21,0,0,0,23945,0.352,0,647,4261,3730,0,,,,,
order,2,22,0,0,23658,0,0.116,0,639,6642,1156,0,0.000,,,,
order,2,23,0,0,23639,0,0.128,0,639,6692,1114,0,0.000,,,,
order,2,24,0,0,23719,0,0.120,0,641,6667,1156,0,0.000,,,,
order,2,25,0,0,23689,0,0.142,0,641,6751,1068,0,0.000,,,,
order,2,26,0,0,23701,0,0.127,0,640,6543,1262,0,,,,,
order,2,27,0,0,23665,0,0.153,0,639,6573,1234,0,0.000,,,,
order,2,28,0,0,0,23906,0.342,0,646,4312,3678,0,0.000,,,,
order,2,29,0,0,23668,0,0.121,0,639,6745,1056,0,0.000,,,,
order,2,30,0,0,23598,0,0.118,0,638,6738,1058,0,0.000,,,,
order,2,31,0,0,0,23906,0.401,0,646,4140,3848,0,,,,,
order,2,32,0,0,23727,0,0.123,0,642,6809,972,0,,,,,
para,8,1,1,0,34,0,0,0,1,2124,256,282,0.248,0.061,0.504,2.652,1.485
para,8,2,1,0,56,0,0,0,1,2106,282,274,0.282,0.087,0.565,2.783,1.433
para,8,3,0,0,0,0,,,0,2129,286,248,0.192,0.124,0.698,2.910,1.400
para,8,4,0,0,0,0,,,0,2119,284,260,0.267,0.099,0.622,2.639,1.455
para,8,5,1,0,148,0,0.250,0,4,2128,270,266,0.260,0.072,0.534,2.742,1.475
para,8,6,0,0,0,0,,,0,2126,250,288,0.222,0.110,0.774,2.669,1.455
para,8,7,2,0,23,0,0,0,2,2110,280,272,0.287,0.094,0.520,2.668,1.474
para,8,8,1,0,29,0,0,0,1,2134,262,268,0.244,0.070,0.477,2.758,1.475
para,8,9,1,0,174,0,0,0,5,2119,298,242,0.229,0.093,0.565,2.890,1.478
para,8,10,2,0,136,0,0,0,3,2155,228,280,0.241,0.085,0.716,2.623,1.423
para,8,11,1,0,91,0,0,0,3,2085,292,286,0.233,0.069,0.575,2.486,1.498
para,8,12,3,0,87,0,0,0,3,2107,286,270,0.273,0.129,0.685,2.842,1.406
para,8,13,1,0,1,0,,,0,2090,286,288,0.296,0.092,0.621,3.210,1.474
para,8,14,0,0,0,0,,,0,2097,270,296,0.232,0.103,0.599,2.877,1.497
para,8,15,1,0,87,0,0,0,2,2107,272,286,0.261,0.083,0.794,2.970,1.472
para,8,16,1,1,47,21,0,0,1,2087,250,326,0.322,0.046,0.614,2.747,1.502
para,8,17,0,0,0,0,,,0,2151,242,270,0.210,0.133,0.834,2.799,1.490
para,8,18,0,0,0,0,,,0,2104,296,266,0.231,0.094,0.462,2.981,1.476
para,8,19,0,0,0,0,,,0,2087,308,268,0.196,0.053,0.611,2.695,1.489
para,8,20,2,0,80,0,0,0,2,2081,272,308,0.261,0.087,0.795,2.930,1.500
para,8,21,1,0,49,0,0,0,1,2180,256,228,0.174,0.144,0.573,2.819,1.448
para,8,22,2,0,551,0,0.071,0,14,2112,284,268,0.300,0.078,0.632,2.930,1.465
para,8,23,0,0,0,0,,,0,2132,276,256,0.210,0.082,0.733,2.913,1.516
para,8,24,2,0,155,0,0,0,4,2117,274,274,0.267,0.101,0.585,2.667,1.400
para,8,25,0,0,0,0,,,0,2154,250,260,0.222,0.073,0.715,2.828,1.519
para,8,26,1,1,52,62,0.333,0,3,2067,314,282,0.249,0.080,0.476,2.705,1.410
para,8,27,0,3,0,54,0,0,1,2131,276,256,0.269,0.126,0.628,2.814,1.451
para,8,28,1,0,265,0,0,0,7,2105,278,278,0.213,0.072,0.628,2.513,1.431
para,8,29,2,0,233,0,0,0,6,2048,298,318,0.263,0.068,0.801,2.421,1.421
para,8,30,5,0,168,0,0,0,5,2108,280,274,0.284,0.101,0.510,2.384,1.395
para,8,31,0,0,0,0,,,0,2163,262,238,0.189,0.112,0.582,3.076,1.457
