table,arm,m,key,exposure,base,pair,dpair
sharebin,order,8,0.000,586057,54,0,0
sharebin,order,8,0.083,19554,364,62,0
sharebin,order,8,0.167,28010,640,112,0
sharebin,order,8,0.250,36051,1044,220,0
sharebin,order,8,0.333,46831,1703,300,0
sharebin,order,8,0.417,44278,1871,504,0
sharebin,order,8,0.500,60027,2865,602,0
sharebin,order,8,0.583,38406,2009,390,0
sharebin,order,8,0.667,40500,2485,476,0
sharebin,order,8,0.750,31219,2065,394,0
sharebin,order,8,0.833,20565,1622,336,0
sharebin,order,8,0.917,586166,53562,11534,0
xcount,order,8,0,579820,0,0,0
xcount,order,8,1,6237,54,0,0
xcount,order,8,2,8798,146,24,0
xcount,order,8,3,12161,261,54,0
xcount,order,8,4,16651,395,70,0
xcount,order,8,5,18417,537,138,0
xcount,order,8,6,22493,720,138,0
xcount,order,8,7,25423,892,172,0
xcount,order,8,8,26614,1106,262,0
xcount,order,8,9,28835,1266,350,0
xcount,order,8,10,31427,1462,312,0
xcount,order,8,11,30212,1430,298,0
xcount,order,8,12,27319,1389,276,0
xcount,order,8,13,24005,1329,306,0
xcount,order,8,14,21857,1380,252,0
xcount,order,8,15,21552,1525,360,0
xcount,order,8,16,25181,2407,748,0
xcount,order,8,17,39988,4395,1562,0
xcount,order,8,18,60858,5608,1976,0
xcount,order,8,19,70452,6100,2000,0
xcount,order,8,20,84303,9244,2384,0
xcount,order,8,21,125770,14034,2408,0
xcount,order,8,22,141498,11740,840,0
xcount,order,8,23,76055,2864,0,0
xcount,order,8,24,11738,0,0,0
sharebin,order,4,0.000,730358,49,0,0
sharebin,order,4,0.083,5255,123,32,0
sharebin,order,4,0.167,6516,216,92,0
sharebin,order,4,0.250,7563,289,106,0
sharebin,order,4,0.333,9838,498,232,0
sharebin,order,4,0.417,7773,440,228,0
sharebin,order,4,0.500,10799,705,372,0
sharebin,order,4,0.583,7848,598,268,0
sharebin,order,4,0.667,8513,688,328,0
sharebin,order,4,0.750,7246,704,362,0
sharebin,order,4,0.833,5870,719,252,0
sharebin,order,4,0.917,730469,96544,49532,0
xcount,order,4,0,728558,0,0,0
xcount,order,4,1,2111,54,0,0
xcount,order,4,2,3889,110,44,0
xcount,order,4,3,4794,185,70,0
xcount,order,4,4,5875,407,138,0
xcount,order,4,5,7975,810,330,0
xcount,order,4,6,11749,1599,778,0
xcount,order,4,7,17928,2466,1350,0
xcount,order,4,8,25087,3332,2050,0
xcount,order,4,9,31238,3814,2582,0
xcount,order,4,10,34441,3831,2738,0
xcount,order,4,11,34196,3693,2628,0
xcount,order,4,12,32461,3370,2674,0
xcount,order,4,13,31635,3529,2732,0
xcount,order,4,14,33163,3800,3172,0
xcount,order,4,15,39289,5540,3740,0
xcount,order,4,16,57203,9463,5576,0
xcount,order,4,17,83606,12956,6656,0
xcount,order,4,18,100883,14266,6322,0
xcount,order,4,19,100303,13518,4854,0
xcount,order,4,20,84029,10020,2724,0
xcount,order,4,21,49264,4073,604,0
xcount,order,4,22,15940,696,42,0
xcount,order,4,23,2317,41,0,0
xcount,order,4,24,114,0,0,0
sharebin,order,2,0.000,759642,5,0,0
sharebin,order,2,0.083,815,15,0,0
sharebin,order,2,0.167,872,24,12,0
sharebin,order,2,0.250,1163,44,24,0
sharebin,order,2,0.333,1677,58,26,0
sharebin,order,2,0.417,1157,51,16,0
sharebin,order,2,0.500,1385,81,60,0
sharebin,order,2,0.583,1424,80,58,0
sharebin,order,2,0.667,1508,90,58,0
sharebin,order,2,0.750,952,115,88,0
sharebin,order,2,0.833,927,138,102,0
sharebin,order,2,0.917,759706,183203,67736,0
xcount,order,2,0,759506,0,0,0
xcount,order,2,1,742,16,0,0
xcount,order,2,2,82548,58793,12,0
xcount,order,2,3,190135,51118,10856,0
xcount,order,2,4,119045,15104,7686,0
xcount,order,2,5,57982,7681,4090,0
xcount,order,2,6,31646,3952,2958,0
xcount,order,2,7,22060,3826,3214,0
xcount,order,2,8,22955,4409,3852,0
xcount,order,2,9,25291,4563,4208,0
xcount,order,2,10,27063,4673,4450,0
xcount,order,2,11,27958,4845,4890,0
xcount,order,2,12,30978,5762,5732,0
xcount,order,2,13,36064,6680,6382,0
xcount,order,2,14,38232,6329,5460,0
xcount,order,2,15,31370,3967,3066,0
xcount,order,2,16,18128,1675,1066,0
xcount,order,2,17,7279,429,218,0
xcount,order,2,18,1849,74,34,0
xcount,order,2,19,347,7,6,0
xcount,order,2,20,45,1,0,0
xcount,order,2,21,5,0,0,0
sharebin,para,8,0.000,11205,97,0,234
sharebin,para,8,0.083,43501,718,64,448
sharebin,para,8,0.167,84044,2026,204,778
sharebin,para,8,0.250,142897,4149,522,1112
sharebin,para,8,0.333,224088,7896,938,1602
sharebin,para,8,0.417,224562,9373,1074,1360
sharebin,para,8,0.500,300728,14450,1762,1532
sharebin,para,8,0.583,188184,9329,1216,788
sharebin,para,8,0.667,162224,9254,1316,532
sharebin,para,8,0.750,97518,6093,950,264
sharebin,para,8,0.833,47340,3420,560,94
sharebin,para,8,0.917,11373,895,172,0
xcount,para,8,0,2809,0,0,80
xcount,para,8,1,8396,97,0,154
xcount,para,8,2,19400,273,28,226
xcount,para,8,3,29645,621,52,366
xcount,para,8,4,48959,1251,156,556
xcount,para,8,5,67764,1995,286,602
xcount,para,8,6,90358,2867,358,756
xcount,para,8,7,109263,4020,534,926
xcount,para,8,8,127381,5110,656,954
xcount,para,8,9,146645,6284,784,866
xcount,para,8,10,153119,7178,832,834
xcount,para,8,11,151928,7301,942,752
xcount,para,8,12,140977,7112,876,564
xcount,para,8,13,122979,6322,908,480
xcount,para,8,14,99148,5242,770,272
xcount,para,8,15,78369,4283,650,182
xcount,para,8,16,57646,3261,408,110
xcount,para,8,17,38425,2071,274,42
