ring,arm,m,seed,rho_init,rho_lastq,runmean_lastq,tape_lastq,s_share_lastq,fidelity,rho_osc
24,plain,8,1,0.583,0.000,17.329,21.483,0.000,1.000,0.000
24,plain,8,2,0.417,0.000,8.048,19.642,1.000,1.000,0.000
24,plain,8,3,0.333,0.000,8.546,19.783,1.000,1.000,0.000
24,plain,8,4,0.333,0.000,16.475,21.408,0.000,1.000,0.000
24,plain,8,5,0.500,0.000,16.479,21.383,0.000,1.000,0.000
24,plain,8,6,0.500,0.000,8.334,19.667,1.000,1.000,0.000
24,plain,8,7,0.417,0.000,8.198,19.700,1.000,1.000,0.000
24,plain,8,8,0.583,0.000,15.746,21.317,0.000,1.000,0.000
24,plain,8,9,0.667,0.000,7.804,19.600,1.000,1.000,0.045
24,plain,8,10,0.500,0.000,15.779,21.325,0.000,1.000,0.000
24,plain,8,11,0.667,0.000,15.863,21.325,0.000,1.000,0.000
24,plain,8,12,0.583,0.000,8.256,19.733,1.000,1.000,0.000
24,plain,8,13,0.500,0.082,5.877,20.500,0.453,1.000,0.027
24,plain,8,14,0.500,0.015,14.759,21.300,0.020,1.000,0.045
24,plain,8,15,0.417,0.000,16.617,21.425,0.000,1.000,0.000
24,plain,8,16,0.583,0.000,16.296,21.325,0.000,1.000,0.000
24,plain,8,17,0.667,0.000,7.968,19.500,1.000,1.000,0.000
24,plain,8,18,0.500,0.000,17.129,21.500,0.000,1.000,0.000
24,plain,8,19,0.417,0.000,8.319,19.583,1.000,1.000,0.000
24,plain,8,20,0.417,0.033,13.214,21.283,0.070,1.000,0.045
24,plain,8,21,0.417,0.000,17.188,21.458,0.000,1.000,0.000
24,plain,8,22,0.583,0.045,7.145,20.025,0.865,1.000,0.044
24,plain,8,23,0.500,0.000,8.572,19.692,1.000,1.000,0.000
24,plain,8,24,0.500,0.000,18.062,21.492,0.000,1.000,0.000
24,plain,8,25,0.417,0.000,15.846,21.350,0.000,1.000,0.000
24,plain,8,26,0.667,0.000,7.768,19.417,1.000,1.000,0.000
24,plain,8,27,0.333,0.000,8.236,19.667,1.000,1.000,0.000
24,plain,8,28,0.417,0.000,16.192,21.367,0.000,1.000,0.034
24,plain,8,29,0.417,0.000,16.637,21.392,0.000,1.000,0.000
24,plain,8,30,0.500,0.065,8.673,20.975,0.213,1.000,0.037
24,plain,8,31,0.500,0.000,16.742,21.425,0.000,1.000,0.000
24,plain,8,32,0.583,0.000,16.738,21.400,0.000,1.000,0.000
24,plain,4,1,0.583,0.000,6.738,19.033,0.000,1.000,0.000
24,plain,4,2,0.417,0.000,3.107,14.342,1.000,1.000,0.000
24,plain,4,3,0.333,0.000,6.789,19.008,0.000,1.000,0.000
24,plain,4,4,0.333,0.000,6.960,19.067,0.000,1.000,0.000
24,plain,4,5,0.500,0.000,6.620,19.058,0.000,1.000,0.000
