chem,struct,m,mix,seed,K,n,heads,rho_lastq,tape_lastq,fuel_lastq,runmean_lastq,cov_wrho,bvar_rho,drift,res,ext_ev,heads_created,rho_traj
paraonly,bulk4,8,none,1,1,48,4,0.2549,34.1963,0.1104,2.3444,,,0.0312,0,0,0,0.29;0.33;0.29;0.28;0.23;0.27;0.20;0.25
paraonly,bulk4,8,none,2,1,48,4,0.2283,33.0307,0.0859,2.4276,,,-0.1264,0,0,0,0.23;0.23;0.22;0.22;0.25;0.17;0.27;0.19
paraonly,bulk4,8,none,3,1,48,4,0.2408,36.4601,0.1166,2.5917,,,-0.2244,0,0,0,0.24;0.10;0.25;0.40;0.19;0.33;0.22;0.20
paraonly,bulk4,8,none,4,1,48,4,0.2099,32.6380,0.0613,2.4330,,,-0.1486,0,0,0,0.25;0.33;0.23;0.13;0.21;0.25;0.26;0.28
paraonly,bulk4,8,none,5,1,48,4,0.2525,36.1472,0.0613,2.5214,,,-0.1374,0,0,0,0.33;0.30;0.32;0.11;0.33;0.31;0.27;0.29
paraonly,bulk4,8,none,6,1,48,4,0.2611,35.3620,0.0491,2.3966,,,0.0208,0,0,0,0.26;0.17;0.19;0.16;0.35;0.27;0.27;0.32
paraonly,bulk4,8,none,7,1,48,4,0.2397,35.8282,0.0552,2.5335,,,-0.3533,0,0,0,0.28;0.28;0.23;0.20;0.19;0.32;0.19;0.16
paraonly,bulk4,8,none,8,1,48,4,0.2634,37.2515,0.0552,2.5080,,,-0.1370,0,0,0,0.21;0.20;0.31;0.23;0.24;0.21;0.25;0.20
paraonly,bulk4,8,none,9,1,48,4,0.2387,35.6810,0.0552,2.5031,,,0.0858,0,0,0,0.24;0.24;0.21;0.28;0.15;0.29;0.22;0.31
paraonly,bulk4,8,none,10,1,48,4,0.2153,35.9325,0.0429,2.7340,,,0.0054,0,0,0,0.25;0.32;0.24;0.31;0.27;0.27;0.27;0.26
paraonly,bulk4,8,none,11,1,48,4,0.2419,36.0307,0.0982,2.5818,,,-0.0857,0,0,0,0.23;0.30;0.19;0.23;0.20;0.27;0.22;0.31
paraonly,bulk4,8,none,12,1,48,4,0.2336,33.0307,0.1166,2.4446,,,-0.3065,0,0,0,0.24;0.11;0.25;0.28;0.20;0.36;0.26;0.21
paraonly,bulk4,8,none,13,1,48,4,0.2338,36.5951,0.0368,2.6806,,,-0.0287,0,0,0,0.17;0.17;0.19;0.30;0.30;0.32;0.18;0.19
paraonly,bulk4,8,none,14,1,48,4,0.2522,38.2025,0.0613,2.7036,,,-0.0395,0,0,0,0.27;0.22;0.32;0.19;0.21;0.26;0.20;0.24
paraonly,bulk4,8,none,15,1,48,4,0.2117,35.8098,0.0859,2.7007,,,-0.2321,0,0,0,0.26;0.27;0.26;0.35;0.24;0.17;0.25;0.14
paraonly,bulk4,8,none,16,1,48,4,0.2370,33.4110,0.0675,2.3791,,,-0.1450,0,0,0,0.19;0.16;0.08;0.25;0.41;0.41;0.24;0.12
paraonly,bulk4,8,none,17,1,48,4,0.2160,33.5276,0.0982,2.5038,,,-0.0648,0,0,0,0.28;0.27;0.37;0.17;0.34;0.28;0.27;0.15
paraonly,bulk4,8,none,18,1,48,4,0.2577,37.1227,0.0613,2.6088,,,-0.1722,0,0,0,0.12;0.21;0.23;0.22;0.28;0.26;0.32;0.22
paraonly,bulk4,8,none,19,1,48,4,0.2314,37.0061,0.0429,2.7024,,,-0.1414,0,0,0,0.33;0.19;0.31;0.30;0.18;0.38;0.23;0.21
paraonly,bulk4,8,none,20,1,48,4,0.2254,37.1288,0.0613,2.7089,,,-0.1310,0,0,0,0.24;0.27;0.24;0.25;0.32;0.32;0.21;0.25
paraonly,bulk4,8,none,21,1,48,4,0.2538,33.7178,0.0982,2.3540,,,-0.0550,0,0,0,0.15;0.27;0.33;0.29;0.24;0.30;0.21;0.32
paraonly,bulk4,8,none,22,1,48,4,0.2541,38.8896,0.0613,2.7116,,,0.0253,0,0,0,0.35;0.27;0.23;0.30;0.31;0.17;0.29;0.31
paraonly,bulk4,8,none,23,1,48,4,0.2619,35.8896,0.0613,2.4672,,,0.0475,0,0,0,0.20;0.10;0.10;0.30;0.27;0.18;0.31;0.35
paraonly,bulk4,8,none,24,1,48,4,0.2528,35.3926,0.0675,2.5160,,,-0.1591,0,0,0,0.28;0.26;0.23;0.20;0.29;0.31;0.28;0.30
paraonly,bulk4,8,scr,1,1,48,4,0.3092,41,0.0248,2.5503,,,-0.1544,0,0,0,0.15;0.19;0.20;0.17;0.18;0.32;0.29;0.26
