arm,m,seed,rho,runlen_hist,corr_same_tot,asym_tau
paraonly,8,1,0.2174,1:458;2:386;3:274;4:183;5:132;6:61;7:52;8:29;9:14;10:10;11:8;12:5;13:2;15:2;16:2,3250/4153;2509/4150;2085/4130;1954/4110;1914/4111;1927/4098;1921/4093;2059/4075,-0.00078;0.00426;0.00234;-0.00179;0.00268;0.00031;0.00192;0.00040;0.00143;-0.00218
paraonly,8,2,0.2384,1:477;2:498;3:291;4:177;5:111;6:59;7:38;8:27;9:18;10:7;11:7;12:5;13:2;15:1,3137/4119;2326/4128;2008/4105;1991/4083;1973/4066;2013/4076;2031/4068;2005/4067,-0.00175;-0.00479;-0.00477;-0.00332;-0.00027;-0.00400;0.00093;0.00041;0.00672;0.00648
paraonly,8,3,0.2388,1:423;2:458;3:332;4:173;5:121;6:64;7:43;8:32;9:14;10:14;11:1;12:5;13:2;15:1,3268/4293;2346/4280;1907/4263;1927/4265;2069/4247;2137/4233;2215/4231;2154/4234,-0.00014;-0.00086;0.00004;-0.00057;0.00032;0.00120;-0.00210;0.00150;-0.00469;-0.00458
paraonly,8,4,0.2332,1:466;2:480;3:285;4:145;5:120;6:80;7:42;8:30;9:17;10:6;11:8;12:2;13:1;14:1;15:1;16:1,3173/4138;2376/4120;2086/4116;1992/4123;1928/4086;1936/4068;2019/4072;2021/4057,0.00447;0.00471;0.00233;0.00356;0.00018;-0.00425;-0.00250;0.00111;-0.00483;-0.00381
paraonly,8,5,0.2250,1:509;2:423;3:307;4:151;5:104;6:70;7:38;8:19;9:10;10:16;11:7;12:9;13:3;15:3;17:1,3104/4005;2357/3991;2023/3966;2069/3960;2063/3944;2049/3936;2119/3942;2183/3918,-0.00083;-0.00210;0.00140;0.00042;0.00002;-0.00197;0.00249;0.00204;0.00108;0.00465
paraonly,8,6,0.2274,1:448;2:444;3:296;4:181;5:113;6:71;7:59;8:25;9:16;10:6;11:1;12:2;13:1;14:1;17:1,3170/4103;2343/4092;1969/4090;1864/4054;1834/4048;1871/4036;1932/4024;2003/4018,0.00537;0.00501;0.00506;0.00482;0.00464;0.00426;0.00968;0.00350;0.00259;0.00080
paraonly,8,7,0.2283,1:449;2:416;3:293;4:175;5:112;6:87;7:45;8:27;9:21;10:10;11:7;12:4;13:1;14:2;15:1,3293/4267;2502/4270;2119/4253;2005/4237;1999/4223;1936/4236;1906/4219;1897/4205,-0.00312;0.00003;0.00155;0.00303;0.00068;-0.00044;0.00007;-0.00164;-0.00620;0.00198
paraonly,8,8,0.2343,1:467;2:492;3:289;4:159;5:102;6:60;7:43;8:26;9:16;10:8;11:5;12:8;13:7;14:1;15:2;16:1;18:1,3190/4166;2393/4149;2099/4151;2152/4132;2206/4132;2268/4110;2273/4108;2143/4095,0.00458;0.01187;0.00934;0.00322;0.00153;0.01070;0.00430;0.00229;-0.00253;-0.00278
paraonly,8,9,0.2093,1:457;2:405;3:264;4:157;5:92;6:69;7:43;8:33;9:26;10:22;11:11;12:5;13:2;14:2;15:2;17:2,3287/4157;2591/4171;2218/4140;2154/4140;2159/4130;2093/4106;2057/4105;2048/4097,-0.00327;0.00156;-0.00737;-0.00390;-0.00108;0.00193;0.00438;-0.00016;-0.00420;-0.00423
paraonly,8,10,0.2295,1:385;2:422;3:303;4:215;5:103;6:80;7:40;8:32;9:20;10:6;11:7;12:4;13:3;14:3;19:1,3370/4374;2495/4342;2090/4342;2001/4319;2083/4329;2155/4318;2195/4296;2161/4306,0.00083;0.00617;0.00133;-0.00102;0.00053;0.00398;-0.00049;-0.00499;-0.00552;-0.00198
paraonly,8,11,0.2299,1:423;2:416;3:295;4:240;5:153;6:51;7:41;8:19;9:12;10:8;11:4;12:3;13:1;16:1,3240/4207;2340/4202;1819/4202;1650/4185;1824/4159;2080/4159;2191/4153;2247/4163,-0.00000;0.00346;0.01156;0.00957;0.00882;0.00524;0.00727;0.00018;-0.00126;-0.00261
paraonly,8,12,0.2197,1:405;2:448;3:289;4:163;5:147;6:62;7:43;8:27;9:17;10:10;11:4;12:5;13:4;14:1,3242/4155;2405/4144;2007/4115;1973/4132;1952/4109;2064/4104;2156/4078;2186/4075,0.00093;-0.00091;-0.00061;-0.00230;-0.00810;-0.00203;-0.00228;0.00090;-0.00049;0.00019
paraonly,8,13,0.2387,1:437;2:535;3:290;4:184;5:91;6:64;7:44;8:33;9:10;10:14;11:4;12:3;13:1;14:1;15:1,3164/4156;2287/4150;2008/4133;2041/4130;2075/4111;2067/4107;2032/4108;2032/4116,-0.00348;-0.00369;-0.00671;-0.00293;-0.00213;-0.00305;-0.00166;-0.00245;-0.00020;0.00061
paraonly,8,14,0.2344,1:452;2:464;3:307;4:164;5:95;6:72;7:45;8:34;9:21;10:13;11:5;12:4;13:1;14:1;16:1,3237/4228;2401/4216;2052/4202;2111/4204;2196/4188;2141/4200;2042/4165;2067/4167,0.00294;0.00213;-0.00213;-0.00192;0.00327;0.00520;0.00586;0.00295;0.00411;0.00071
paraonly,8,15,0.2226,1:421;2:439;3:275;4:187;5:108;6:73;7:50;8:41;9:16;10:12;11:3;12:1;13:3;14:2;15:1,3287/4228;2457/4227;2074/4207;1929/4203;1969/4205;2024/4183;2043/4182;2038/4184,0.00068;0.00268;-0.00310;-0.00263;-0.00368;-0.00403;-0.00730;-0.00845;-0.00937;-0.01053
paraonly,8,16,0.2146,1:413;2:407;3:265;4:202;5:115;6:60;7:47;8:37;9:22;10:12;11:7;12:4;14:2;15:1;16:1,3297/4198;2504/4184;2078/4166;1929/4143;1983/4144;2114/4132;2182/4128;2173/4131,-0.00186;0.00455;0.00523;0.00048;0.00051;-0.00262;-0.00197;0.00134;0.00393;0.00707
paraonly,8,17,0.2463,1:470;2:453;3:315;4:198;5:128;6:56;7:41;8:13;9:16;10:14;11:1;12:5;13:1;14:2;15:1;16:2,3207/4255;2355/4231;1961/4212;1906/4193;2021/4198;2160/4193;2214/4187;2176/4180,0.00093;0.00447;0.01079;0.01608;0.01517;0.01052;0.00583;0.00903;0.01369;0.01174
paraonly,8,18,0.2344,1:471;2:430;3:320;4:205;5:104;6:80;7:38;8:28;9:10;10:6;11:5;14:1;15:1,3136/4096;2301/4088;1855/4078;1749/4067;1828/4047;1973/4047;2102/4037;2156/4004,-0.00290;-0.00401;-0.01024;-0.00721;-0.00520;0.00173;-0.00042;0.00059;-0.00150;-0.00026
paraonly,8,19,0.2335,1:445;2:443;3:331;4:179;5:115;6:65;7:38;8:21;9:17;10:8;11:10;12:4;14:1;15:1,3181/4150;2338/4117;1942/4102;1961/4105;2044/4095;2077/4093;2099/4075;2044/4086,0.00093;-0.00663;-0.00119;-0.00438;0.00074;0.00320;0.00104;-0.00028;-0.00913;-0.01557
paraonly,8,20,0.2077,1:392;2:408;3:257;4:168;5:108;6:76;7:53;8:27;9:24;10:13;11:8;12:3;13:3;15:4;16:5;18:2;21:1;23:1,3410/4304;2633/4283;2278/4270;2164/4271;2136/4261;2152/4262;2266/4265;2307/4255,0.00487;0.00985;0.01403;0.01434;0.01116;0.00601;0.00493;0.00402;-0.00011;-0.00294
paraonly,8,21,0.2576,1:484;2:553;3:306;4:190;5:119;6:60;7:27;8:20;9:17;10:8;11:5;12:4,3115/4196;2219/4194;1959/4196;2003/4196;2056/4171;2063/4163;2066/4159;2077/4148,-0.00034;0.00293;0.00475;0.00481;0.00491;0.00185;0.00101;0.00375;0.00341;-0.00068
paraonly,8,22,0.2160,1:477;2:377;3:280;4:163;5:120;6:69;7:46;8:24;9:27;10:11;11:8;12:5;13:6;14:2;18:1,3260/4158;2555/4160;2177/4147;1984/4140;1888/4111;1880/4120;1978/4104;2077/4105,-0.00107;-0.00143;-0.00682;-0.00376;-0.00364;-0.00434;-0.00493;-0.00313;-0.00219;0.00140
paraonly,8,23,0.2237,1:439;2:407;3:285;4:172;5:122;6:63;7:47;8:34;9:24;10:16;11:8;12:3;13:3;14:1;15:1,3328/4287;2567/4269;2205/4263;2122/4260;2125/4262;2103/4230;1990/4237;1932/4220,0.00299;0.00522;0.00260;0.00883;0.00419;0.00756;-0.00191;-0.00212;0.00519;0.00955
paraonly,8,24,0.2429,1:498;2:472;3:271;4:182;5:97;6:79;7:49;8:24;9:20;10:7;11:8;12:2;13:1;14:2;15:1,3182/4203;2367/4203;2053/4162;1999/4153;1998/4144;1992/4146;1974/4138;1978/4130,-0.01154;-0.00748;-0.00782;-0.00613;-0.00645;-0.00762;0.00097;0.00764;0.00605;-0.00247
paraonly,8,25,0.2277,1:515;2:435;3:253;4:173;5:131;6:66;7:49;8:25;9:16;10:11;11:3;12:6;13:1;14:1;15:1,3145/4072;2403/4099;2050/4067;1905/4056;1920/4040;1983/4032;2095/4013;2173/4008,-0.00192;-0.00734;-0.00869;-0.00319;-0.00386;-0.01021;-0.00881;-0.00680;-0.01066;-0.00607
paraonly,8,26,0.2220,1:396;2:410;3:270;4:200;5:146;6:72;7:36;8:18;9:27;10:14;11:6;12:4;13:4;14:1;15:1;16:1,3372/4334;2541/4311;2132/4318;1968/4301;1993/4298;2108/4277;2195/4282;2169/4279,0.00473;0.00046;0.00818;0.00408;0.00144;0.00325;0.00694;0.00340;0.00164;-0.00297
