chem,walls,m,seed,rho,tape,crossings,deceptive,rho_flank,rho_interior
paraonly,0,2,1,0.3333333333333333,0.3333333333333333,0,1142,,0.3333333333333333
paraonly,0,2,2,0.0,0.16666666666666666,0,1150,,0.0
paraonly,0,2,3,0.0,0.20833333333333334,0,1140,,0.0
paraonly,0,2,4,0.3333333333333333,0.20833333333333334,0,1071,,0.3333333333333333
paraonly,0,2,5,0.0,0.125,0,1040,,0.0
paraonly,0,2,6,0.16666666666666666,0.4166666666666667,0,1036,,0.16666666666666666
paraonly,0,2,7,0.0,0.20833333333333334,0,1247,,0.0
paraonly,0,2,8,0.0,0.16666666666666666,0,1201,,0.0
paraonly,0,2,9,0.125,0.5,0,1231,,0.125
paraonly,0,2,10,0.0,0.25,0,1124,,0.0
paraonly,0,2,11,0.0,0.125,0,1198,,0.0
paraonly,0,2,12,0.3333333333333333,0.20833333333333334,0,1043,,0.3333333333333333
paraonly,0,2,13,0.4,0.2916666666666667,0,1090,,0.4
paraonly,0,2,14,0.2857142857142857,0.375,0,1141,,0.2857142857142857
paraonly,0,2,15,0.0,0.125,0,1122,,0.0
paraonly,0,2,16,0.6666666666666666,0.20833333333333334,0,1209,,0.6666666666666666
paraonly,0,2,17,0.0,0.16666666666666666,0,1199,,0.0
paraonly,0,2,18,0.5,0.16666666666666666,0,1063,,0.5
paraonly,0,2,19,0.25,0.3333333333333333,0,1053,,0.25
paraonly,0,2,20,0.2,0.3333333333333333,0,1217,,0.2
paraonly,0,2,21,0.2857142857142857,0.3333333333333333,0,1121,,0.2857142857142857
paraonly,0,2,22,0.0,0.16666666666666666,0,1230,,0.0
paraonly,0,2,23,0.0,0.125,0,1159,,0.0
paraonly,0,2,24,0.0,0.16666666666666666,0,1089,,0.0
paraonly,2,2,1,0.0,0.22727272727272727,452,589,,0.0
paraonly,2,2,2,0.0,0.22727272727272727,441,563,0.0,0.0
paraonly,2,2,3,0.0,0.18181818181818182,443,582,0.0,0.0
paraonly,2,2,4,0.0,0.2727272727272727,446,561,,0.0
paraonly,2,2,5,0.3333333333333333,0.3181818181818182,453,619,1.0,0.0
paraonly,2,2,6,0.0,0.22727272727272727,441,560,,0.0
paraonly,2,2,7,0.25,0.22727272727272727,449,603,0.0,0.3333333333333333
paraonly,2,2,8,0.0,0.13636363636363635,449,598,0.0,
paraonly,2,2,9,0.0,0.13636363636363635,446,533,,0.0
paraonly,2,2,10,0.5,0.13636363636363635,445,593,,0.5
paraonly,2,2,11,0.0,0.13636363636363635,450,668,,0.0
paraonly,2,2,12,0.0,0.13636363636363635,446,596,,0.0
paraonly,2,2,13,0.25,0.3181818181818182,444,614,,0.25
paraonly,2,2,14,0.0,0.13636363636363635,443,576,,0.0
paraonly,2,2,15,0.0,0.13636363636363635,449,612,,0.0
paraonly,2,2,16,0.0,0.22727272727272727,440,545,0.0,0.0
paraonly,2,2,17,0.0,0.18181818181818182,443,578,,0.0
paraonly,2,2,18,0.0,0.13636363636363635,450,629,,0.0
paraonly,2,2,19,,0.13636363636363635,444,573,,
paraonly,2,2,20,0.5,0.2727272727272727,443,578,1.0,0.3333333333333333
paraonly,2,2,21,0.0,0.13636363636363635,447,600,,0.0
paraonly,2,2,22,0.0,0.22727272727272727,450,697,,0.0
paraonly,2,2,23,0.0,0.18181818181818182,447,637,0.0,0.0
paraonly,2,2,24,,0.18181818181818182,449,643,,
paraonly,4,2,1,0.0,0.2,896,274,0.0,
paraonly,4,2,2,0.0,0.15,901,292,,0.0
paraonly,4,2,3,0.0,0.15,895,272,0.0,
paraonly,4,2,4,,0.1,880,233,,
paraonly,4,2,5,0.0,0.25,893,301,0.0,0.0
paraonly,4,2,6,0.0,0.2,900,285,,0.0
paraonly,4,2,7,0.0,0.15,885,257,,0.0
paraonly,4,2,8,0.0,0.25,902,264,0.0,0.0
paraonly,4,2,9,0.0,0.15,885,248,0.0,
paraonly,4,2,10,0.0,0.15,883,285,0.0,
paraonly,4,2,11,0.0,0.2,893,257,0.0,0.0
paraonly,4,2,12,0.0,0.15,882,283,0.0,
paraonly,4,2,13,0.0,0.2,882,237,0.0,0.0
paraonly,4,2,14,0.0,0.15,880,242,0.0,
paraonly,4,2,15,0.5,0.2,891,272,0.5,
paraonly,4,2,16,0.3333333333333333,0.25,887,257,0.5,0.0
paraonly,4,2,17,0.5,0.15,890,301,0.5,
paraonly,4,2,18,0.0,0.1,880,295,0.0,
paraonly,4,2,19,0.0,0.15,893,261,0.0,
paraonly,4,2,20,0.0,0.15,881,260,,0.0
paraonly,4,2,21,0.0,0.15,889,286,,0.0
paraonly,4,2,22,0.0,0.2,899,281,0.0,0.0
paraonly,4,2,23,0.25,0.3,887,264,0.0,0.3333333333333333
paraonly,4,2,24,0.0,0.2,892,289,0.0,0.0
paraonly,8,2,1,,0.125,1812,0,,
paraonly,8,2,2,0.0,0.25,1800,0,0.0,
paraonly,8,2,3,0.0,0.1875,1804,0,0.0,
paraonly,8,2,4,0.0,0.25,1800,0,0.0,
paraonly,8,2,5,,0.125,1801,0,,
paraonly,8,2,6,,0.0625,1806,0,,
paraonly,8,2,7,0.0,0.1875,1792,0,0.0,
paraonly,8,2,8,0.0,0.125,1800,0,0.0,
paraonly,8,2,9,,0.125,1800,0,,
paraonly,8,2,10,,0.1875,1804,0,,
paraonly,8,2,11,0.0,0.1875,1814,0,0.0,
paraonly,8,2,12,0.0,0.1875,1795,0,0.0,
paraonly,8,2,13,,0.125,1805,0,,
paraonly,8,2,14,0.0,0.1875,1801,0,0.0,
paraonly,8,2,15,,0.0625,1798,0,,
paraonly,8,2,16,0.0,0.125,1812,0,0.0,
paraonly,8,2,17,0.0,0.1875,1791,0,0.0,
paraonly,8,2,18,,0.125,1805,0,,
paraonly,8,2,19,,0.125,1803,0,,
paraonly,8,2,20,,0.125,1817,0,,
paraonly,8,2,21,0.0,0.1875,1798,0,0.0,
paraonly,8,2,22,0.0,0.1875,1808,0,0.0,
paraonly,8,2,23,,0.125,1802,0,,
paraonly,8,2,24,,0.125,1794,0,,
paraonly,0,8,1,0.21428571428571427,0.7916666666666666,0,205,,0.21428571428571427
paraonly,0,8,2,0.3333333333333333,0.9166666666666666,0,188,,0.3333333333333333
paraonly,0,8,3,0.2,0.9166666666666666,0,183,,0.2
paraonly,0,8,4,0.25,0.8333333333333334,0,218,,0.25
paraonly,0,8,5,0.3333333333333333,0.875,0,210,,0.3333333333333333
paraonly,0,8,6,0.35,0.9166666666666666,0,231,,0.35
paraonly,0,8,7,0.15,0.9166666666666666,0,197,,0.15
paraonly,0,8,8,0.26666666666666666,0.7916666666666666,0,228,,0.26666666666666666
paraonly,0,8,9,0.17647058823529413,0.8333333333333334,0,187,,0.17647058823529413
paraonly,0,8,10,0.2727272727272727,0.9583333333333334,0,213,,0.2727272727272727
paraonly,0,8,11,0.19047619047619047,0.9166666666666666,0,195,,0.19047619047619047
paraonly,0,8,12,0.25,0.9166666666666666,0,198,,0.25
paraonly,0,8,13,0.3,0.9166666666666666,0,225,,0.3
paraonly,0,8,14,0.15,0.9166666666666666,0,200,,0.15
paraonly,0,8,15,0.13333333333333333,0.7916666666666666,0,199,,0.13333333333333333
paraonly,0,8,16,0.16666666666666666,0.875,0,192,,0.16666666666666666
paraonly,0,8,17,0.2631578947368421,0.8333333333333334,0,183,,0.2631578947368421
paraonly,0,8,18,0.29411764705882354,0.8333333333333334,0,211,,0.29411764705882354
paraonly,0,8,19,0.2777777777777778,0.875,0,202,,0.2777777777777778
paraonly,0,8,20,0.21052631578947367,0.875,0,187,,0.21052631578947367
paraonly,0,8,21,0.25,0.7916666666666666,0,194,,0.25
paraonly,0,8,22,0.11764705882352941,0.8333333333333334,0,206,,0.11764705882352941
paraonly,0,8,23,0.25,0.9166666666666666,0,216,,0.25
paraonly,0,8,24,0.2222222222222222,0.875,0,216,,0.2222222222222222
paraonly,2,8,1,0.38461538461538464,0.7727272727272727,997,177,0.5,0.36363636363636365
paraonly,2,8,2,0.14285714285714285,0.8181818181818182,1037,161,0.0,0.16666666666666666
paraonly,2,8,3,0.25,0.9090909090909091,1012,160,0.0,0.26666666666666666
paraonly,2,8,4,0.14285714285714285,0.8636363636363636,967,182,0.0,0.18181818181818182
paraonly,2,8,5,0.2857142857142857,0.8636363636363636,978,160,0.25,0.3
paraonly,2,8,6,0.09090909090909091,0.7272727272727273,1006,161,0.0,0.1111111111111111
paraonly,2,8,7,0.1875,0.9090909090909091,1023,171,0.0,0.25
paraonly,2,8,8,0.1875,0.9090909090909091,998,194,0.0,0.23076923076923078
paraonly,2,8,9,0.23076923076923078,0.8181818181818182,1005,170,0.5,0.18181818181818182
paraonly,2,8,10,0.1875,0.8636363636363636,1007,153,0.0,0.23076923076923078
paraonly,2,8,11,0.15384615384615385,0.8181818181818182,997,165,0.0,0.2
paraonly,2,8,12,0.35294117647058826,0.9090909090909091,1003,173,0.25,0.38461538461538464
paraonly,2,8,13,0.17647058823529413,0.9090909090909091,1008,179,0.0,0.21428571428571427
paraonly,2,8,14,0.3125,0.8636363636363636,1028,164,0.0,0.35714285714285715
paraonly,2,8,15,0.2,0.8636363636363636,1002,142,0.0,0.23076923076923078
paraonly,2,8,16,0.23076923076923078,0.8181818181818182,1027,166,0.0,0.2727272727272727
paraonly,2,8,17,0.2,0.8636363636363636,1001,161,0.0,0.23076923076923078
paraonly,2,8,18,0.25,0.9090909090909091,972,159,0.25,0.25
paraonly,2,8,19,0.2,0.8181818181818182,1035,167,0.5,0.15384615384615385
paraonly,2,8,20,0.23076923076923078,0.8181818181818182,1033,164,0.5,0.18181818181818182
paraonly,2,8,21,0.4375,0.9090909090909091,1008,151,0.25,0.5
paraonly,2,8,22,0.058823529411764705,0.9090909090909091,998,167,0.3333333333333333,0.0
paraonly,2,8,23,0.21428571428571427,0.8636363636363636,1000,168,0.0,0.25
paraonly,2,8,24,0.26666666666666666,0.8636363636363636,1029,169,0.5,0.23076923076923078
paraonly,4,8,1,0.2,0.75,1942,115,0.25,0.16666666666666666
paraonly,4,8,2,0.4444444444444444,0.75,1967,123,0.5,0.4
paraonly,4,8,3,0.2727272727272727,0.8,1988,107,0.4,0.16666666666666666
paraonly,4,8,4,0.18181818181818182,0.8,1931,114,0.16666666666666666,0.2
paraonly,4,8,5,0.25,0.9,1948,101,0.3333333333333333,0.16666666666666666
paraonly,4,8,6,0.1,0.85,1997,106,0.3333333333333333,0.0
paraonly,4,8,7,0.09090909090909091,0.85,1916,123,0.14285714285714285,0.0
paraonly,4,8,8,0.1,0.8,1944,116,0.2,0.0
paraonly,4,8,9,0.2,0.8,1990,114,0.16666666666666666,0.25
paraonly,4,8,10,0.375,0.75,1973,96,0.5,0.0
paraonly,4,8,11,0.26666666666666666,0.95,1957,123,0.25,0.2857142857142857
paraonly,4,8,12,0.2727272727272727,0.85,2007,100,0.16666666666666666,0.4
paraonly,4,8,13,0.23076923076923078,0.9,1997,108,0.14285714285714285,0.3333333333333333
paraonly,4,8,14,0.3333333333333333,0.95,1939,118,0.25,0.42857142857142855
paraonly,4,8,15,0.15384615384615385,0.9,1984,112,0.0,0.2857142857142857
paraonly,4,8,16,0.15384615384615385,0.9,1957,118,0.2857142857142857,0.0
paraonly,4,8,17,0.0,0.85,1961,117,0.0,0.0
paraonly,4,8,18,0.2222222222222222,0.8,1959,100,0.25,0.2
paraonly,4,8,19,0.1111111111111111,0.7,1957,117,0.25,0.0
paraonly,4,8,20,0.1111111111111111,0.75,1934,115,0.14285714285714285,0.0
paraonly,4,8,21,0.3076923076923077,0.9,1930,111,0.2,0.375
paraonly,4,8,22,0.23076923076923078,0.9,1901,131,0.3333333333333333,0.14285714285714285
paraonly,4,8,23,0.2857142857142857,0.7,1970,107,0.3333333333333333,0.25
paraonly,4,8,24,0.25,0.85,2008,102,0.3333333333333333,0.16666666666666666
paraonly,8,8,1,0.16666666666666666,0.875,3757,0,0.16666666666666666,
paraonly,8,8,2,0.5,0.6875,3767,0,0.5,
paraonly,8,8,3,0.2,0.75,3751,0,0.2,
paraonly,8,8,4,0.2,0.8125,3713,0,0.2,
paraonly,8,8,5,0.0,0.8125,3780,0,0.0,
paraonly,8,8,6,0.4,0.8125,3719,0,0.4,
paraonly,8,8,7,0.16666666666666666,0.875,3736,0,0.16666666666666666,
paraonly,8,8,8,0.25,0.625,3725,0,0.25,
paraonly,8,8,9,0.0,0.75,3765,0,0.0,
paraonly,8,8,10,0.25,0.75,3757,0,0.25,
paraonly,8,8,11,0.3333333333333333,0.6875,3743,0,0.3333333333333333,
paraonly,8,8,12,0.14285714285714285,0.875,3729,0,0.14285714285714285,
paraonly,8,8,13,0.3333333333333333,0.875,3756,0,0.3333333333333333,
paraonly,8,8,14,0.4,0.8125,3722,0,0.4,
paraonly,8,8,15,0.0,0.875,3748,0,0.0,
paraonly,8,8,16,0.0,0.6875,3719,0,0.0,
paraonly,8,8,17,0.4,0.8125,3706,0,0.4,
paraonly,8,8,18,0.5,0.75,3782,0,0.5,
paraonly,8,8,19,0.16666666666666666,0.75,3730,0,0.16666666666666666,
paraonly,8,8,20,0.0,0.75,3743,0,0.0,
paraonly,8,8,21,0.2,0.8125,3750,0,0.2,
paraonly,8,8,22,0.16666666666666666,0.875,3737,0,0.16666666666666666,
paraonly,8,8,23,0.0,0.75,3724,0,0.0,
paraonly,8,8,24,0.6,0.75,3698,0,0.6,
plain,0,2,1,,0.08333333333333333,0,0,,
plain,0,2,2,0.0,0.125,0,0,,0.0
plain,0,2,3,0.0,0.125,0,0,,0.0
plain,0,2,4,0.0,0.16666666666666666,0,0,,0.0
plain,0,2,5,0.0,0.125,0,0,,0.0
plain,0,2,6,0.0,0.375,0,0,,0.0
plain,0,2,7,0.0,0.125,0,0,,0.0
plain,0,2,8,0.0,0.20833333333333334,0,0,,0.0
plain,0,2,9,0.0,0.125,0,0,,0.0
plain,0,2,10,0.0,0.20833333333333334,0,0,,0.0
plain,0,2,11,0.0,0.375,0,0,,0.0
plain,0,2,12,0.0,0.16666666666666666,0,0,,0.0
plain,0,2,13,0.0,0.125,0,0,,0.0
plain,0,2,14,0.0,0.25,0,0,,0.0
plain,0,2,15,0.0,0.125,0,0,,0.0
plain,0,2,16,0.0,0.375,0,0,,0.0
plain,0,2,17,0.0,0.16666666666666666,0,0,,0.0
plain,0,2,18,0.0,0.20833333333333334,0,0,,0.0
plain,0,2,19,0.0,0.125,0,0,,0.0
plain,0,2,20,0.0,0.2916666666666667,0,0,,0.0
plain,0,2,21,0.0,0.2916666666666667,0,0,,0.0
plain,0,2,22,0.0,0.125,0,0,,0.0
plain,0,2,23,0.0,0.2916666666666667,0,0,,0.0
plain,0,2,24,0.0,0.16666666666666666,0,0,,0.0
plain,2,2,1,0.0,0.22727272727272727,440,0,,0.0
plain,2,2,2,,0.09090909090909091,436,0,,
plain,2,2,3,0.0,0.18181818181818182,443,0,,0.0
plain,2,2,4,0.0,0.13636363636363635,454,0,,0.0
