k,genotype,consensus,classes,periods,transients,p_state,p_pop
1,A>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,A>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,A>A.req~,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
1,A>A.self,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
1,A>A.writeA,FIXED,FIXED;FIXED;FIXED,1;1;1,7;12;18,False,False
1,A>A.writeB,FIXED,FIXED;FIXED;FIXED,1;1;1,1;1;1,False,False
1,A>A.write~,FIXED,FIXED;FIXED;FIXED,1;1;1,0;0;0,False,False
1,A>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,A>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,A>B.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
1,A>B.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
1,A>B.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,5;5;5,True,False
1,A>B.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
1,A>B.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
1,A>~.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,A>~.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,A>~.req~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
1,A>~.self,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
1,A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION,6;6;6,0;0;0,True,False
1,A>~.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,1;1;1,False,False
1,A>~.write~,ABSORBED_EMPTY,ABSORBED_EMPTY;ABSORBED_EMPTY;ABSORBED_EMPTY,None;None;None,1;1;1,False,False
1,B>A.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,B>A.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,B>A.req~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,B>A.self,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,B>A.writeA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,B>A.writeB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,B>A.write~,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,B>B.reqA,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
1,B>B.reqB,ABSORBED_FROZEN,ABSORBED_FROZEN;ABSORBED_FROZEN;ABSORBED_FROZEN,None;None;None,0;0;0,False,False
