k,genotype,consensus,classes,periods,transients,p_state,p_pop
1,A>B.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,5;5;5;7;7;7,True,False
1,A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>A.reqA|A>B.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,5;5;5;7;7;7,True,False
2,A>A.reqA|A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>A.reqB|A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>A.req~|A>B.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,9;9;9;17;19;15,True,False
2,A>A.writeB|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,8;12;17;32;63;37,True,False
2,A>B.reqA|A>B.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,5;5;5;7;7;7,True,False
2,A>B.reqA|A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>B.reqB|A>~.writeA,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,0;0;0;0;0;0,True,False
2,A>B.req~|B>A.req~,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,2;2;2;2;2;2,0;0;0;0;0;0,True,True
2,A>B.req~|B>A.self,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,2;2;2;2;2;2,0;0;0;0;0;0,True,True
2,A>B.req~|B>A.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,6;6;6;8;8;8,True,False
2,A>B.req~|B>A.write~,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,2;2;2;2;2;2,0;0;0;0;0;0,True,True
2,A>B.req~|B>~.writeA,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,12;12;12;16;16;16,0;0;0;0;0;0,True,True
2,A>B.req~|B>~.writeB,TRANSLATION,TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION;TRANSLATION,6;6;6;8;8;8,1;1;1;1;1;1,True,False
2,A>B.self|B>A.req~,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,2;2;2;2;2;2,0;0;0;0;0;0,True,True
2,A>B.self|B>A.self,POP_OSC,POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC;POP_OSC,2;2;2;2;2;2,0;0;0;0;0;0,True,True
