k,gid,pre,ring,m,survival,recovery,meanA,meanB,min_total,max_total,pokes_landed
1,A>A.writeA,FIXED,6,0,0.00,0.00,3.50,0.00,1,6,6.00
1,A>A.writeA,FIXED,6,1,1.00,1.00,2.16,0.00,2,6,100.00
1,A>A.writeA,FIXED,6,2,1.00,1.00,3.99,0.00,2,6,100.00
1,A>A.writeA,FIXED,6,3,1.00,1.00,4.72,0.00,2,6,100.00
1,A>A.writeA,FIXED,6,5,1.00,1.00,5.37,0.00,2,6,100.00
1,A>A.writeA,FIXED,6,8,1.00,1.00,5.77,0.00,4,6,100.00
1,A>A.writeA,FIXED,6,12,1.00,1.00,5.93,0.00,5,6,100.00
1,A>A.writeA,FIXED,6,20,1.00,1.00,5.99,0.00,5,6,100.00
1,A>A.writeA,FIXED,6,40,1.00,1.00,6.00,0.00,6,6,100.00
1,A>A.writeA,FIXED,12,0,0.00,0.00,6.50,0.00,1,12,12.00
1,A>A.writeA,FIXED,12,1,1.00,1.00,2.92,0.00,2,12,100.00
1,A>A.writeA,FIXED,12,2,1.00,1.00,5.92,0.00,2,12,100.00
1,A>A.writeA,FIXED,12,3,1.00,1.00,7.82,0.00,3,12,100.00
1,A>A.writeA,FIXED,12,5,1.00,1.00,10.05,0.00,5,12,100.00
1,A>A.writeA,FIXED,12,8,1.00,1.00,11.07,0.00,8,12,100.00
1,A>A.writeA,FIXED,12,12,1.00,1.00,11.48,0.00,9,12,100.00
1,A>A.writeA,FIXED,12,20,1.00,1.00,11.78,0.00,9,12,100.00
1,A>A.writeA,FIXED,12,40,1.00,1.00,11.98,0.00,11,12,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,0,0.00,0.00,3.03,0.47,1,6,6.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,1,1.00,1.00,1.62,1.20,2,6,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,2,1.00,1.00,3.77,1.83,4,6,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,3,1.00,1.00,4.16,1.73,5,6,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,5,1.00,1.00,4.56,1.43,5,6,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,8,1.00,1.00,4.75,1.25,6,6,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,12,1.00,1.00,4.87,1.13,6,6,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,20,1.00,1.00,4.96,1.04,6,6,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,6,40,1.00,1.00,5.00,1.01,6,6,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,0,0.00,0.00,5.83,0.67,1,12,12.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,1,1.00,1.00,2.91,1.48,2,12,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,2,1.00,1.00,7.28,3.04,7,12,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,3,1.00,1.00,8.40,2.90,9,12,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,5,1.00,1.00,9.04,2.79,10,12,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,8,1.00,1.00,9.53,2.45,11,12,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,12,1.00,1.00,10.00,2.00,11,12,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,20,1.00,1.00,10.39,1.61,12,12,100.00
2,A>A.reqwrite~B|B>A.writeB,TRANSLATION,12,40,1.00,1.00,10.74,1.26,12,12,100.00
2,A>A.reqwrite~B|B>A.write~,POP_OSC,6,0,0.00,0.00,3.00,0.00,1,5,5.00
