m,w,target,seed,outcome,t_ext1,t_ext2,res1,res2,dormant1,dormant2,mean_share1,end_l1,end_l2,pokes
inf,1,none,1,FIX2,28,,0,0,0,0,0.000,0,24,0
inf,1,none,2,FIX2,74,,0,0,0,0,0.001,0,24,0
inf,1,none,3,FIX1,,66,0,0,0,0,0.999,24,0,0
inf,1,none,4,FIX1,,182,0,0,0,0,0.996,24,0,0
inf,1,none,5,FIX1,,18,0,0,0,0,1.000,24,0,0
inf,1,none,6,FIX1,,148,0,0,0,0,0.997,24,0,0
inf,1,none,7,FIX1,,196,0,0,0,0,0.996,24,0,0
inf,1,none,8,FIX2,96,,0,0,0,0,0.002,0,24,0
inf,1,none,9,FIX2,98,,0,0,0,0,0.001,0,24,0
inf,1,none,10,FIX2,58,,0,0,0,0,0.001,0,24,0
inf,1,none,11,FIX2,70,,0,0,0,0,0.001,0,24,0
inf,1,none,12,FIX1,,46,0,0,0,0,0.999,24,0,0
inf,1,none,13,FIX2,48,,0,0,0,0,0.001,0,24,0
inf,1,none,14,FIX1,,116,0,0,0,0,0.998,24,0,0
inf,1,none,15,FIX1,,186,0,0,0,0,0.996,24,0,0
inf,1,none,16,FIX1,,200,0,0,0,0,0.997,24,0,0
inf,1,none,17,FIX2,98,,0,0,0,0,0.001,0,24,0
inf,1,none,18,FIX2,50,,0,0,0,0,0.001,0,24,0
inf,1,none,19,FIX1,,152,0,0,0,0,0.998,24,0,0
inf,1,none,20,FIX1,,102,0,0,0,0,0.999,24,0,0
inf,1,none,21,FIX1,,174,0,0,0,0,0.997,24,0,0
inf,1,none,22,FIX1,,52,0,0,0,0,0.999,24,0,0
inf,1,none,23,FIX1,,176,0,0,0,0,0.996,24,0,0
inf,1,none,24,FIX2,256,,0,0,0,0,0.005,0,24,0
16,1,none,1,FIX2,28,,0,0,0,0,0.000,0,24,1411
16,1,none,2,FIX2,464,,1,0,3,0,0.006,0,24,1411
16,1,none,3,FIX1,,450,0,0,0,0,0.995,24,0,1411
16,1,none,4,FIX1,,328,0,0,0,0,0.993,24,0,1411
16,1,none,5,FIX1,,18,0,0,0,0,1.000,24,0,1411
16,1,none,6,FIX1,,488,2,1,2,2,0.990,24,0,1411
16,1,none,7,FIX2,79,,1,0,3,0,0.001,0,24,1411
16,1,none,8,FIX2,194,,0,1,0,1,0.003,0,24,1411
16,1,none,9,FIX2,146,,0,1,0,1,0.002,0,24,1411
16,1,none,10,FIX2,58,,0,0,0,0,0.001,0,24,1411
16,1,none,11,FIX2,69,,1,0,1,0,0.001,0,24,1411
16,1,none,12,FIX1,,46,2,0,2,0,0.999,24,0,1411
16,1,none,13,FIX2,48,,0,0,0,0,0.001,0,24,1411
16,1,none,14,FIX1,,82,1,0,1,0,0.999,24,0,1411
16,1,none,15,FIX2,322,,0,0,2,0,0.004,0,24,1411
16,1,none,16,FIX2,183,,0,1,0,1,0.004,0,24,1411
16,1,none,17,FIX2,839,,1,1,2,1,0.015,0,24,1411
16,1,none,18,FIX2,50,,0,3,0,3,0.001,0,24,1411
16,1,none,19,FIX2,398,,0,2,0,6,0.009,0,24,1411
16,1,none,20,FIX2,196,,1,0,2,0,0.004,0,24,1411
16,1,none,21,FIX2,641,,2,1,3,1,0.008,0,24,1411
16,1,none,22,FIX1,,52,2,0,2,0,0.999,24,0,1411
16,1,none,23,FIX1,,208,0,1,0,2,0.996,24,0,1411
16,1,none,24,FIX1,,567,0,0,0,0,0.988,24,0,1411
8,1,none,1,FIX2,28,,0,0,0,0,0.000,0,24,2666
8,1,none,2,FIX1,,407,1,0,5,0,0.992,24,0,2666
8,1,none,3,FIX1,,95,0,0,0,0,0.999,24,0,2666
8,1,none,4,FIX2,378,,0,0,16,0,0.005,0,24,2666
8,1,none,5,FIX1,,18,0,0,0,0,1.000,23,0,2666
8,1,none,6,FIX1,,295,0,2,0,6,0.996,23,0,2666
8,1,none,7,FIX2,79,,1,0,3,0,0.001,0,23,2666
8,1,none,8,FIX1,,314,0,2,0,7,0.996,24,0,2666
8,1,none,9,FIX1,,406,0,2,0,10,0.991,23,0,2666
8,1,none,10,FIX2,58,,0,0,0,0,0.001,0,24,2666
8,1,none,11,FIX2,69,,1,0,1,0,0.001,0,24,2666
8,1,none,12,FIX1,,46,0,0,0,0,0.999,24,0,2666
8,1,none,13,FIX2,48,,0,0,0,0,0.001,0,24,2666
8,1,none,14,FIX1,,857,1,0,4,0,0.982,24,0,2666
8,1,none,15,FIX1,,466,0,0,0,0,0.989,24,0,2666
8,1,none,16,FIX1,,194,0,0,0,0,0.997,24,0,2666
8,1,none,17,FIX1,,817,1,1,4,1,0.981,24,0,2666
8,1,none,18,FIX2,50,,0,0,0,0,0.001,0,23,2666
8,1,none,19,FIX1,,392,0,0,0,0,0.993,23,0,2666
8,1,none,20,FIX1,,230,1,1,2,1,0.996,24,0,2666
8,1,none,21,FIX2,437,,0,0,0,0,0.005,0,24,2666
8,1,none,22,FIX1,,52,0,0,0,0,0.999,24,0,2666
8,1,none,23,FIX1,,727,0,0,0,14,0.985,23,0,2666
8,1,none,24,FIX1,,210,0,1,0,17,0.997,23,0,2666
4,1,none,1,FIX2,28,,0,0,0,0,0.000,0,20,4800
4,1,none,2,FIX2,402,,4,0,29,0,0.004,0,20,4800
4,1,none,3,FIX1,,74,0,1,0,1,0.999,22,0,4800
4,1,none,4,FIX2,449,,0,2,0,3,0.010,0,24,4800
4,1,none,5,FIX1,,18,0,0,0,0,1.000,23,0,4800
4,1,none,6,FIX1,,290,0,0,0,0,0.997,21,0,4800
4,1,none,7,FIX1,,139,1,0,3,0,0.997,23,0,4800
4,1,none,8,FIX1,,162,0,0,0,0,0.998,22,0,4800
4,1,none,9,FIX2,217,,1,0,2,0,0.003,0,21,4800
4,1,none,10,FIX2,58,,0,0,0,0,0.001,0,21,4800
4,1,none,11,FIX2,69,,1,0,1,0,0.001,0,22,4800
4,1,none,12,FIX1,,46,0,0,0,0,0.999,23,0,4800
4,1,none,13,FIX2,48,,0,0,0,0,0.001,0,23,4800
4,1,none,14,FIX2,444,,1,0,7,0,0.007,0,20,4800
4,1,none,15,FIX2,75,,0,0,0,0,0.001,0,22,4800
4,1,none,16,FIX1,,173,0,1,0,7,0.998,22,0,4800
4,1,none,17,FIX2,106,,1,0,3,0,0.001,0,22,4800
4,1,none,18,FIX2,50,,0,0,0,0,0.001,0,23,4800
4,1,none,19,FIX1,,915,0,3,0,25,0.984,22,0,4800
4,1,none,20,FIX1,,1087,1,0,2,0,0.978,20,0,4800
4,1,none,21,FIX2,324,,2,0,4,0,0.004,0,21,4800
4,1,none,22,FIX1,,52,0,0,0,0,0.999,21,0,4800
4,1,none,23,FIX2,492,,0,0,0,0,0.011,0,22,4800
4,1,none,24,FIX1,,906,0,2,0,8,0.987,24,0,4800
2,1,none,1,FIX2,28,,0,0,0,0,0.000,0,14,8000
2,1,none,2,FIX2,89,,0,1,9,1,0.001,0,13,8000
