init,m,mu,seed,outcome,t_birth,t_secure,births_A,births_C,mut_BD,mut_DB,mutant_share_lastq,end_slow,end_fast,pokes
slow,inf,0.001,1,NO_BIRTH,,,0,0,1051,40,0.024,24,0,0
slow,inf,0.001,2,NO_BIRTH,,,0,0,1044,23,0.022,24,0,0
slow,inf,0.001,3,NO_BIRTH,,,0,0,1012,15,0.024,23,1,0
slow,inf,0.001,4,NO_BIRTH,,,0,0,1018,22,0.023,24,0,0
slow,inf,0.001,5,NO_BIRTH,,,0,0,1054,25,0.026,23,1,0
slow,inf,0.001,6,NO_BIRTH,,,0,0,1007,27,0.019,24,0,0
slow,inf,0.001,7,NO_BIRTH,,,0,0,1000,23,0.021,24,0,0
slow,inf,0.001,8,NO_BIRTH,,,0,0,1042,18,0.021,24,0,0
slow,inf,0.001,9,NO_BIRTH,,,0,0,1000,25,0.024,24,0,0
slow,inf,0.001,10,NO_BIRTH,,,0,0,1081,32,0.026,23,1,0
slow,inf,0.001,11,NO_BIRTH,,,0,0,1058,25,0.020,23,1,0
slow,inf,0.001,12,NO_BIRTH,,,0,0,971,21,0.023,24,0,0
slow,inf,0.001,13,NO_BIRTH,,,0,0,1015,20,0.018,23,1,0
slow,inf,0.001,14,NO_BIRTH,,,0,0,1046,19,0.015,23,1,0
slow,inf,0.001,15,NO_BIRTH,,,0,0,1014,12,0.020,23,1,0
slow,inf,0.001,16,NO_BIRTH,,,0,0,1048,26,0.021,24,0,0
slow,inf,0.001,17,NO_BIRTH,,,0,0,1060,32,0.020,24,0,0
slow,inf,0.001,18,NO_BIRTH,,,0,0,971,23,0.020,24,0,0
slow,inf,0.001,19,NO_BIRTH,,,0,0,1038,20,0.023,24,0,0
slow,inf,0.001,20,NO_BIRTH,,,0,0,1026,20,0.019,24,0,0
slow,inf,0.001,21,NO_BIRTH,,,0,0,1047,33,0.022,24,0,0
slow,inf,0.001,22,NO_BIRTH,,,0,0,1041,29,0.023,24,0,0
slow,inf,0.001,23,NO_BIRTH,,,0,0,1023,23,0.021,24,0,0
slow,inf,0.001,24,NO_BIRTH,,,0,0,983,32,0.021,22,2,0
slow,inf,0.003,1,NO_BIRTH,,,0,0,2744,185,0.070,24,0,0
slow,inf,0.003,2,NO_BIRTH,,,0,0,2664,187,0.059,20,4,0
slow,inf,0.003,3,NO_BIRTH,,,0,0,2736,189,0.067,21,3,0
slow,inf,0.003,4,NO_BIRTH,,,0,0,2667,170,0.065,21,3,0
slow,inf,0.003,5,NO_BIRTH,,,0,0,2734,185,0.075,22,2,0
slow,inf,0.003,6,NO_BIRTH,,,0,0,2839,192,0.064,23,1,0
slow,inf,0.003,7,NO_BIRTH,,,0,0,2696,169,0.066,24,0,0
slow,inf,0.003,8,NO_BIRTH,,,0,0,2741,199,0.066,23,1,0
slow,inf,0.003,9,NO_BIRTH,,,0,0,2710,195,0.065,23,1,0
slow,inf,0.003,10,NO_BIRTH,,,0,0,2833,199,0.059,21,3,0
slow,inf,0.003,11,NO_BIRTH,,,0,0,2814,188,0.074,24,0,0
slow,inf,0.003,12,NO_BIRTH,,,0,0,2731,168,0.064,24,0,0
slow,inf,0.003,13,NO_BIRTH,,,0,0,2691,172,0.058,23,1,0
slow,inf,0.003,14,NO_BIRTH,,,0,0,2715,178,0.061,24,0,0
slow,inf,0.003,15,NO_BIRTH,,,0,0,2789,171,0.064,21,3,0
slow,inf,0.003,16,NO_BIRTH,,,0,0,2811,181,0.065,23,1,0
slow,inf,0.003,17,NO_BIRTH,,,0,0,2761,173,0.066,24,0,0
slow,inf,0.003,18,NO_BIRTH,,,0,0,2635,154,0.055,24,0,0
slow,inf,0.003,19,NO_BIRTH,,,0,0,2806,205,0.065,24,0,0
slow,inf,0.003,20,NO_BIRTH,,,0,0,2764,195,0.063,23,1,0
slow,inf,0.003,21,NO_BIRTH,,,0,0,2791,221,0.060,23,1,0
slow,inf,0.003,22,NO_BIRTH,,,0,0,2722,195,0.068,24,0,0
