init,m,mu,seed,winner,t_death,path,t_birth1,t_birth2,t_birth3,births1,births2,births3,mutations,fitness_lastq,share1,share2,share3,pokes
slow,inf,0.001,1,FIX3,,3,,,1,0,0,0,1446,0.358,0.031,0.026,0.943,0
slow,inf,0.001,2,FIX3,,3,,,1,0,0,0,1416,0.358,0.029,0.031,0.940,0
slow,inf,0.001,3,FIX3,,3,,,1,0,0,0,1392,0.358,0.030,0.028,0.942,0
slow,inf,0.001,4,FIX3,,3,,,1,0,0,0,1397,0.360,0.032,0.033,0.935,0
slow,inf,0.001,5,FIX3,,3,,,1,0,0,0,1394,0.359,0.031,0.028,0.941,0
slow,inf,0.001,6,FIX3,,3,,,1,0,0,0,1380,0.359,0.031,0.031,0.938,0
slow,inf,0.001,7,FIX3,,3,,,1,0,0,0,1377,0.357,0.028,0.033,0.939,0
slow,inf,0.001,8,FIX3,,3,,,1,0,0,0,1383,0.355,0.026,0.027,0.947,0
slow,inf,0.001,9,FIX3,,3,,,1,0,0,0,1374,0.357,0.027,0.032,0.941,0
slow,inf,0.001,10,FIX3,,3,,,1,0,0,0,1370,0.358,0.030,0.031,0.939,0
slow,inf,0.001,11,FIX3,,3,,,1,0,0,0,1405,0.362,0.035,0.029,0.936,0
slow,inf,0.001,12,FIX3,,3,,,1,0,0,0,1364,0.357,0.028,0.030,0.942,0
slow,inf,0.001,13,FIX3,,3,,,1,0,0,0,1390,0.361,0.033,0.031,0.936,0
slow,inf,0.001,14,FIX3,,3,,,1,0,0,0,1404,0.359,0.030,0.033,0.936,0
slow,inf,0.001,15,FIX3,,3,,,1,0,0,0,1418,0.360,0.033,0.030,0.938,0
slow,inf,0.001,16,FIX3,,3,,,1,0,0,0,1447,0.363,0.036,0.036,0.928,0
slow,inf,0.001,17,FIX3,,3,,,1,0,0,0,1385,0.356,0.026,0.031,0.944,0
slow,inf,0.001,18,FIX3,,3,,,1,0,0,0,1374,0.365,0.040,0.030,0.930,0
slow,inf,0.001,19,FIX3,,3,,,1,0,0,0,1413,0.359,0.031,0.029,0.940,0
slow,inf,0.001,20,FIX3,,3,,,1,0,0,0,1407,0.359,0.030,0.031,0.938,0
slow,inf,0.001,21,FIX3,,3,,,1,0,0,0,1430,0.359,0.029,0.036,0.935,0
slow,inf,0.001,22,FIX3,,3,,,1,0,0,0,1457,0.359,0.030,0.035,0.935,0
slow,inf,0.001,23,FIX3,,3,,,1,0,0,0,1401,0.362,0.035,0.031,0.935,0
slow,inf,0.001,24,FIX3,,3,,,1,0,0,0,1421,0.363,0.038,0.030,0.933,0
slow,inf,0.003,1,FIX3,,3,,,1,0,0,0,3837,0.400,0.082,0.075,0.843,0
slow,inf,0.003,2,FIX3,,3,,,1,0,0,0,3863,0.399,0.077,0.083,0.840,0
slow,inf,0.003,3,FIX3,,3,,,1,0,0,0,3840,0.404,0.086,0.079,0.835,0
slow,inf,0.003,4,FIX3,,3,,,1,0,0,0,3969,0.406,0.086,0.087,0.826,0
slow,inf,0.003,5,FIX3,,3,,,1,0,0,0,3810,0.401,0.082,0.078,0.840,0
slow,inf,0.003,6,FIX3,,3,,,1,0,0,0,3926,0.404,0.089,0.072,0.840,0
slow,inf,0.003,7,FIX3,,3,,,1,0,0,0,3857,0.397,0.077,0.076,0.847,0
slow,inf,0.003,8,FIX3,,3,,,1,0,0,0,3849,0.402,0.084,0.077,0.839,0
slow,inf,0.003,9,FIX3,,3,,,1,0,0,0,3892,0.400,0.080,0.077,0.843,0
slow,inf,0.003,10,FIX3,,3,,,1,0,0,0,3927,0.394,0.071,0.076,0.852,0
slow,inf,0.003,11,FIX3,,3,,,1,0,0,0,3856,0.401,0.083,0.076,0.841,0
slow,inf,0.003,12,FIX3,,3,,,1,0,0,0,3864,0.401,0.080,0.084,0.836,0
slow,inf,0.003,13,FIX3,,3,,,1,0,0,0,3778,0.404,0.087,0.078,0.835,0
slow,inf,0.003,14,FIX3,,3,,,1,0,0,0,3847,0.397,0.077,0.076,0.847,0
slow,inf,0.003,15,FIX3,,3,,,1,0,0,0,3929,0.394,0.070,0.083,0.847,0
slow,inf,0.003,16,FIX3,,3,,,1,0,0,0,4000,0.400,0.077,0.090,0.833,0
slow,inf,0.003,17,FIX3,,3,,,1,0,0,0,3906,0.400,0.079,0.086,0.835,0
slow,inf,0.003,18,FIX3,,3,,,1,0,0,0,3849,0.397,0.076,0.079,0.845,0
slow,inf,0.003,19,FIX3,,3,,,1,0,0,0,3964,0.401,0.080,0.086,0.834,0
slow,inf,0.003,20,FIX3,,3,,,1,0,0,0,3921,0.402,0.084,0.079,0.838,0
slow,inf,0.003,21,FIX3,,3,,,1,0,0,0,4004,0.407,0.089,0.088,0.823,0
slow,inf,0.003,22,FIX3,,3,,,1,0,0,0,3891,0.402,0.083,0.080,0.837,0
slow,inf,0.003,23,FIX3,,3,,,1,0,0,0,3870,0.403,0.084,0.082,0.834,0
slow,inf,0.003,24,FIX3,,3,,,1,0,0,0,3803,0.398,0.075,0.084,0.840,0
slow,inf,0.010,1,FIX3,,3,,,1,0,0,0,10235,0.485,0.182,0.182,0.637,0
slow,inf,0.010,2,FIX3,,3,,,1,0,0,0,10041,0.485,0.180,0.191,0.629,0
slow,inf,0.010,3,FIX3,,3,,,1,0,0,0,10144,0.491,0.190,0.181,0.628,0
slow,inf,0.010,4,FIX3,,3,,,1,0,0,0,10139,0.490,0.188,0.189,0.624,0
slow,inf,0.010,5,FIX3,,3,,,1,0,0,0,10029,0.489,0.187,0.186,0.627,0
slow,inf,0.010,6,FIX3,,3,,,1,0,0,0,10167,0.487,0.183,0.189,0.628,0
slow,inf,0.010,7,FIX3,,3,,,1,0,0,0,10182,0.488,0.186,0.185,0.630,0
slow,inf,0.010,8,FIX3,,3,,,1,0,0,0,10064,0.485,0.182,0.185,0.633,0
