ring,heads,s0frac,m,seed,s_init,s_final,s_lastq,pokes_f,pokes_s,repairs_f,repairs_s,moves_q1,moves_q4,min_tape
24,2,0.250,inf,1,0.250,0.250,0.250,0,0,0,0,4806,4805,22
24,2,0.250,inf,2,0.208,0.208,0.208,0,0,0,0,4973,4973,22
24,2,0.250,inf,3,0.125,0.125,0.125,0,0,0,0,5339,5340,22
24,2,0.250,inf,4,0.250,0.250,0.250,0,0,0,0,4807,4807,22
24,2,0.250,inf,5,0.208,0.208,0.208,0,0,0,0,4971,4972,22
24,2,0.250,inf,6,0.250,0.250,0.250,0,0,0,0,4806,4806,22
24,2,0.250,inf,7,0.208,0.208,0.208,0,0,0,0,4971,4972,22
24,2,0.250,inf,8,0.208,0.208,0.208,0,0,0,0,4973,4972,22
24,2,0.250,inf,9,0.208,0.208,0.208,0,0,0,0,4971,4972,22
24,2,0.250,inf,10,0.250,0.250,0.250,0,0,0,0,4807,4805,22
24,2,0.250,inf,11,0.250,0.250,0.250,0,0,0,0,4807,4808,22
24,2,0.250,inf,12,0.208,0.208,0.208,0,0,0,0,4972,4972,22
24,2,0.250,inf,13,0.250,0.250,0.250,0,0,0,0,4807,4806,22
24,2,0.250,inf,14,0.208,0.208,0.208,0,0,0,0,4972,4971,22
24,2,0.250,inf,15,0.250,0.250,0.250,0,0,0,0,4807,4807,22
24,2,0.250,inf,16,0.250,0.250,0.250,0,0,0,0,4808,4806,22
24,2,0.250,8,1,0.250,0.000,0.000,2651,15,2656,9,4566,4669,16
24,2,0.250,8,2,0.208,0.000,0.000,2656,10,2659,5,4638,4671,17
24,2,0.250,8,3,0.125,0.000,0.000,2650,16,2651,13,4586,4672,16
24,2,0.250,8,4,0.250,1.000,1.000,547,2119,529,2130,3488,2337,12
24,2,0.250,8,5,0.208,0.000,0.000,2506,160,2510,155,3904,4671,15
24,2,0.250,8,6,0.250,0.000,0.000,2637,29,2642,23,4496,4670,16
24,2,0.250,8,7,0.208,1.000,1.000,132,2534,113,2548,2661,2338,12
24,2,0.250,8,8,0.208,0.000,0.000,2623,43,2625,38,4407,4673,16
24,2,0.250,8,9,0.208,0.000,0.000,2576,90,2579,85,4230,4672,16
24,2,0.250,8,10,0.250,1.000,1.000,608,2058,590,2073,3269,2335,12
24,2,0.250,8,11,0.250,1.000,1.000,63,2603,45,2617,2468,2335,12
24,2,0.250,8,12,0.208,0.000,0.000,2631,35,2635,30,4438,4671,16
24,2,0.250,8,13,0.250,1.000,1.000,263,2403,245,2418,2928,2335,12
24,2,0.250,8,14,0.208,0.000,0.000,2657,9,2660,4,4644,4672,16
24,2,0.250,8,15,0.250,0.000,0.000,2063,603,2067,597,3345,4672,13
24,2,0.250,8,16,0.250,0.000,0.000,2612,54,2616,48,4413,4673,16
24,2,0.250,4,1,0.250,1.000,1.000,43,4757,25,4761,1858,1800,0
24,2,0.250,4,2,0.208,0.000,0.000,4795,5,4796,0,3613,3601,11
24,2,0.250,4,3,0.125,0.000,0.000,4794,6,4794,3,3603,3602,11
24,2,0.250,4,4,0.250,1.000,1.000,140,4660,122,4661,1967,1802,0
24,2,0.250,4,5,0.208,0.000,0.000,4784,16,4784,11,3582,3605,9
24,2,0.250,4,6,0.250,1.000,1.000,77,4723,59,4724,1898,1804,0
24,2,0.250,4,7,0.208,0.000,0.000,4784,16,4783,11,3588,3607,11
24,2,0.250,4,8,0.208,1.000,1.000,148,4652,129,4654,1985,1804,0
24,2,0.250,4,9,0.208,0.000,0.000,4751,49,4750,44,3495,3607,10
24,2,0.250,4,10,0.250,0.000,0.000,4782,18,4781,12,3581,3605,10
24,2,0.250,4,11,0.250,0.000,0.000,4792,8,4790,2,3601,3606,11
24,2,0.250,4,12,0.208,1.000,1.000,43,4757,24,4762,1859,1801,1
24,2,0.250,4,13,0.250,0.000,0.000,4746,54,4749,48,3500,3602,9
24,2,0.250,4,14,0.208,1.000,1.000,161,4639,142,4645,2009,1802,0
24,2,0.250,4,15,0.250,0.000,0.000,4757,43,4757,37,3519,3604,7
