arm,m,seed,runmean_init,runmean_lastq,runmax_init,runmax_lastq,tape_lastq,s_share_lastq,rep_base,rep_boost,min_tape
base,inf,1,1.714,1.714,4,4,22.000,0.333,0,0,22
base,inf,2,2.400,2.400,10,10,22.000,0.333,0,0,22
base,inf,3,3.000,3.000,8,8,22.000,0.208,0,0,22
base,inf,4,3.000,3.000,6,6,22.000,0.417,0,0,22
base,inf,5,2.000,2.000,8,8,22.000,0.292,0,0,22
base,inf,6,2.000,2.000,5,5,22.000,0.458,0,0,22
base,inf,7,2.400,2.400,7,7,22.000,0.292,0,0,22
base,inf,8,1.714,1.714,5,5,22.000,0.375,0,0,22
base,inf,9,1.500,1.500,3,3,22.000,0.375,0,0,22
base,inf,10,2.000,2.000,5,5,22.000,0.333,0,0,22
base,inf,11,1.714,1.714,6,6,22.000,0.375,0,0,22
base,inf,12,1.714,1.714,3,3,22.000,0.417,0,0,22
base,inf,13,2.000,2.000,5,5,22.000,0.417,0,0,22
base,inf,14,2.000,2.000,8,8,22.000,0.292,0,0,22
base,inf,15,2.400,2.400,6,6,22.000,0.375,0,0,22
base,inf,16,1.714,1.714,5,5,22.000,0.333,0,0,22
base,inf,17,1.500,1.500,5,5,22.000,0.333,0,0,22
base,inf,18,2.000,2.000,4,4,22.000,0.458,0,0,22
base,inf,19,2.400,2.400,4,4,22.000,0.417,0,0,22
base,inf,20,2.400,2.400,6,6,22.000,0.458,0,0,22
base,inf,21,2.400,2.400,5,5,22.000,0.333,0,0,22
base,inf,22,2.000,2.000,6,6,22.000,0.292,0,0,22
base,inf,23,2.000,2.000,4,4,22.000,0.417,0,0,22
base,inf,24,2.000,2.000,8,8,22.000,0.292,0,0,22
base,inf,25,2.400,2.400,5,5,22.000,0.333,0,0,22
base,inf,26,1.500,1.500,5,5,22.000,0.500,0,0,22
base,inf,27,3.000,3.000,8,8,22.000,0.417,0,0,22
base,inf,28,3.000,3.000,9,9,22.000,0.292,0,0,22
base,inf,29,3.000,3.000,7,7,22.000,0.250,0,0,22
base,inf,30,2.000,2.000,6,6,22.000,0.292,0,0,22
base,inf,31,2.000,2.000,7,7,22.000,0.375,0,0,22
base,inf,32,1.714,1.714,4,4,22.000,0.417,0,0,22
base,inf,33,2.000,2.000,6,6,22.000,0.417,0,0,22
base,inf,34,2.400,2.400,6,6,22.000,0.375,0,0,22
base,inf,35,2.000,2.000,9,9,22.000,0.333,0,0,22
base,inf,36,2.400,2.400,5,5,22.000,0.333,0,0,22
base,inf,37,2.000,2.000,7,7,22.000,0.375,0,0,22
base,inf,38,2.000,2.000,4,4,22.000,0.292,0,0,22
base,inf,39,1.500,1.500,3,3,22.000,0.417,0,0,22
base,inf,40,1.714,1.714,4,4,22.000,0.375,0,0,22
base,inf,41,2.400,2.400,6,6,22.000,0.292,0,0,22
base,inf,42,2.400,2.400,4,4,22.000,0.333,0,0,22
base,inf,43,2.000,2.000,5,5,22.000,0.375,0,0,22
base,inf,44,2.000,2.000,4,4,22.000,0.417,0,0,22
base,inf,45,3.000,3.000,7,7,22.000,0.292,0,0,22
base,inf,46,2.000,2.000,6,6,22.000,0.417,0,0,22
base,inf,47,2.400,2.400,5,5,22.000,0.458,0,0,22
base,inf,48,3.000,3.000,8,8,22.000,0.333,0,0,22
base,inf,49,2.400,2.400,4,4,22.000,0.417,0,0,22
base,inf,50,2.400,2.400,5,5,22.000,0.333,0,0,22
base,inf,51,1.714,1.714,4,4,22.000,0.458,0,0,22
base,inf,52,2.000,2.000,7,7,22.000,0.375,0,0,22
base,inf,53,3.000,3.000,5,5,22.000,0.375,0,0,22
base,inf,54,1.500,1.500,4,4,22.000,0.417,0,0,22
base,inf,55,2.000,2.000,6,6,22.000,0.375,0,0,22
base,inf,56,1.714,1.714,4,4,22.000,0.375,0,0,22
base,inf,57,2.000,2.000,6,6,22.000,0.292,0,0,22
base,inf,58,1.714,1.714,4,4,22.000,0.417,0,0,22
base,inf,59,2.000,2.000,7,7,22.000,0.333,0,0,22
base,inf,60,3.000,3.000,6,6,22.000,0.375,0,0,22
base,inf,61,2.000,2.000,5,5,22.000,0.292,0,0,22
base,inf,62,2.400,2.400,5,5,22.000,0.417,0,0,22
base,inf,63,2.400,2.400,5,5,22.000,0.417,0,0,22
base,inf,64,2.400,2.400,6,6,22.000,0.417,0,0,22
base,8,1,1.714,6.475,4,24,17.150,1.000,2660,0,13
base,8,2,2.400,12.902,10,24,19.658,0.000,2664,0,14
base,8,3,3.000,12.062,8,24,19.583,0.000,2663,0,16
base,8,4,3.000,5.309,6,23,16.242,1.000,2661,0,12
base,8,5,2.000,4.923,8,20,16.142,1.000,2660,0,12
base,8,6,2.000,5.908,5,21,16.867,1.000,2661,0,12
base,8,7,2.400,5.508,7,23,16.358,1.000,2662,0,12
base,8,8,1.714,12.192,5,24,19.675,0.000,2664,0,15
base,8,9,1.500,5.455,3,22,16.483,1.000,2658,0,12
base,8,10,2.000,5.306,5,17,18.775,0.386,2663,0,14
base,8,11,1.714,12.815,6,24,19.725,0.000,2665,0,15
base,8,12,1.714,12.258,3,24,19.692,0.000,2665,0,15
base,8,13,2.000,5.056,5,18,16.417,1.000,2663,0,12
base,8,14,2.000,13.938,8,24,19.908,0.000,2665,0,14
base,8,15,2.400,5.713,6,21,16.650,1.000,2661,0,12
base,8,16,1.714,13.167,5,24,19.717,0.000,2664,0,17
base,8,17,1.500,5.466,5,23,16.475,1.000,2660,0,12
base,8,18,2.000,5.615,4,23,16.567,1.000,2662,0,12
base,8,19,2.400,13.179,4,24,19.808,0.000,2664,0,14
base,8,20,2.400,4.696,6,17,16.042,1.000,2660,0,12
base,8,21,2.400,13.834,5,24,19.792,0.000,2663,0,16
base,8,22,2.000,13.079,6,24,19.858,0.000,2665,0,14
base,8,23,2.000,4.612,4,19,16.000,1.000,2660,0,12
base,8,24,2.000,12.914,8,24,19.683,0.000,2663,0,16
base,8,25,2.400,11.713,5,23,19.583,0.000,2665,0,15
base,8,26,1.500,13.692,5,24,19.908,0.000,2663,0,15
base,8,27,3.000,5.662,8,22,16.808,1.000,2661,0,12
base,8,28,3.000,12.822,9,24,19.733,0.000,2664,0,16
base,8,29,3.000,9.870,7,24,19.500,0.082,2665,0,13
base,8,30,2.000,5.391,6,20,16.792,1.000,2662,0,12
base,8,31,2.000,13.034,7,24,19.850,0.000,2664,0,16
base,8,32,1.714,11.530,4,23,19.608,0.000,2666,0,14
