arm,m,seed,tape_lastq,runmean_lastq
base,2,1,1.536,1.778
base,2,2,1.326,1.704
base,2,3,1.529,1.725
base,2,4,1.381,1.825
base,2,5,1.298,1.695
base,2,6,4.350,2.643
base,2,7,1.271,1.917
base,2,8,4.622,2.714
base,2,9,1.477,1.866
base,2,10,4.100,3.059
base,2,11,5.390,2.660
base,2,12,1.257,1.722
base,2,13,1.384,1.739
base,2,14,4.425,2.793
base,2,15,1.494,2.074
base,2,16,5.133,2.423
base,2,17,1.369,1.831
base,2,18,1.400,1.925
base,2,19,1.263,1.788
base,2,20,5.311,2.604
base,2,21,5.758,2.722
base,2,22,1.320,1.759
base,2,23,4.875,2.680
base,2,24,1.433,1.802
base,2,25,1.225,1.693
base,2,26,1.397,1.806
base,2,27,1.406,1.789
base,2,28,4.277,2.625
base,2,29,1.406,1.868
base,2,30,1.471,1.849
base,2,31,4.525,2.815
base,2,32,1.313,1.870
base,2,33,4.842,2.721
base,2,34,1.511,1.799
base,2,35,5.252,2.850
base,2,36,1.448,1.778
base,2,37,1.429,1.786
base,2,38,1.310,1.697
base,2,39,1.248,1.693
base,2,40,1.274,1.814
base,2,41,1.340,1.821
base,2,42,1.394,1.913
base,2,43,1.522,1.796
base,2,44,1.460,1.895
base,2,45,1.333,1.699
base,2,46,1.295,1.853
base,2,47,4.183,2.703
base,2,48,5.017,2.656
base,2,49,1.287,1.719
base,2,50,4.750,2.716
base,2,51,1.472,1.869
base,2,52,4.585,2.588
base,2,53,1.327,1.815
base,2,54,1.238,1.765
base,2,55,4.143,2.805
base,2,56,3.588,2.784
base,2,57,4.908,2.632
base,2,58,5.333,2.623
base,2,59,1.483,1.682
base,2,60,4.342,2.594
base,2,61,1.414,1.803
base,2,62,1.481,1.926
base,2,63,1.265,1.750
base,2,64,1.488,1.940
base,3,1,4.542,2.549
base,3,2,11.383,3.278
base,3,3,11.733,3.324
base,3,4,4.258,2.752
base,3,5,3.829,2.824
base,3,6,3.771,2.697
base,3,7,5.333,2.498
base,3,8,4.353,2.659
base,3,9,11.175,3.087
base,3,10,11.325,3.409
base,3,11,11.358,3.213
base,3,12,11.775,3.427
base,3,13,4.556,2.749
base,3,14,3.735,2.558
base,3,15,11.067,3.264
base,3,16,3.748,2.597
base,3,17,4.709,2.610
base,3,18,4.504,2.654
base,3,19,5.442,2.546
base,3,20,11.667,3.276
base,3,21,4.891,2.620
base,3,22,4.471,2.691
base,3,23,11.392,3.331
base,3,24,4.110,2.759
base,3,25,3.644,2.874
base,3,26,5.605,2.490
base,3,27,4.378,2.713
base,3,28,3.392,2.896
base,3,29,4.342,2.684
base,3,30,4.009,2.644
base,3,31,11.008,3.247
base,3,32,5.167,2.467
base,3,33,5.883,2.566
base,3,34,11.458,3.198
base,3,35,11.967,3.248
base,3,36,5.375,2.519
base,3,37,11.058,3.253
base,3,38,3.922,2.698
base,3,39,4.567,2.647
base,3,40,10.850,3.081
base,3,41,4.647,2.590
base,3,42,5.144,2.549
base,3,43,11.283,3.173
base,3,44,3.864,2.742
base,3,45,3.932,2.462
base,3,46,4.467,2.525
base,3,47,4.647,2.612
base,3,48,11.517,3.164
base,3,49,3.924,2.664
base,3,50,4.822,2.655
base,3,51,4.403,2.587
