arm,wd,seed,b_init,b_lastq,d_extinct,b_extinct
uncontested,1,1,0.625,1.000,True,False
uncontested,1,2,0.625,1.000,True,False
uncontested,1,3,0.750,0.000,False,True
uncontested,1,4,0.583,1.000,True,False
uncontested,1,5,0.625,1.000,True,False
uncontested,1,6,0.542,0.000,False,True
uncontested,1,7,0.667,1.000,True,False
uncontested,1,8,0.583,0.000,False,True
uncontested,1,9,0.625,1.000,True,False
uncontested,1,10,0.625,0.000,False,True
uncontested,1,11,0.583,1.000,True,False
uncontested,1,12,0.542,0.000,False,True
uncontested,1,13,0.583,1.000,True,False
uncontested,1,14,0.667,1.000,True,False
uncontested,1,15,0.583,1.000,True,False
uncontested,1,16,0.625,1.000,True,False
uncontested,1,17,0.667,0.000,False,True
uncontested,1,18,0.542,0.000,False,True
uncontested,1,19,0.583,1.000,True,False
uncontested,1,20,0.542,0.000,False,True
uncontested,1,21,0.625,1.000,True,False
uncontested,1,22,0.667,1.000,True,False
uncontested,1,23,0.542,1.000,True,False
uncontested,1,24,0.708,1.000,True,False
uncontested,0.500,1,0.625,1.000,True,False
uncontested,0.500,2,0.625,1.000,True,False
uncontested,0.500,3,0.750,0.000,False,True
uncontested,0.500,4,0.583,1.000,True,False
uncontested,0.500,5,0.625,1.000,True,False
uncontested,0.500,6,0.542,0.000,False,True
uncontested,0.500,7,0.667,1.000,True,False
uncontested,0.500,8,0.583,0.000,False,True
uncontested,0.500,9,0.625,1.000,True,False
uncontested,0.500,10,0.625,0.000,False,True
uncontested,0.500,11,0.583,1.000,True,False
uncontested,0.500,12,0.542,0.000,False,True
uncontested,0.500,13,0.583,1.000,True,False
uncontested,0.500,14,0.667,1.000,True,False
uncontested,0.500,15,0.583,1.000,True,False
uncontested,0.500,16,0.625,1.000,True,False
uncontested,0.500,17,0.667,0.000,False,True
uncontested,0.500,18,0.542,0.000,False,True
uncontested,0.500,19,0.583,1.000,True,False
uncontested,0.500,20,0.542,0.000,False,True
uncontested,0.500,21,0.625,1.000,True,False
uncontested,0.500,22,0.667,1.000,True,False
uncontested,0.500,23,0.542,1.000,True,False
uncontested,0.500,24,0.708,1.000,True,False
uncontested,0.250,1,0.625,1.000,True,False
uncontested,0.250,2,0.625,1.000,True,False
uncontested,0.250,3,0.750,0.000,False,True
uncontested,0.250,4,0.583,1.000,True,False
uncontested,0.250,5,0.625,1.000,True,False
uncontested,0.250,6,0.542,0.000,False,True
uncontested,0.250,7,0.667,1.000,True,False
uncontested,0.250,8,0.583,0.000,False,True
uncontested,0.250,9,0.625,1.000,True,False
uncontested,0.250,10,0.625,0.000,False,True
uncontested,0.250,11,0.583,1.000,True,False
uncontested,0.250,12,0.542,0.000,False,True
uncontested,0.250,13,0.583,1.000,True,False
uncontested,0.250,14,0.667,1.000,True,False
uncontested,0.250,15,0.583,1.000,True,False
uncontested,0.250,16,0.625,1.000,True,False
uncontested,0.250,17,0.667,0.000,False,True
uncontested,0.250,18,0.542,0.000,False,True
uncontested,0.250,19,0.583,1.000,True,False
uncontested,0.250,20,0.542,0.000,False,True
uncontested,0.250,21,0.625,1.000,True,False
uncontested,0.250,22,0.667,1.000,True,False
uncontested,0.250,23,0.542,1.000,True,False
uncontested,0.250,24,0.708,1.000,True,False
contested,1,1,0.625,1.000,True,False
contested,1,2,0.625,1.000,True,False
contested,1,3,0.750,1.000,True,False
contested,1,4,0.583,1.000,True,False
contested,1,5,0.625,1.000,True,False
contested,1,6,0.542,1.000,True,False
contested,1,7,0.667,1.000,True,False
contested,1,8,0.583,1.000,True,False
contested,1,9,0.625,1.000,True,False
contested,1,10,0.625,1.000,True,False
contested,1,11,0.583,1.000,True,False
contested,1,12,0.542,1.000,True,False
contested,1,13,0.583,1.000,True,False
contested,1,14,0.667,0.000,False,True
contested,1,15,0.583,1.000,True,False
contested,1,16,0.625,1.000,True,False
contested,1,17,0.667,0.000,False,True
contested,1,18,0.542,1.000,True,False
contested,1,19,0.583,1.000,True,False
contested,1,20,0.542,1.000,True,False
contested,1,21,0.625,1.000,True,False
contested,1,22,0.667,1.000,True,False
contested,1,23,0.542,0.000,False,True
contested,1,24,0.708,1.000,True,False
contested,0.500,1,0.625,1.000,True,False
contested,0.500,2,0.625,1.000,True,False
contested,0.500,3,0.750,1.000,True,False
contested,0.500,4,0.583,1.000,True,False
contested,0.500,5,0.625,1.000,True,False
contested,0.500,6,0.542,1.000,True,False
contested,0.500,7,0.667,1.000,True,False
contested,0.500,8,0.583,1.000,True,False
