arm,m,seed,residence_s,s_lastq,tape_lastq
s2,8,1,0.881,1.000,17.150
s2,8,2,0.249,0.000,19.658
s2,8,3,0.077,0.000,19.583
s2,8,4,0.913,1.000,16.242
s2,8,5,0.983,1.000,16.142
s2,8,6,0.846,1.000,16.867
s2,8,7,0.954,1.000,16.358
s2,8,8,0.036,0.000,19.675
s2,8,9,0.940,1.000,16.483
s2,8,10,0.641,0.386,18.775
s2,8,11,0.046,0.000,19.725
s2,8,12,0.029,0.000,19.692
s2,8,13,0.966,1.000,16.417
s2,8,14,0.183,0.000,19.908
s2,8,15,0.985,1.000,16.650
s2,8,16,0.002,0.000,19.717
s2,2,1,0.994,1.000,1.084
s2,2,2,0.998,1.000,1.059
s2,2,3,0.994,1.000,1.092
s2,2,4,0.997,1.000,1.126
s2,2,5,0.998,1.000,1.025
s2,2,6,0.003,0.000,4.350
s2,2,7,0.995,1.000,1.025
s2,2,8,0.004,0.000,4.583
s2,2,9,0.984,1.000,1.092
s2,2,10,0.002,0.000,4.100
s2,2,11,0.002,0.000,5.300
s2,2,12,0.999,1.000,1.151
s2,2,13,0.999,1.000,1
s2,2,14,0.001,0.000,4.425
s2,2,15,0.995,1.000,1.017
s2,2,16,0.002,0.000,5.133
s3,8,1,0.165,0.000,19.758
s3,8,2,0.243,0.000,19.608
s3,8,3,0.913,1.000,12.925
s3,8,4,0.942,1.000,12.542
s3,8,5,0.978,1.000,12.225
s3,8,6,0.847,1.000,14.283
s3,8,7,0.925,1.000,12.208
s3,8,8,0.038,0.000,19.758
s3,8,9,0.876,1.000,13.667
s3,8,10,0.055,0.000,19.692
s3,8,11,0.095,0.000,19.933
s3,8,12,0.915,1.000,12.567
s3,8,13,0.985,1.000,11.900
s3,8,14,0.969,1.000,13.667
s3,8,15,0.972,1.000,12.592
s3,8,16,0.972,1.000,11.942
s3,2,1,0.997,1.000,0.649
s3,2,2,0.002,0.000,5.325
s3,2,3,0.995,1.000,0.737
s3,2,4,0.001,0.000,4.133
s3,2,5,0.002,0.000,4.333
s3,2,6,0.999,1.000,0.763
s3,2,7,0.993,1.000,0.816
s3,2,8,0.998,1.000,0.825
s3,2,9,0.993,1.000,0.719
s3,2,10,0.998,1.000,0.737
s3,2,11,0.998,1.000,0.754
s3,2,12,0.998,1.000,0.763
s3,2,13,1.000,1.000,0.658
s3,2,14,0.001,0.000,4.792
s3,2,15,0.996,1.000,0.649
s3,2,16,0.002,0.000,4.417
