arm,seed,survived,alive,faithful,sloppy,share_f,births_f,births_s,miscopies,switches,g_target,exact
invade-kin,1,True,19,5,12,0.29411764705882354,56,19,21,14,6,True
invade-kin,2,True,17,3,17,0.15,51,52,22,25,11,True
invade-kin,3,False,6,2,20,0.09090909090909091,37,74,19,22,17,True
invade-kin,4,True,16,5,13,0.2777777777777778,39,53,23,19,9,True
invade-kin,5,True,15,8,13,0.38095238095238093,34,55,14,17,9,True
invade-kin,6,True,14,19,0,1.0,79,2,1,5,0,True
invade-kin,7,True,13,6,9,0.4,46,33,16,19,3,True
invade-kin,8,True,18,4,10,0.2857142857142857,54,31,16,11,9,True
invade-kin,9,True,17,11,7,0.6111111111111112,75,22,15,20,3,True
invade-kin,10,True,21,14,2,0.875,75,8,6,17,5,True
invade-kin,11,True,21,8,9,0.47058823529411764,46,33,17,16,0,True
invade-kin,12,True,20,2,12,0.14285714285714285,40,38,13,18,11,True
invade-kin,13,True,18,4,14,0.2222222222222222,58,49,22,18,11,True
invade-kin,14,True,15,15,3,0.8333333333333334,82,5,1,18,0,True
invade-kin,15,True,16,9,11,0.45,26,60,20,24,5,True
invade-kin,16,True,15,5,15,0.25,32,47,21,12,16,True
invade-kin,17,True,17,17,2,0.8947368421052632,80,6,2,13,3,True
invade-kin,18,True,20,5,6,0.45454545454545453,68,10,2,14,0,True
invade-kin,19,True,15,9,8,0.5294117647058824,66,18,8,10,7,True
invade-kin,20,True,18,9,5,0.6428571428571429,68,6,5,11,3,True
invade-kin,21,True,17,11,9,0.55,94,13,6,17,3,True
invade-kin,22,True,20,8,8,0.5,48,20,14,14,12,True
invade-kin,23,True,19,8,11,0.42105263157894735,59,25,16,14,6,True
invade-kin,24,True,13,7,8,0.4666666666666667,50,25,12,13,5,True
invade-kin,25,False,11,6,10,0.375,43,39,15,13,3,True
invade-kin,26,True,19,9,11,0.45,52,37,18,14,12,True
invade-kin,27,True,19,5,11,0.3125,62,20,12,18,10,True
invade-kin,28,True,16,4,13,0.23529411764705882,44,42,13,16,13,True
invade-kin,29,True,20,4,15,0.21052631578947367,50,41,20,17,12,True
invade-kin,30,True,19,5,13,0.2777777777777778,38,48,18,15,9,True
invade-kin,31,True,21,8,11,0.42105263157894735,62,21,3,20,4,True
invade-kin,32,True,18,11,7,0.6111111111111112,73,22,4,16,0,True
invade-kin,33,True,20,2,15,0.11764705882352941,49,40,20,14,10,True
invade-kin,34,True,21,8,13,0.38095238095238093,45,42,13,19,4,True
invade-kin,35,True,18,7,10,0.4117647058823529,66,21,8,17,4,True
invade-kin,36,True,16,7,10,0.4117647058823529,53,23,14,14,5,True
invade-kin,37,True,18,4,13,0.23529411764705882,57,22,12,18,12,True
invade-kin,38,True,21,15,5,0.75,59,12,5,7,5,True
invade-kin,39,True,21,10,5,0.6666666666666666,63,8,5,12,5,True
invade-kin,40,True,15,14,0,1.0,81,0,1,9,0,True
invade-kin,41,True,21,4,15,0.21052631578947367,41,47,24,7,17,True
invade-kin,42,True,16,1,17,0.05555555555555555,40,53,12,19,6,True
invade-kin,43,True,19,11,5,0.6875,69,6,1,7,2,True
invade-kin,44,True,18,3,17,0.15,49,43,19,12,16,True
