glyph,arm,cad,seed,outcome,alive,active,qmarks,copiers,matter_events,total_events,exact
α,f3,1,1,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,2,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,3,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,4,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,5,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,6,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,7,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,8,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,9,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,10,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,11,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,12,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,13,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,14,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,15,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,16,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,17,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,18,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,19,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,20,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,21,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,22,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,23,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,24,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,25,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,26,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,27,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,28,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,29,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,30,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,31,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,32,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,33,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,34,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,35,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,36,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,37,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,38,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,39,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,40,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,41,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,42,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,43,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,44,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,45,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,46,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,47,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,48,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,49,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,50,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,51,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,52,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,53,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,54,REPAIR,6,6,0,0,1603,1603,True
α,f3,1,55,REPAIR,6,6,0,0,1603,1603,True
