arm,blocks,seed,copies_l,copies_r,alive_l,alive_r,active_l,active_r,q_l,q_r,fuel_l,fuel_r,exact
both,60,1,26,25,11,11,10,9,1,2,7,5,True
both,60,2,25,20,11,7,9,5,2,2,9,9,True
both,60,3,13,20,2,9,2,6,1,3,8,7,True
both,60,4,22,18,11,7,11,3,0,5,3,10,True
both,60,5,22,25,11,8,9,7,3,1,5,5,True
both,60,6,21,29,10,12,8,12,2,0,6,8,True
both,60,7,26,20,10,9,9,7,1,2,6,8,True
both,60,8,26,22,8,12,4,12,5,0,8,5,True
both,60,9,25,14,10,7,8,6,3,2,7,9,True
both,60,10,18,27,8,9,8,7,0,2,8,6,True
both,60,11,18,23,10,6,7,5,4,2,6,6,True
both,60,12,24,30,12,10,11,10,1,1,8,5,True
both,60,13,26,22,12,12,10,10,2,2,6,7,True
both,60,14,24,17,11,9,8,7,4,2,7,9,True
both,60,15,20,19,10,7,8,4,2,3,8,9,True
both,60,16,24,23,9,10,8,10,1,0,7,7,True
both,60,17,24,24,10,11,8,11,2,0,5,6,True
both,60,18,27,17,12,8,10,7,2,2,6,8,True
both,60,19,21,26,9,11,7,9,2,2,7,7,True
both,60,20,22,21,9,11,7,9,2,2,4,8,True
both,60,21,19,23,6,11,3,10,3,1,8,6,True
both,60,22,21,17,6,7,3,5,3,2,9,9,True
both,60,23,23,21,12,8,10,7,2,3,7,8,True
both,60,24,25,21,12,5,10,4,2,1,9,5,True
both,60,25,25,26,9,12,8,11,1,1,9,7,True
both,60,26,22,16,12,8,8,6,4,3,7,8,True
both,60,27,24,17,7,9,6,7,1,3,5,8,True
both,60,28,22,21,10,9,9,7,1,2,5,6,True
both,60,29,15,16,6,8,4,6,3,2,8,9,True
both,60,30,29,24,10,11,10,10,0,1,7,5,True
both,60,31,25,21,7,8,7,7,0,1,8,9,True
both,60,32,20,20,9,11,7,9,2,3,5,8,True
both,60,33,23,20,9,10,7,8,2,2,7,7,True
both,60,34,21,22,9,10,7,9,2,1,8,8,True
both,60,35,20,25,8,12,6,10,2,2,6,7,True
both,60,36,20,15,8,7,6,4,2,3,7,7,True
both,60,37,23,15,10,6,8,6,2,0,6,7,True
both,60,38,23,14,6,7,5,5,1,2,8,9,True
both,60,39,22,21,7,12,5,10,2,2,7,6,True
both,60,40,32,18,10,11,10,9,0,2,5,6,True
both,60,41,23,27,11,11,9,11,2,0,5,3,True
both,60,42,22,21,10,10,8,7,2,3,8,8,True
both,60,43,21,19,11,6,9,6,2,1,6,8,True
both,60,44,24,17,8,10,6,9,2,1,8,5,True
both,60,45,20,26,8,10,8,9,0,1,10,7,True
