regime,arm,seed,winner,gates_a,gates_b,qmarks,copiers,alive,alive_a,alive_b,aland_α,aland_β,bland_α,bland_β,exact
abundant,both,1,β,11,13,0,22,24,12,12,7,5,4,8,True
abundant,both,2,α,15,9,0,22,23,12,11,7,5,8,4,True
abundant,both,3,β,9,15,0,22,24,12,12,5,7,4,8,True
abundant,both,4,β,10,14,0,22,24,12,12,6,6,4,8,True
abundant,both,5,β,8,16,0,24,22,10,12,6,6,2,10,True
abundant,both,6,β,7,17,0,22,24,12,12,3,9,4,8,True
abundant,both,7,α,13,11,0,22,24,12,12,8,4,5,7,True
abundant,both,8,α,15,9,0,23,22,12,10,7,5,8,4,True
abundant,both,9,α,14,10,0,22,24,12,12,8,4,6,6,True
abundant,both,10,α,13,11,0,22,22,11,11,7,5,6,6,True
abundant,both,11,β,6,18,0,23,24,12,12,4,8,2,10,True
abundant,both,12,α,13,11,0,22,23,12,11,8,4,5,7,True
abundant,both,13,β,6,18,0,24,24,12,12,2,10,4,8,True
abundant,both,14,α,14,10,0,22,23,12,11,8,4,6,6,True
abundant,both,15,β,11,13,0,23,22,11,11,6,6,5,7,True
abundant,both,16,α,13,11,0,23,24,12,12,8,4,5,7,True
abundant,both,17,α,14,10,0,23,24,12,12,8,4,6,6,True
abundant,both,18,β,11,13,0,21,23,11,12,6,6,5,7,True
abundant,both,19,α,15,9,0,23,23,11,12,9,3,6,6,True
abundant,both,20,β,7,17,0,20,24,12,12,6,6,1,11,True
abundant,both,21,COEX,12,12,0,24,24,12,12,4,8,8,4,True
abundant,both,22,β,3,21,0,22,22,10,12,0,12,3,9,True
abundant,both,23,α,16,8,0,22,24,12,12,8,4,8,4,True
abundant,both,24,α,16,8,0,22,24,12,12,5,7,11,1,True
abundant,both,25,α,15,9,0,24,24,12,12,7,5,8,4,True
abundant,both,26,β,6,18,0,24,23,12,11,5,7,1,11,True
abundant,both,27,β,8,16,0,24,23,12,11,5,7,3,9,True
abundant,both,28,β,9,15,0,22,24,12,12,4,8,5,7,True
abundant,both,29,α,14,10,0,23,24,12,12,6,6,8,4,True
abundant,both,30,β,11,13,0,24,24,12,12,7,5,4,8,True
abundant,both,31,α,19,5,0,19,24,12,12,10,2,9,3,True
abundant,both,32,α,18,6,0,23,24,12,12,10,2,8,4,True
abundant,both,33,β,6,18,0,23,23,11,12,4,8,2,10,True
abundant,both,34,β,9,15,0,23,24,12,12,3,9,6,6,True
abundant,both,35,β,11,13,0,23,23,11,12,4,8,7,5,True
abundant,both,36,α,13,11,0,23,24,12,12,5,7,8,4,True
abundant,both,37,β,9,15,0,22,24,12,12,5,7,4,8,True
abundant,both,38,β,8,16,0,23,24,12,12,2,10,6,6,True
abundant,both,39,α,15,9,0,23,23,11,12,10,2,5,7,True
abundant,both,40,COEX,12,12,0,22,23,12,11,10,2,2,10,True
abundant,both,41,COEX,12,12,0,20,24,12,12,10,2,2,10,True
abundant,both,42,α,17,7,0,23,24,12,12,10,2,7,5,True
abundant,both,43,α,18,6,0,24,24,12,12,8,4,10,2,True
abundant,both,44,β,7,17,0,21,23,11,12,6,6,1,11,True
abundant,both,45,α,13,11,0,23,24,12,12,9,3,4,8,True
abundant,both,46,β,8,16,0,23,23,12,11,5,7,3,9,True
abundant,both,47,α,16,8,0,23,23,12,11,9,3,7,5,True
abundant,both,48,α,20,4,0,21,24,12,12,10,2,10,2,True
abundant,both,49,COEX,12,12,0,23,24,12,12,9,3,3,9,True
abundant,both,50,β,10,14,0,24,24,12,12,6,6,4,8,True
abundant,both,51,β,9,15,0,23,24,12,12,5,7,4,8,True
abundant,both,52,α,13,11,0,21,23,12,11,7,5,6,6,True
abundant,both,53,COEX,12,12,0,23,24,12,12,7,5,5,7,True
abundant,both,54,β,7,17,0,22,24,12,12,2,10,5,7,True
abundant,both,55,β,9,15,0,22,23,12,11,6,6,3,9,True
abundant,both,56,β,7,17,0,23,23,11,12,3,9,4,8,True
abundant,both,57,β,9,15,0,22,24,12,12,3,9,6,6,True
abundant,both,58,α,13,11,0,22,24,12,12,9,3,4,8,True
abundant,both,59,COEX,12,12,0,23,24,12,12,10,2,2,10,True
abundant,both,60,α,15,9,0,23,22,10,12,9,3,6,6,True
