arm,seed,rescued,alive,gates_a,gates_m,qmarks,copiers,first_mu,events,exact
faithful,1,False,0,14,0,10,0,-1,1911,True
faithful,2,False,0,15,0,9,0,-1,1228,True
faithful,3,False,0,15,0,9,0,-1,1637,True
faithful,4,False,0,14,0,10,0,-1,1592,True
faithful,5,False,0,15,0,9,0,-1,1601,True
faithful,6,False,0,12,0,12,0,-1,1224,True
faithful,7,False,0,14,0,10,0,-1,1944,True
faithful,8,False,0,12,0,12,0,-1,1101,True
faithful,9,False,0,13,0,11,0,-1,1776,True
faithful,10,False,0,12,0,12,0,-1,1687,True
faithful,11,False,0,14,0,10,0,-1,1558,True
faithful,12,False,0,13,0,11,0,-1,1662,True
faithful,13,False,0,10,0,14,0,-1,996,True
faithful,14,False,0,14,0,10,0,-1,990,True
faithful,15,False,0,12,0,12,0,-1,1280,True
faithful,16,False,0,17,0,7,0,-1,1936,True
faithful,17,False,0,13,0,11,0,-1,1289,True
faithful,18,False,0,15,0,9,0,-1,1771,True
faithful,19,False,0,14,0,10,0,-1,2029,True
faithful,20,False,0,10,0,14,0,-1,1354,True
faithful,21,False,0,14,0,10,0,-1,1486,True
faithful,22,False,0,15,0,9,0,-1,3320,True
faithful,23,False,0,13,0,11,0,-1,2054,True
faithful,24,False,0,12,0,12,0,-1,1333,True
faithful,25,False,0,13,0,11,0,-1,1053,True
faithful,26,False,0,14,0,10,0,-1,1776,True
faithful,27,False,0,13,0,11,0,-1,1926,True
faithful,28,False,0,13,0,11,0,-1,1365,True
faithful,29,False,0,13,0,11,0,-1,940,True
faithful,30,False,0,16,0,8,0,-1,1407,True
faithful,31,False,0,13,0,11,0,-1,1713,True
faithful,32,False,0,14,0,10,0,-1,1169,True
faithful,33,False,0,11,0,13,0,-1,1251,True
faithful,34,False,0,13,0,11,0,-1,1151,True
faithful,35,False,0,14,0,10,0,-1,1067,True
faithful,36,False,0,15,0,9,0,-1,1680,True
faithful,37,False,0,15,0,9,0,-1,1093,True
faithful,38,False,0,14,0,10,0,-1,1607,True
faithful,39,False,0,11,0,13,0,-1,1265,True
faithful,40,False,0,11,0,13,0,-1,1295,True
faithful,41,False,0,16,0,8,0,-1,1484,True
faithful,42,False,0,14,0,10,0,-1,1283,True
faithful,43,False,0,15,0,9,0,-1,1512,True
faithful,44,False,0,13,0,11,0,-1,1390,True
faithful,45,False,0,12,0,12,0,-1,1065,True
faithful,46,False,0,14,0,10,0,-1,1808,True
faithful,47,False,0,12,0,12,0,-1,1214,True
faithful,48,False,0,12,0,12,0,-1,1181,True
faithful,49,False,0,14,0,10,0,-1,1150,True
faithful,50,False,0,14,0,10,0,-1,1567,True
faithful,51,False,0,12,0,12,0,-1,1279,True
faithful,52,False,0,14,0,10,0,-1,1135,True
faithful,53,False,0,14,0,10,0,-1,1607,True
faithful,54,False,0,14,0,10,0,-1,1336,True
faithful,55,False,0,12,0,12,0,-1,1444,True
faithful,56,False,0,12,0,12,0,-1,1706,True
faithful,57,False,0,13,0,11,0,-1,1378,True
faithful,58,False,0,13,0,11,0,-1,1438,True
faithful,59,False,0,14,0,10,0,-1,1092,True
faithful,60,False,0,13,0,11,0,-1,1612,True
faithful,61,False,0,16,0,8,0,-1,2580,True
faithful,62,False,0,14,0,10,0,-1,1142,True
faithful,63,False,0,12,0,12,0,-1,1428,True
faithful,64,False,0,14,0,10,0,-1,1345,True
faithful,65,False,0,13,0,11,0,-1,1192,True
faithful,66,False,0,15,0,9,0,-1,1787,True
faithful,67,False,0,13,0,11,0,-1,1379,True
faithful,68,False,0,12,0,12,0,-1,1261,True
faithful,69,False,0,14,0,10,0,-1,1189,True
faithful,70,False,0,14,0,10,0,-1,1191,True
faithful,71,False,0,14,0,10,0,-1,1127,True
faithful,72,False,0,13,0,11,0,-1,1497,True
faithful,73,False,0,12,0,12,0,-1,1430,True
faithful,74,False,0,13,0,11,0,-1,1249,True
faithful,75,False,0,14,0,10,0,-1,2066,True
faithful,76,False,0,12,0,12,0,-1,1566,True
faithful,77,False,0,13,0,11,0,-1,2045,True
faithful,78,False,0,11,0,13,0,-1,1232,True
faithful,79,False,0,16,0,8,0,-1,1749,True
faithful,80,False,0,11,0,13,0,-1,1450,True
faithful,81,False,0,15,0,9,0,-1,1531,True
faithful,82,False,0,14,0,10,0,-1,1606,True
faithful,83,False,0,14,0,10,0,-1,1410,True
faithful,84,False,0,12,0,12,0,-1,1161,True
faithful,85,False,0,14,0,10,0,-1,1246,True
faithful,86,False,0,15,0,9,0,-1,1422,True
faithful,87,False,0,15,0,9,0,-1,1386,True
faithful,88,False,0,15,0,9,0,-1,1364,True
