arm,seed,survived,alive,active,copiers,xlators,built_pi,built_omega,codons,exact
kernel,1,False,10,6,16,5,262,108,12,True
kernel,2,True,17,16,2,0,90,39,12,True
kernel,3,False,0,0,13,6,254,104,12,True
kernel,4,True,15,12,15,5,235,98,12,True
kernel,5,True,17,14,16,3,232,114,12,True
kernel,6,True,14,12,15,5,224,100,12,True
kernel,7,True,15,13,15,4,214,90,12,True
kernel,8,True,12,8,15,6,232,94,12,True
kernel,9,False,0,0,13,6,263,105,12,True
kernel,10,True,16,11,13,7,230,93,12,True
kernel,11,True,21,20,6,0,146,54,12,True
kernel,12,True,21,18,13,6,234,101,12,True
kernel,13,False,9,7,14,5,240,101,12,True
kernel,14,True,16,12,12,7,200,91,12,True
kernel,15,True,14,13,16,3,225,94,12,True
kernel,16,True,16,12,12,7,249,105,12,True
kernel,17,True,12,10,16,4,225,91,12,True
kernel,18,True,15,12,9,7,226,89,12,True
kernel,19,True,16,15,10,7,242,110,12,True
kernel,20,True,17,12,14,4,195,78,12,True
kernel,21,False,0,0,0,0,89,33,12,True
kernel,22,True,19,16,15,6,218,103,12,True
kernel,23,True,16,16,15,5,228,91,12,True
kernel,24,True,13,9,15,5,217,98,12,True
kernel,25,True,13,11,13,6,236,100,12,True
kernel,26,True,14,12,15,1,230,88,12,True
kernel,27,True,17,15,13,4,201,82,12,True
kernel,28,False,11,6,14,5,233,102,12,True
kernel,29,True,20,16,15,3,241,97,12,True
kernel,30,True,17,12,12,7,219,92,12,True
kernel,31,True,18,14,10,7,227,93,12,True
kernel,32,True,12,10,16,5,238,103,12,True
kernel,33,False,0,0,13,6,245,113,12,True
kernel,34,True,16,12,13,7,237,93,12,True
kernel,35,True,21,18,12,8,222,96,12,True
kernel,36,True,16,14,13,7,216,96,12,True
kernel,37,False,10,8,14,5,268,126,12,True
kernel,38,True,21,17,13,7,229,94,12,True
kernel,39,True,17,14,14,5,217,92,12,True
kernel,40,True,17,16,15,6,248,105,12,True
kernel,41,True,16,13,18,2,239,86,12,True
kernel,42,True,14,11,17,4,222,93,12,True
kernel,43,False,7,6,14,5,212,87,12,True
kernel,44,False,0,0,13,7,247,102,12,True
kernel,45,True,22,21,2,0,123,47,12,True
kernel,46,True,19,17,14,7,224,89,12,True
kernel,47,True,17,15,13,8,221,97,12,True
kernel,48,True,13,9,13,7,224,101,12,True
kernel,49,False,6,4,12,6,260,103,12,True
kernel,50,True,18,17,2,0,142,61,12,True
kernel,51,True,14,12,11,7,221,85,12,True
kernel,52,False,4,1,17,4,228,107,12,True
kernel,53,True,16,14,13,6,240,105,12,True
kernel,54,True,16,13,15,6,207,86,12,True
kernel,55,True,16,12,14,6,224,100,12,True
kernel,56,True,18,16,15,6,233,99,12,True
kernel,57,False,0,0,0,0,94,42,12,True
kernel,58,True,18,17,18,2,229,108,12,True
kernel,59,True,15,13,13,7,215,78,12,True
kernel,60,True,20,16,17,4,232,100,12,True
kernel,61,True,15,14,14,6,216,89,12,True
kernel,62,True,18,15,13,6,232,102,12,True
kernel,63,True,17,14,13,5,247,98,12,True
kernel,64,True,18,18,19,3,246,97,12,True
kernel,65,True,13,9,13,4,235,92,12,True
kernel,66,True,16,16,17,4,212,98,12,True
kernel,67,False,6,3,13,5,212,88,12,True
kernel,68,True,15,12,11,6,213,80,12,True
kernel,69,True,14,12,12,8,248,101,12,True
kernel,70,False,6,3,16,3,225,97,12,True
kernel,71,False,0,0,0,0,55,16,12,True
kernel,72,False,0,0,15,6,196,87,12,True
kernel,73,True,17,14,12,8,246,89,12,True
kernel,74,True,19,16,15,4,231,98,12,True
kernel,75,True,17,14,14,7,246,93,12,True
kernel,76,False,10,9,16,3,246,101,12,True
kernel,77,False,0,0,11,7,240,110,12,True
kernel,78,True,14,13,15,4,251,100,12,True
kernel,79,True,12,9,17,3,246,110,12,True
kernel,80,False,10,9,16,4,234,94,12,True
kernel,81,False,11,9,17,5,222,87,12,True
kernel,82,True,18,13,13,5,199,80,12,True
kernel,83,True,12,10,12,5,212,78,12,True
kernel,84,False,7,5,13,7,261,105,12,True
kernel,85,True,20,17,13,5,230,94,12,True
kernel,86,True,17,15,13,7,231,87,12,True
kernel,87,True,16,11,13,8,235,109,12,True
kernel,88,True,14,10,16,6,237,104,12,True
kernel,89,True,13,12,15,3,220,89,12,True
kernel,90,True,14,14,13,5,228,98,12,True
kernel,91,True,15,12,13,7,261,114,12,True
kernel,92,True,14,14,15,4,233,92,12,True
kernel,93,True,16,13,16,4,225,101,12,True
kernel,94,True,13,9,15,5,200,76,12,True
kernel,95,True,19,16,16,4,225,92,12,True
kernel,96,True,16,12,12,4,238,97,12,True
kernel,97,True,23,19,14,5,200,89,12,True
kernel,98,True,17,14,13,6,250,114,12,True
kernel,99,True,15,11,11,8,235,101,12,True
kernel,100,False,6,4,14,7,250,110,12,True
no-executor,1,False,0,0,0,0,0,0,12,True
no-executor,2,False,0,0,0,0,0,0,12,True
no-executor,3,False,0,0,0,0,0,0,12,True
no-executor,4,False,0,0,0,0,0,0,12,True
no-executor,5,False,0,0,0,0,0,0,12,True
no-executor,6,False,0,0,0,0,0,0,12,True
no-executor,7,False,0,0,0,0,0,0,12,True
no-executor,8,False,0,0,0,0,0,0,12,True
no-executor,9,False,0,0,0,0,0,0,12,True
no-executor,10,False,0,0,0,0,0,0,12,True
