arm,seed,survived,alive,copiers,xlators,scripts,builds,backups,restores,codons_code,codons_bak,exact
bare,1,True,19,19,3,0,279,0,0,16,0,True
bare,2,True,23,23,5,0,262,0,0,16,0,True
bare,3,True,20,16,8,0,248,0,0,16,0,True
bare,4,True,26,20,6,0,225,0,0,16,0,True
bare,5,True,19,23,5,0,268,0,0,16,0,True
bare,6,True,17,23,2,0,243,0,0,16,0,True
bare,7,True,22,21,5,0,240,0,0,16,0,True
bare,8,True,23,21,5,0,237,0,0,16,0,True
bare,9,True,20,20,6,0,245,0,0,16,0,True
bare,10,True,23,15,9,0,278,0,0,16,0,True
bare,11,True,27,21,4,0,215,0,0,16,0,True
bare,12,True,24,22,6,0,318,0,0,16,0,True
bare,13,True,21,23,6,0,225,0,0,16,0,True
bare,14,True,21,22,5,0,257,0,0,16,0,True
bare,15,False,0,0,0,0,15,0,0,16,0,True
bare,16,True,21,23,3,0,224,0,0,16,0,True
bare,17,False,14,21,6,0,263,0,0,16,0,True
bare,18,True,26,21,3,0,273,0,0,16,0,True
bare,19,True,18,24,4,0,245,0,0,16,0,True
bare,20,True,17,19,7,0,271,0,0,16,0,True
bare,21,True,18,20,7,0,275,0,0,16,0,True
bare,22,True,25,19,6,0,327,0,0,16,0,True
bare,23,False,0,0,0,0,46,0,0,16,0,True
bare,24,True,24,16,8,0,277,0,0,16,0,True
bare,25,True,16,23,4,0,289,0,0,16,0,True
bare,26,True,22,12,0,0,188,0,0,16,0,True
bare,27,True,20,16,10,0,305,0,0,16,0,True
bare,28,True,22,22,3,0,253,0,0,16,0,True
bare,29,True,22,20,3,0,306,0,0,16,0,True
bare,30,True,21,18,5,0,270,0,0,16,0,True
bare,31,True,25,18,8,0,250,0,0,16,0,True
bare,32,False,15,22,6,0,289,0,0,16,0,True
bare,33,True,23,20,6,0,320,0,0,16,0,True
bare,34,True,23,19,2,0,240,0,0,16,0,True
bare,35,True,23,21,2,0,251,0,0,16,0,True
bare,36,True,16,17,8,0,261,0,0,16,0,True
bare,37,True,20,20,6,0,255,0,0,16,0,True
bare,38,True,22,21,4,0,256,0,0,16,0,True
bare,39,True,18,22,3,0,270,0,0,16,0,True
bare,40,True,23,19,9,0,283,0,0,16,0,True
bare,41,True,24,20,6,0,298,0,0,16,0,True
bare,42,True,22,22,4,0,253,0,0,16,0,True
bare,43,True,22,18,6,0,298,0,0,16,0,True
bare,44,True,23,22,3,0,244,0,0,16,0,True
bare,45,True,23,21,6,0,242,0,0,16,0,True
bare,46,True,22,22,5,0,281,0,0,16,0,True
