arm,seed,survived,alive,copiers,xlators,builds,repairs,table_cells,exact
live,1,False,10,16,5,370,0,24,True
live,2,True,17,2,0,129,0,24,True
live,3,False,0,13,6,358,0,24,True
live,4,True,15,15,5,333,0,24,True
live,5,True,17,16,3,346,0,24,True
live,6,True,14,15,5,324,0,24,True
live,7,True,15,15,4,304,0,24,True
live,8,True,12,15,6,326,0,24,True
live,9,False,0,13,6,368,0,24,True
live,10,True,16,13,7,323,0,24,True
live,11,True,21,6,0,200,0,24,True
live,12,True,21,13,6,335,0,24,True
live,13,False,9,14,5,341,0,24,True
live,14,True,16,12,7,291,0,24,True
live,15,True,14,16,3,319,0,24,True
live,16,True,16,12,7,354,0,24,True
live,17,True,12,16,4,316,0,24,True
live,18,True,15,9,7,315,0,24,True
live,19,True,16,10,7,352,0,24,True
live,20,True,17,14,4,273,0,24,True
live,21,False,0,0,0,122,0,24,True
live,22,True,19,15,6,321,0,24,True
live,23,True,16,15,5,319,0,24,True
live,24,True,13,15,5,315,0,24,True
live,25,True,13,13,6,336,0,24,True
live,26,True,14,15,1,318,0,24,True
live,27,True,17,13,4,283,0,24,True
live,28,False,11,14,5,335,0,24,True
live,29,True,20,15,3,338,0,24,True
live,30,True,17,12,7,311,0,24,True
live,31,True,18,10,7,320,0,24,True
live,32,True,12,16,5,341,0,24,True
live,33,False,0,13,6,358,0,24,True
live,34,True,16,13,7,330,0,24,True
live,35,True,21,12,8,318,0,24,True
live,36,True,16,13,7,312,0,24,True
live,37,False,10,14,5,394,0,24,True
live,38,True,21,13,7,323,0,24,True
live,39,True,17,14,5,309,0,24,True
live,40,True,17,15,6,353,0,24,True
live,41,True,16,18,2,325,0,24,True
live,42,True,14,17,4,315,0,24,True
live,43,False,7,14,5,299,0,24,True
live,44,False,0,13,7,349,0,24,True
live,45,True,22,2,0,170,0,24,True
live,46,True,19,14,7,313,0,24,True
live,47,True,17,13,8,318,0,24,True
live,48,True,13,13,7,325,0,24,True
live,49,False,6,12,6,363,0,24,True
live,50,True,18,2,0,203,0,24,True
live,51,True,14,11,7,306,0,24,True
live,52,False,4,17,4,335,0,24,True
live,53,True,16,13,6,345,0,24,True
live,54,True,16,15,6,293,0,24,True
live,55,True,16,14,6,324,0,24,True
live,56,True,18,15,6,332,0,24,True
live,57,False,0,0,0,136,0,24,True
live,58,True,18,18,2,337,0,24,True
live,59,True,15,13,7,293,0,24,True
live,60,True,20,17,4,332,0,24,True
live,61,True,15,14,6,305,0,24,True
live,62,True,18,13,6,334,0,24,True
live,63,True,17,13,5,345,0,24,True
live,64,True,18,19,3,343,0,24,True
live,65,True,13,13,4,327,0,24,True
live,66,True,16,17,4,310,0,24,True
live,67,False,6,13,5,300,0,24,True
live,68,True,15,11,6,293,0,24,True
live,69,True,14,12,8,349,0,24,True
live,70,False,6,16,3,322,0,24,True
live,71,False,0,0,0,71,0,24,True
live,72,False,0,15,6,283,0,24,True
live,73,True,17,12,8,335,0,24,True
live,74,True,19,15,4,329,0,24,True
live,75,True,17,14,7,339,0,24,True
live,76,False,10,16,3,347,0,24,True
live,77,False,0,11,7,350,0,24,True
live,78,True,14,15,4,351,0,24,True
live,79,True,12,17,3,356,0,24,True
live,80,False,10,16,4,328,0,24,True
live,81,False,11,17,5,309,0,24,True
live,82,True,18,13,5,279,0,24,True
live,83,True,12,12,5,290,0,24,True
live,84,False,7,13,7,366,0,24,True
live,85,True,20,13,5,324,0,24,True
live,86,True,17,13,7,318,0,24,True
live,87,True,16,13,8,344,0,24,True
live,88,True,14,16,6,341,0,24,True
live,89,True,13,15,3,309,0,24,True
live,90,True,14,13,5,326,0,24,True
live,91,True,15,13,7,375,0,24,True
live,92,True,14,15,4,325,0,24,True
live,93,True,16,16,4,326,0,24,True
live,94,True,13,15,5,276,0,24,True
live,95,True,19,16,4,317,0,24,True
live,96,True,16,12,4,335,0,24,True
live,97,True,23,14,5,289,0,24,True
live,98,True,17,13,6,364,0,24,True
live,99,True,15,11,8,336,0,24,True
live,100,False,6,14,7,360,0,24,True
maintained,1,True,17,4,0,204,48,22,True
maintained,2,True,20,6,0,207,46,20,True
maintained,3,False,10,11,4,267,42,16,True
maintained,4,True,14,8,8,262,45,19,True
maintained,5,True,20,10,3,265,43,17,True
maintained,6,False,7,2,0,153,50,24,True
maintained,7,False,11,14,3,213,45,19,True
maintained,8,True,18,9,5,293,46,20,True
maintained,9,True,14,12,5,274,47,21,True
maintained,10,True,16,13,4,253,47,21,True
maintained,11,False,9,7,8,300,46,20,True
maintained,12,True,13,15,2,256,37,11,True
maintained,13,True,12,12,3,233,47,21,True
maintained,14,True,19,13,5,260,44,18,True
maintained,15,True,15,12,3,267,45,19,True
maintained,16,False,0,5,3,266,45,19,True
maintained,17,False,0,0,0,92,50,24,True
maintained,18,False,0,0,0,16,50,24,True
maintained,19,True,20,13,4,246,48,22,True
maintained,20,True,16,13,3,232,46,20,True
maintained,21,False,0,0,0,42,50,24,True
maintained,22,False,4,8,6,227,47,21,True
maintained,23,False,9,11,5,286,44,18,True
maintained,24,False,0,0,0,68,50,24,True
maintained,25,False,9,12,3,265,45,19,True
maintained,26,False,0,12,4,242,42,16,True
maintained,27,True,20,11,5,257,46,20,True
maintained,28,True,16,12,5,266,48,22,True
maintained,29,True,16,5,7,263,44,18,True
maintained,30,True,12,1,0,138,50,24,True
maintained,31,False,6,1,0,51,49,23,True
maintained,32,False,0,11,6,257,46,20,True
maintained,33,True,18,13,3,213,46,20,True
maintained,34,False,0,0,0,14,50,24,True
maintained,35,True,12,8,3,236,41,15,True
maintained,36,False,8,10,4,289,44,18,True
maintained,37,True,15,14,3,255,46,20,True
maintained,38,False,0,11,4,257,44,18,True
maintained,39,False,0,11,2,279,47,21,True
maintained,40,True,17,9,7,243,45,19,True
maintained,41,True,17,8,7,246,44,18,True
maintained,42,True,12,2,0,235,50,24,True
maintained,43,True,18,2,0,186,49,23,True
maintained,44,True,16,8,3,241,43,17,True
maintained,45,True,19,3,0,166,49,23,True
maintained,46,False,0,16,2,243,47,21,True
maintained,47,True,14,5,0,210,49,23,True
maintained,48,True,15,9,7,318,48,22,True
maintained,49,True,16,1,0,102,50,24,True
maintained,50,True,17,3,0,199,46,20,True
maintained,51,True,16,3,0,157,50,24,True
maintained,52,True,13,12,5,279,41,15,True
maintained,53,False,7,3,0,177,49,23,True
maintained,54,False,0,0,0,52,50,24,True
maintained,55,True,12,10,3,274,41,15,True
maintained,56,False,10,15,3,274,43,17,True
maintained,57,False,0,14,5,281,47,21,True
maintained,58,True,21,7,7,235,47,21,True
maintained,59,True,17,6,0,241,48,22,True
maintained,60,False,0,11,5,286,46,20,True
maintained,61,True,14,10,7,283,48,22,True
maintained,62,False,9,11,5,304,45,19,True
maintained,63,True,17,9,3,242,47,21,True
maintained,64,True,14,11,4,267,49,23,True
maintained,65,False,11,11,2,261,44,18,True
maintained,66,False,0,12,4,297,40,14,True
maintained,67,False,11,13,5,258,45,19,True
maintained,68,True,12,5,0,222,46,20,True
maintained,69,False,16,0,0,132,49,23,True
maintained,70,False,11,5,0,173,49,23,True
maintained,71,True,15,12,5,232,48,22,True
maintained,72,True,13,3,0,168,49,23,True
maintained,73,False,0,0,0,92,50,24,True
maintained,74,False,0,9,4,249,45,19,True
maintained,75,True,15,9,4,249,48,22,True
maintained,76,True,12,11,7,264,46,20,True
maintained,77,False,0,14,3,274,45,19,True
maintained,78,True,12,12,5,279,46,20,True
maintained,79,True,20,11,5,279,46,20,True
maintained,80,False,0,0,0,79,50,24,True
maintained,81,False,0,0,0,80,50,24,True
maintained,82,True,20,6,0,213,48,22,True
maintained,83,False,17,0,0,53,49,23,True
maintained,84,True,15,13,5,249,45,19,True
maintained,85,True,18,12,5,280,45,19,True
maintained,86,False,0,0,0,15,50,24,True
maintained,87,True,17,12,6,260,44,18,True
maintained,88,False,0,12,3,274,44,18,True
maintained,89,True,18,7,8,268,48,22,True
maintained,90,True,18,14,2,233,42,16,True
maintained,91,True,17,5,0,229,50,24,True
maintained,92,False,4,14,4,256,48,22,True
maintained,93,True,16,10,4,271,42,16,True
maintained,94,False,1,10,2,256,45,19,True
maintained,95,True,12,9,6,302,46,20,True
maintained,96,True,19,10,3,212,44,18,True
maintained,97,False,0,14,4,268,46,20,True
maintained,98,True,16,3,0,107,47,21,True
maintained,99,False,11,1,0,69,50,24,True
maintained,100,True,14,11,5,240,46,20,True
no-code,1,False,0,0,0,0,0,0,True
no-code,2,False,0,0,0,0,0,0,True
no-code,3,False,0,0,0,0,0,0,True
no-code,4,False,0,0,0,0,0,0,True
no-code,5,False,0,0,0,0,0,0,True
no-code,6,False,0,0,0,0,0,0,True
no-code,7,False,0,0,0,0,0,0,True
no-code,8,False,0,0,0,0,0,0,True
no-code,9,False,0,0,0,0,0,0,True
no-code,10,False,0,0,0,0,0,0,True
no-code,11,False,0,0,0,0,0,0,True
no-code,12,False,0,0,0,0,0,0,True
no-code,13,False,0,0,0,0,0,0,True
no-code,14,False,0,0,0,0,0,0,True
no-code,15,False,0,0,0,0,0,0,True
no-code,16,False,0,0,0,0,0,0,True
