arm,seed,survived,alive,copiers,xlators,keepers,built_pi,built_omega,built_xi,repairs,t1,t2,t1_share,exact
baseline,1,False,0,13,5,8,170,48,64,0,32,0,1.0,True
baseline,2,True,18,16,2,6,145,36,50,0,32,0,1.0,True
baseline,3,True,20,14,7,5,140,41,47,0,32,0,1.0,True
baseline,4,True,17,19,4,6,120,26,35,0,32,0,1.0,True
baseline,5,True,20,16,6,4,172,43,62,0,32,0,1.0,True
baseline,6,True,17,16,3,5,135,40,49,0,32,0,1.0,True
baseline,7,True,20,17,0,7,143,41,55,0,32,0,1.0,True
baseline,8,True,22,14,7,7,134,37,47,0,32,0,1.0,True
baseline,9,True,23,18,3,3,146,33,48,0,32,0,1.0,True
baseline,10,True,19,20,3,5,134,32,36,0,32,0,1.0,True
baseline,11,True,24,19,5,2,158,36,54,0,32,0,1.0,True
baseline,12,True,19,13,5,5,150,37,46,0,32,0,1.0,True
baseline,13,True,18,18,2,5,126,35,46,0,32,0,1.0,True
baseline,14,True,22,13,2,6,155,37,51,0,32,0,1.0,True
baseline,15,True,21,15,1,5,106,24,41,0,32,0,1.0,True
baseline,16,True,24,19,1,6,119,23,35,0,32,0,1.0,True
baseline,17,True,24,20,3,2,137,34,38,0,32,0,1.0,True
baseline,18,True,21,15,3,8,138,27,40,0,32,0,1.0,True
baseline,19,True,20,13,6,7,177,53,60,0,32,0,1.0,True
baseline,20,True,22,17,5,4,114,24,35,0,32,0,1.0,True
baseline,21,True,22,18,3,4,158,41,49,0,32,0,1.0,True
baseline,22,True,21,20,4,3,136,33,45,0,32,0,1.0,True
baseline,23,False,0,0,0,0,12,2,6,0,32,0,1.0,True
baseline,24,True,23,17,1,6,112,27,44,0,32,0,1.0,True
baseline,25,False,0,18,3,5,175,41,50,0,32,0,1.0,True
baseline,26,True,18,16,3,5,131,42,61,0,32,0,1.0,True
baseline,27,False,7,17,4,6,159,36,41,0,32,0,1.0,True
baseline,28,True,18,5,0,3,58,11,18,0,32,0,1.0,True
baseline,29,False,0,0,0,0,13,2,4,0,32,0,1.0,True
baseline,30,True,25,16,5,4,114,29,34,0,32,0,1.0,True
baseline,31,True,23,17,5,5,169,42,49,0,32,0,1.0,True
baseline,32,True,16,18,3,4,153,27,42,0,32,0,1.0,True
baseline,33,True,19,12,5,5,127,34,54,0,32,0,1.0,True
baseline,34,True,21,10,4,8,116,34,44,0,32,0,1.0,True
baseline,35,True,18,18,3,6,123,27,47,0,32,0,1.0,True
baseline,36,True,18,1,0,0,51,10,17,0,32,0,1.0,True
