ring,extra,seed,dom
23,α,1,α
23,α,2,α
23,α,3,α
23,α,4,β
23,α,5,β
23,α,6,α
23,α,7,β
23,α,8,α
23,α,9,α
23,α,10,α
23,α,11,α
23,α,12,α
23,α,13,β
23,α,14,α
23,α,15,α
23,α,16,α
23,α,17,α
23,α,18,β
23,α,19,β
23,α,20,α
23,α,21,α
23,α,22,α
23,α,23,α
23,α,24,β
23,α,25,α
23,α,26,α
23,α,27,α
23,α,28,β
23,α,29,α
23,α,30,α
23,α,31,α
23,α,32,α
23,α,33,α
23,α,34,α
23,α,35,β
23,α,36,α
23,α,37,β
23,α,38,α
23,α,39,α
23,α,40,α
23,α,41,α
23,α,42,α
23,α,43,β
23,α,44,β
23,α,45,β
23,α,46,α
23,α,47,α
23,α,48,α
23,α,49,β
23,α,50,α
23,α,51,α
23,α,52,α
23,α,53,α
23,α,54,α
23,α,55,α
23,α,56,α
23,α,57,β
23,α,58,α
23,α,59,α
23,α,60,α
23,α,61,β
23,α,62,α
23,α,63,α
23,α,64,α
23,α,65,β
23,α,66,β
23,α,67,α
23,α,68,α
23,α,69,α
23,α,70,α
23,α,71,β
23,α,72,β
23,α,73,α
23,α,74,β
23,α,75,α
23,α,76,β
23,α,77,α
23,α,78,α
23,α,79,α
23,α,80,α
23,α,81,β
23,α,82,β
23,α,83,α
23,α,84,α
23,α,85,α
23,α,86,α
23,α,87,α
23,α,88,α
23,α,89,α
23,α,90,α
23,α,91,α
23,α,92,α
23,α,93,α
23,α,94,α
23,α,95,β
23,α,96,α
23,α,97,β
23,α,98,β
23,α,99,α
23,α,100,α
23,β,1,α
23,β,2,α
23,β,3,α
23,β,4,β
23,β,5,β
23,β,6,α
23,β,7,α
23,β,8,α
23,β,9,α
23,β,10,β
23,β,11,α
23,β,12,α
23,β,13,β
23,β,14,α
23,β,15,α
23,β,16,α
23,β,17,α
23,β,18,β
23,β,19,β
23,β,20,α
23,β,21,β
23,β,22,α
23,β,23,α
23,β,24,β
23,β,25,α
23,β,26,α
23,β,27,α
23,β,28,β
23,β,29,α
23,β,30,α
23,β,31,α
23,β,32,α
23,β,33,α
23,β,34,β
23,β,35,β
23,β,36,β
23,β,37,β
23,β,38,α
23,β,39,α
23,β,40,α
23,β,41,β
23,β,42,α
23,β,43,β
23,β,44,α
23,β,45,β
23,β,46,α
23,β,47,α
23,β,48,α
23,β,49,β
23,β,50,α
23,β,51,α
23,β,52,α
23,β,53,α
23,β,54,α
23,β,55,α
23,β,56,α
23,β,57,β
23,β,58,α
23,β,59,α
23,β,60,α
23,β,61,β
23,β,62,α
23,β,63,α
23,β,64,α
23,β,65,β
23,β,66,β
23,β,67,α
23,β,68,α
23,β,69,β
23,β,70,α
23,β,71,β
23,β,72,β
23,β,73,α
23,β,74,β
23,β,75,α
23,β,76,β
23,β,77,β
23,β,78,α
23,β,79,α
23,β,80,α
23,β,81,α
23,β,82,β
23,β,83,α
23,β,84,β
23,β,85,α
23,β,86,α
23,β,87,α
23,β,88,α
23,β,89,α
23,β,90,α
23,β,91,α
23,β,92,α
23,β,93,α
23,β,94,α
23,β,95,β
23,β,96,α
23,β,97,β
23,β,98,β
23,β,99,α
23,β,100,α
24,-,1,α
24,-,2,β
24,-,3,α
24,-,4,α
24,-,5,β
24,-,6,β
24,-,7,α
24,-,8,α
24,-,9,α
24,-,10,α
24,-,11,β
24,-,12,β
24,-,13,β
24,-,14,α
24,-,15,α
24,-,16,β
24,-,17,α
24,-,18,α
24,-,19,β
24,-,20,α
24,-,21,α
24,-,22,α
24,-,23,α
24,-,24,β
24,-,25,α
24,-,26,α
24,-,27,α
24,-,28,β
24,-,29,α
24,-,30,α
24,-,31,α
24,-,32,α
24,-,33,α
24,-,34,α
24,-,35,α
24,-,36,β
24,-,37,α
24,-,38,α
24,-,39,α
24,-,40,β
24,-,41,β
24,-,42,α
24,-,43,α
24,-,44,β
24,-,45,α
24,-,46,α
24,-,47,α
24,-,48,α
24,-,49,β
24,-,50,α
24,-,51,β
24,-,52,α
24,-,53,α
24,-,54,β
24,-,55,α
24,-,56,α
24,-,57,β
24,-,58,α
24,-,59,α
24,-,60,β
24,-,61,β
24,-,62,α
24,-,63,α
24,-,64,α
24,-,65,β
24,-,66,α
24,-,67,α
24,-,68,α
24,-,69,α
24,-,70,α
24,-,71,β
24,-,72,α
24,-,73,α
24,-,74,β
24,-,75,α
24,-,76,β
24,-,77,α
24,-,78,α
24,-,79,β
24,-,80,α
24,-,81,β
24,-,82,β
24,-,83,α
24,-,84,α
24,-,85,β
24,-,86,β
24,-,87,α
24,-,88,α
24,-,89,β
24,-,90,α
24,-,91,α
24,-,92,α
24,-,93,β
24,-,94,α
24,-,95,β
24,-,96,α
24,-,97,β
24,-,98,α
24,-,99,α
24,-,100,β
24,-,101,α
24,-,102,α
24,-,103,β
24,-,104,β
24,-,105,α
24,-,106,α
24,-,107,β
24,-,108,α
24,-,109,α
24,-,110,β
24,-,111,α
24,-,112,α
24,-,113,α
24,-,114,α
24,-,115,α
24,-,116,α
24,-,117,α
24,-,118,α
24,-,119,α
24,-,120,α
24,-,121,β
24,-,122,α
24,-,123,α
24,-,124,β
24,-,125,α
24,-,126,α
24,-,127,α
24,-,128,α
24,-,129,β
24,-,130,α
24,-,131,β
24,-,132,α
24,-,133,β
24,-,134,β
24,-,135,α
24,-,136,α
24,-,137,α
24,-,138,α
24,-,139,α
24,-,140,α
24,-,141,α
24,-,142,α
24,-,143,α
24,-,144,β
24,-,145,β
24,-,146,α
24,-,147,α
24,-,148,α
24,-,149,β
24,-,150,α
24,-,151,β
24,-,152,α
24,-,153,β
24,-,154,β
24,-,155,α
24,-,156,β
24,-,157,α
24,-,158,α
24,-,159,β
24,-,160,α
24,-,161,α
24,-,162,α
24,-,163,β
24,-,164,β
24,-,165,α
24,-,166,β
24,-,167,α
24,-,168,α
24,-,169,α
24,-,170,α
24,-,171,α
24,-,172,β
24,-,173,α
24,-,174,β
24,-,175,α
24,-,176,β
24,-,177,α
24,-,178,α
24,-,179,β
24,-,180,α
24,-,181,α
24,-,182,α
24,-,183,α
24,-,184,β
24,-,185,α
24,-,186,β
24,-,187,β
24,-,188,α
24,-,189,α
24,-,190,α
24,-,191,β
24,-,192,α
24,-,193,β
24,-,194,α
24,-,195,α
24,-,196,α
24,-,197,β
24,-,198,α
24,-,199,α
24,-,200,α
25,α,1,α
25,α,2,α
25,α,3,β
25,α,4,α
25,α,5,α
25,α,6,β
25,α,7,α
25,α,8,α
25,α,9,α
25,α,10,β
25,α,11,β
25,α,12,α
25,α,13,α
25,α,14,β
25,α,15,α
25,α,16,α
25,α,17,α
25,α,18,α
25,α,19,β
25,α,20,α
25,α,21,β
25,α,22,α
25,α,23,α
25,α,24,α
25,α,25,α
25,α,26,α
25,α,27,α
25,α,28,β
25,α,29,α
25,α,30,β
25,α,31,β
25,α,32,α
25,α,33,α
25,α,34,β
25,α,35,β
25,α,36,β
25,α,37,β
25,α,38,α
25,α,39,α
25,α,40,α
25,α,41,β
25,α,42,α
25,α,43,α
25,α,44,α
25,α,45,α
25,α,46,α
25,α,47,α
25,α,48,α
25,α,49,β
25,α,50,α
25,α,51,β
25,α,52,α
25,α,53,α
25,α,54,α
25,α,55,α
25,α,56,α
25,α,57,α
25,α,58,α
25,α,59,β
25,α,60,β
25,α,61,α
25,α,62,β
25,α,63,α
25,α,64,α
25,α,65,α
25,α,66,α
25,α,67,α
25,α,68,β
25,α,69,β
25,α,70,β
25,α,71,α
25,α,72,α
25,α,73,α
25,α,74,β
25,α,75,α
25,α,76,α
25,α,77,β
25,α,78,α
25,α,79,β
25,α,80,α
25,α,81,β
25,α,82,β
25,α,83,α
25,α,84,α
25,α,85,β
25,α,86,β
25,α,87,α
25,α,88,β
25,α,89,α
25,α,90,α
25,α,91,α
25,α,92,α
25,α,93,α
25,α,94,α
25,α,95,α
25,α,96,α
25,α,97,β
25,α,98,α
25,α,99,β
25,α,100,β
25,β,1,α
25,β,2,α
25,β,3,β
25,β,4,α
25,β,5,α
25,β,6,α
25,β,7,α
25,β,8,α
25,β,9,α
25,β,10,α
25,β,11,β
25,β,12,α
25,β,13,α
25,β,14,β
25,β,15,α
25,β,16,α
25,β,17,α
25,β,18,α
25,β,19,β
25,β,20,α
25,β,21,α
25,β,22,α
25,β,23,α
25,β,24,α
25,β,25,α
25,β,26,β
25,β,27,α
25,β,28,β
25,β,29,α
25,β,30,β
25,β,31,β
25,β,32,α
25,β,33,α
25,β,34,α
25,β,35,β
25,β,36,β
25,β,37,β
25,β,38,α
25,β,39,α
25,β,40,α
25,β,41,β
25,β,42,α
25,β,43,α
25,β,44,α
25,β,45,α
25,β,46,α
25,β,47,α
25,β,48,α
25,β,49,β
25,β,50,α
25,β,51,β
25,β,52,α
25,β,53,α
25,β,54,α
