glyph,arm,seed,pre_cls,pre_p,outcome,exact
α,gated,1,FIXED,1,REPAIR,True
α,gated,2,FIXED,1,REPAIR,True
α,gated,3,FIXED,1,REPAIR,True
α,gated,4,FIXED,1,REPAIR,True
α,gated,5,FIXED,1,REPAIR,True
α,gated,6,FIXED,1,REPAIR,True
α,gated,7,FIXED,1,REPAIR,True
α,gated,8,FIXED,1,REPAIR,True
α,gated,9,FIXED,1,REPAIR,True
α,gated,10,FIXED,1,REPAIR,True
α,gated,11,FIXED,1,REPAIR,True
α,gated,12,FIXED,1,REPAIR,True
α,gated,13,FIXED,1,REPAIR,True
α,gated,14,FIXED,1,REPAIR,True
α,gated,15,FIXED,1,REPAIR,True
α,gated,16,FIXED,1,REPAIR,True
α,gated,17,FIXED,1,REPAIR,True
α,gated,18,FIXED,1,REPAIR,True
α,gated,19,FIXED,1,REPAIR,True
α,gated,20,FIXED,1,REPAIR,True
α,gated,21,FIXED,1,REPAIR,True
α,gated,22,FIXED,1,REPAIR,True
α,gated,23,FIXED,1,REPAIR,True
α,gated,24,FIXED,1,REPAIR,True
α,gated,25,FIXED,1,REPAIR,True
α,gated,26,FIXED,1,REPAIR,True
α,gated,27,FIXED,1,REPAIR,True
α,gated,28,FIXED,1,REPAIR,True
α,gated,29,FIXED,1,REPAIR,True
α,gated,30,FIXED,1,REPAIR,True
α,gated,31,FIXED,1,REPAIR,True
α,gated,32,FIXED,1,REPAIR,True
α,gated,33,FIXED,1,REPAIR,True
α,gated,34,FIXED,1,REPAIR,True
α,gated,35,FIXED,1,REPAIR,True
α,gated,36,FIXED,1,REPAIR,True
α,gated,37,FIXED,1,REPAIR,True
α,gated,38,FIXED,1,REPAIR,True
α,gated,39,FIXED,1,REPAIR,True
α,gated,40,FIXED,1,REPAIR,True
α,gated,41,FIXED,1,REPAIR,True
α,gated,42,FIXED,1,REPAIR,True
α,gated,43,FIXED,1,REPAIR,True
α,gated,44,FIXED,1,REPAIR,True
α,gated,45,FIXED,1,REPAIR,True
α,gated,46,FIXED,1,REPAIR,True
α,gated,47,FIXED,1,REPAIR,True
α,gated,48,FIXED,1,REPAIR,True
α,gated,49,FIXED,1,REPAIR,True
α,gated,50,FIXED,1,REPAIR,True
α,gated,51,FIXED,1,REPAIR,True
α,gated,52,FIXED,1,REPAIR,True
α,gated,53,FIXED,1,REPAIR,True
α,gated,54,FIXED,1,REPAIR,True
α,gated,55,FIXED,1,REPAIR,True
α,gated,56,FIXED,1,REPAIR,True
α,gated,57,FIXED,1,REPAIR,True
α,gated,58,FIXED,1,REPAIR,True
α,gated,59,FIXED,1,REPAIR,True
α,gated,60,FIXED,1,REPAIR,True
α,gated,61,FIXED,1,REPAIR,True
α,gated,62,FIXED,1,REPAIR,True
α,gated,63,FIXED,1,REPAIR,True
α,gated,64,FIXED,1,REPAIR,True
α,gated,65,FIXED,1,REPAIR,True
α,gated,66,FIXED,1,REPAIR,True
α,gated,67,FIXED,1,REPAIR,True
α,gated,68,FIXED,1,REPAIR,True
α,gated,69,FIXED,1,REPAIR,True
α,gated,70,FIXED,1,REPAIR,True
α,gated,71,FIXED,1,REPAIR,True
α,gated,72,FIXED,1,REPAIR,True
α,gated,73,FIXED,1,REPAIR,True
α,gated,74,FIXED,1,REPAIR,True
α,gated,75,FIXED,1,REPAIR,True
α,gated,76,FIXED,1,REPAIR,True
α,gated,77,FIXED,1,REPAIR,True
α,gated,78,FIXED,1,REPAIR,True
α,gated,79,FIXED,1,REPAIR,True
α,gated,80,FIXED,1,REPAIR,True
α,gated,81,FIXED,1,REPAIR,True
α,gated,82,FIXED,1,REPAIR,True
α,gated,83,FIXED,1,REPAIR,True
α,gated,84,FIXED,1,REPAIR,True
α,gated,85,FIXED,1,REPAIR,True
α,gated,86,FIXED,1,REPAIR,True
α,gated,87,FIXED,1,REPAIR,True
α,gated,88,FIXED,1,REPAIR,True
α,gated,89,FIXED,1,REPAIR,True
α,gated,90,FIXED,1,REPAIR,True
