config,arm,seed,exact,alive,winner,occupancy
melee,control,1,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,2,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,3,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,4,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,5,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,6,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,7,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,8,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,9,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,10,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,11,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,12,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,13,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,14,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,15,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,16,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,17,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,18,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,19,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,20,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,21,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,22,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,23,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,24,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,25,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,26,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,27,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,28,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,29,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,30,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,31,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,32,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,33,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,34,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,35,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,36,True,0,DEAD,α:0;β:0;γ:0;δ:0
melee,control,37,True,0,DEAD,α:0;β:0;γ:0;δ:0
