start,eps,seed,exact,alive,winner,law_ext,tape_ext,n_applies,occupancy
α,0.0,1,True,24,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,2,True,23,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,3,True,23,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,4,True,24,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,5,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,6,True,23,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,7,True,23,α,,,11000,α:22;β:0;γ:0;δ:0
α,0.0,8,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,9,True,23,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,10,True,23,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,11,True,22,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,12,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,13,True,23,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,14,True,23,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,15,True,24,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,16,True,24,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,17,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,18,True,23,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,19,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,20,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,21,True,24,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,22,True,23,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,23,True,23,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,24,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,25,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,26,True,23,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,27,True,24,α,,,11000,α:23;β:0;γ:0;δ:0
α,0.0,28,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,29,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,30,True,23,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,31,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,32,True,24,α,,,11000,α:24;β:0;γ:0;δ:0
α,0.0,33,True,23,α,,,11000,α:22;β:0;γ:0;δ:0
