start,eps,seed,cp,alive,n_α,n_β,n_γ,n_δ
γ,0.0,2,1000,15,0,0,16,0
γ,0.0,6,1000,23,0,0,24,0
γ,0.0,31,1000,24,0,0,24,0
γ,0.0,46,1000,24,0,0,23,0
γ,0.01,2,1000,22,21,0,1,1
γ,0.01,2,2000,23,22,2,0,0
γ,0.01,2,3000,24,1,22,0,0
γ,0.01,2,4000,24,18,0,5,0
γ,0.01,2,5000,22,21,2,0,1
γ,0.01,2,6000,24,10,11,0,1
γ,0.01,2,7000,24,18,1,3,2
γ,0.01,2,8000,23,15,3,6,0
γ,0.01,2,9000,22,14,4,5,0
γ,0.01,2,10000,22,18,0,5,0
γ,0.01,2,11000,23,13,10,0,0
γ,0.01,3,1000,23,3,9,9,1
γ,0.01,3,2000,22,13,2,8,0
γ,0.01,3,3000,23,11,12,0,0
γ,0.01,3,4000,21,4,0,19,0
γ,0.01,3,5000,22,24,0,0,0
γ,0.01,3,6000,23,13,6,2,1
γ,0.01,3,7000,24,17,0,6,0
γ,0.01,3,8000,23,21,0,0,1
γ,0.01,3,9000,24,15,0,9,0
γ,0.01,3,10000,22,15,5,3,0
γ,0.01,3,11000,24,21,0,2,1
γ,0.01,4,1000,23,21,0,2,0
γ,0.01,4,2000,23,19,0,4,0
γ,0.01,4,3000,24,17,5,1,0
γ,0.01,4,4000,24,22,1,0,0
γ,0.01,4,5000,22,13,2,9,0
γ,0.01,4,6000,23,15,1,7,0
γ,0.01,4,7000,23,20,0,3,1
γ,0.01,4,8000,24,4,4,15,0
γ,0.01,4,9000,24,9,10,4,0
γ,0.01,4,10000,23,24,0,0,0
γ,0.01,5,1000,23,9,8,7,0
γ,0.01,5,2000,23,19,3,0,1
γ,0.01,5,3000,23,21,0,1,0
γ,0.01,5,4000,24,15,6,2,0
γ,0.01,5,5000,24,12,0,9,1
γ,0.01,5,6000,23,16,8,0,0
γ,0.01,5,7000,23,23,0,0,1
γ,0.01,5,8000,24,14,5,4,0
γ,0.01,5,9000,24,18,6,0,0
γ,0.01,5,10000,24,21,0,1,1
γ,0.01,5,11000,24,14,4,6,0
γ,0.01,6,1000,24,15,9,0,0
γ,0.01,6,2000,23,22,0,0,0
γ,0.01,6,3000,23,14,0,9,0
γ,0.01,6,4000,21,7,5,10,0
γ,0.01,6,5000,23,6,10,8,0
γ,0.01,6,6000,24,21,0,0,0
γ,0.01,6,7000,22,10,0,13,0
γ,0.01,6,8000,24,16,3,5,0
γ,0.01,6,9000,23,24,0,0,0
γ,0.01,6,10000,23,18,0,6,0
γ,0.01,6,11000,24,24,0,0,0
γ,0.01,7,1000,24,8,16,0,0
γ,0.01,7,2000,24,13,0,10,1
γ,0.01,7,3000,24,14,0,8,1
γ,0.01,7,4000,23,23,0,0,1
γ,0.01,8,1000,24,16,8,0,0
γ,0.01,8,2000,24,22,0,0,1
γ,0.01,8,3000,24,22,2,0,0
γ,0.01,8,4000,24,22,0,1,0
γ,0.01,8,5000,24,0,14,9,1
γ,0.01,9,1000,22,12,10,0,0
γ,0.01,9,2000,23,12,11,0,0
γ,0.01,9,3000,23,21,0,2,0
γ,0.01,9,4000,23,23,0,0,0
γ,0.01,9,5000,24,11,12,0,0
γ,0.01,9,6000,24,21,2,1,0
γ,0.01,9,7000,23,24,0,0,0
γ,0.01,9,8000,22,21,0,2,0
γ,0.01,9,9000,24,24,0,0,0
γ,0.01,9,10000,22,23,0,0,0
γ,0.01,9,11000,24,15,3,5,0
γ,0.01,10,1000,24,21,3,0,0
γ,0.01,10,2000,22,23,0,0,0
γ,0.01,10,3000,24,23,0,0,0
γ,0.01,10,4000,24,19,5,0,0
γ,0.01,10,5000,24,16,7,0,1
γ,0.01,10,6000,24,21,1,1,0
γ,0.01,10,7000,24,24,0,0,0
γ,0.01,10,8000,23,15,4,4,0
γ,0.01,10,9000,22,16,0,7,0
γ,0.01,10,10000,24,9,8,7,0
γ,0.01,10,11000,24,17,0,6,1
γ,0.01,12,1000,21,14,4,3,0
γ,0.01,12,2000,23,12,8,1,0
γ,0.01,12,3000,23,17,5,1,0
γ,0.01,12,4000,24,13,9,0,0
γ,0.01,12,5000,24,23,0,1,0
γ,0.01,12,6000,23,14,9,0,0
γ,0.01,12,7000,24,19,3,1,0
γ,0.01,12,8000,23,12,2,8,0
γ,0.01,12,9000,23,12,0,12,0
γ,0.01,12,10000,23,17,0,7,0
γ,0.01,12,11000,23,16,0,8,0
γ,0.01,13,1000,22,16,0,7,0
γ,0.01,13,2000,23,6,14,2,1
γ,0.01,13,3000,23,14,7,0,1
γ,0.01,13,4000,24,18,1,4,0
γ,0.01,13,5000,23,20,4,0,0
γ,0.01,13,6000,22,23,0,0,0
γ,0.01,13,7000,24,0,24,0,0
γ,0.01,13,8000,23,18,6,0,0
