start,eps,seed,exact,alive,dom,n_alpha,alpha0,alpha_seen,diversity,law_ext,tape_ext,n_applies
gamma,0.003,1,True,0,DEAD,0,False,False,0,214,211,214
gamma,0.003,2,True,23,α,24,False,True,1,,,11000
gamma,0.003,3,True,0,DEAD,0,False,False,0,252,228,252
gamma,0.003,4,True,0,DEAD,0,False,False,0,168,167,168
gamma,0.003,5,True,23,α,21,False,True,3,,,11000
gamma,0.003,6,True,0,DEAD,0,False,False,0,173,149,173
gamma,0.003,7,True,0,DEAD,0,False,False,0,275,274,275
gamma,0.003,8,True,0,DEAD,0,False,True,0,195,194,195
gamma,0.003,9,True,0,DEAD,0,False,False,0,247,242,247
gamma,0.003,10,True,0,DEAD,0,False,True,0,2439,2415,2439
gamma,0.003,11,True,0,DEAD,0,False,True,0,274,273,274
gamma,0.003,12,True,0,DEAD,0,False,False,0,150,149,150
gamma,0.003,13,True,0,DEAD,0,False,True,0,301,299,301
gamma,0.003,14,True,0,DEAD,0,False,False,0,242,241,242
gamma,0.003,15,True,0,DEAD,0,False,False,0,162,160,162
gamma,0.003,16,True,0,DEAD,0,False,False,0,213,212,213
gamma,0.003,17,True,0,DEAD,0,False,False,0,271,270,271
gamma,0.003,18,True,0,DEAD,0,False,True,0,247,245,247
gamma,0.003,19,True,0,DEAD,0,False,False,0,183,170,183
gamma,0.003,20,True,0,DEAD,0,False,False,0,143,142,143
gamma,0.003,21,True,0,DEAD,0,False,False,0,298,296,298
gamma,0.003,22,True,0,DEAD,0,False,False,0,246,245,246
gamma,0.003,23,True,0,DEAD,0,False,False,0,232,231,232
gamma,0.003,24,True,22,α,18,False,True,4,,,11000
gamma,0.003,25,True,22,α,22,False,True,2,,,11000
gamma,0.003,26,True,0,DEAD,0,False,False,0,269,271,271
gamma,0.003,27,True,0,DEAD,0,False,True,0,242,241,242
gamma,0.003,28,True,0,DEAD,0,False,False,0,195,194,195
gamma,0.003,29,True,24,α,16,False,True,3,,,11000
gamma,0.003,30,True,0,DEAD,0,False,False,0,199,198,199
gamma,0.003,31,True,0,DEAD,0,False,False,0,256,257,257
gamma,0.003,32,True,0,DEAD,0,False,False,0,233,232,233
gamma,0.003,33,True,0,DEAD,0,False,False,0,225,201,225
gamma,0.003,34,True,0,DEAD,0,False,False,0,355,354,355
gamma,0.003,35,True,0,DEAD,0,False,False,0,248,247,248
gamma,0.003,36,True,0,DEAD,0,False,False,0,167,166,167
gamma,0.003,37,True,24,α,22,False,True,1,,,11000
gamma,0.003,38,True,0,DEAD,0,False,True,0,257,255,257
gamma,0.003,39,True,0,DEAD,0,False,False,0,225,201,225
gamma,0.003,40,True,0,DEAD,0,False,False,0,189,187,189
gamma,0.01,1,True,0,DEAD,0,False,False,0,149,148,149
gamma,0.01,2,True,0,DEAD,0,False,False,0,164,154,164
gamma,0.01,3,True,0,DEAD,0,False,False,0,176,175,176
gamma,0.01,4,True,0,DEAD,0,False,False,0,152,151,152
gamma,0.01,5,True,0,DEAD,0,False,False,0,130,129,130
gamma,0.01,6,True,0,DEAD,0,False,True,0,1547,1527,1547
gamma,0.01,7,True,0,DEAD,0,False,False,0,160,150,160
gamma,0.01,8,True,0,DEAD,0,False,False,0,167,166,167
gamma,0.01,9,True,22,α,20,False,True,3,,,11000
gamma,0.01,10,True,0,DEAD,0,False,True,0,613,611,613
gamma,0.01,11,True,0,DEAD,0,False,True,0,154,146,154
gamma,0.01,12,True,0,DEAD,0,False,True,0,5662,5661,5662
gamma,0.01,13,True,0,DEAD,0,False,True,0,246,245,246
gamma,0.01,14,True,0,DEAD,0,False,False,0,97,96,97
gamma,0.01,15,True,0,DEAD,0,False,False,0,106,100,106
gamma,0.01,16,True,22,α,19,False,True,4,,,11000
gamma,0.01,17,True,0,DEAD,0,False,True,0,387,386,387
gamma,0.01,18,True,0,DEAD,0,False,False,0,152,148,152
gamma,0.01,19,True,0,DEAD,0,False,False,0,93,94,94
gamma,0.01,20,True,24,α,20,False,True,4,,,11000
gamma,0.01,21,True,24,α,20,False,True,3,,,11000
gamma,0.01,22,True,0,DEAD,0,False,False,0,128,104,128
gamma,0.01,23,True,19,α,15,False,True,4,,,11000
gamma,0.01,24,True,0,DEAD,0,False,False,0,127,126,127
gamma,0.01,25,True,0,DEAD,0,False,True,0,143,142,143
gamma,0.01,26,True,0,DEAD,0,False,True,0,202,187,202
