start,eps,seed,cp,diversity,n_alpha,alive
gamma,0.003,2,1000,2,22,23
gamma,0.003,2,2000,1,24,23
gamma,0.003,2,3000,4,11,21
gamma,0.003,2,4000,3,14,22
gamma,0.003,2,5000,2,19,24
gamma,0.003,2,6000,1,23,23
gamma,0.003,2,7000,2,23,24
gamma,0.003,2,8000,3,18,23
gamma,0.003,2,9000,3,18,20
gamma,0.003,2,10000,3,21,21
gamma,0.003,2,11000,1,24,23
gamma,0.003,5,1000,2,23,24
gamma,0.003,5,2000,1,24,23
gamma,0.003,5,3000,3,19,23
gamma,0.003,5,4000,2,12,24
gamma,0.003,5,5000,3,22,22
gamma,0.003,5,6000,3,16,16
gamma,0.003,5,7000,2,22,24
gamma,0.003,5,8000,3,21,23
gamma,0.003,5,9000,1,24,24
gamma,0.003,5,10000,3,21,23
gamma,0.003,5,11000,3,21,23
gamma,0.003,10,1000,1,24,23
gamma,0.003,10,2000,1,23,21
gamma,0.003,24,1000,2,22,23
gamma,0.003,24,2000,1,23,24
gamma,0.003,24,3000,4,2,22
gamma,0.003,24,4000,2,23,24
gamma,0.003,24,5000,3,18,23
gamma,0.003,24,6000,1,23,24
gamma,0.003,24,7000,2,22,22
gamma,0.003,24,8000,2,22,24
gamma,0.003,24,9000,1,23,23
gamma,0.003,24,10000,2,19,23
gamma,0.003,24,11000,4,18,22
gamma,0.003,25,1000,4,14,20
gamma,0.003,25,2000,2,21,22
gamma,0.003,25,3000,3,20,22
gamma,0.003,25,4000,3,21,23
gamma,0.003,25,5000,1,24,24
gamma,0.003,25,6000,4,13,24
gamma,0.003,25,7000,2,19,21
gamma,0.003,25,8000,3,15,19
gamma,0.003,25,9000,1,24,23
gamma,0.003,25,10000,3,21,24
gamma,0.003,25,11000,2,22,22
gamma,0.003,29,1000,1,23,24
gamma,0.003,29,2000,2,20,22
gamma,0.003,29,3000,1,23,23
gamma,0.003,29,4000,3,19,24
gamma,0.003,29,5000,1,23,23
gamma,0.003,29,6000,2,22,23
gamma,0.003,29,7000,1,24,24
gamma,0.003,29,8000,1,23,24
gamma,0.003,29,9000,4,13,21
gamma,0.003,29,10000,3,20,23
gamma,0.003,29,11000,3,16,24
gamma,0.003,37,1000,1,22,24
gamma,0.003,37,2000,2,22,23
gamma,0.003,37,3000,2,21,24
gamma,0.003,37,4000,2,21,23
gamma,0.003,37,5000,1,23,23
gamma,0.003,37,6000,4,17,22
gamma,0.003,37,7000,2,19,23
gamma,0.003,37,8000,1,23,23
gamma,0.003,37,9000,2,22,24
gamma,0.003,37,10000,2,22,23
gamma,0.003,37,11000,1,22,24
gamma,0.01,6,1000,4,17,20
gamma,0.01,9,1000,3,18,21
gamma,0.01,9,2000,6,12,21
gamma,0.01,9,3000,5,15,20
gamma,0.01,9,4000,5,15,19
gamma,0.01,9,5000,4,18,21
gamma,0.01,9,6000,3,19,21
gamma,0.01,9,7000,2,22,23
gamma,0.01,9,8000,2,17,24
gamma,0.01,9,9000,2,19,23
gamma,0.01,9,10000,4,20,23
gamma,0.01,9,11000,3,20,22
gamma,0.01,12,1000,2,22,22
gamma,0.01,12,2000,4,17,22
gamma,0.01,12,3000,3,16,23
gamma,0.01,12,4000,3,22,24
gamma,0.01,12,5000,3,19,20
gamma,0.01,16,1000,2,18,20
gamma,0.01,16,2000,6,16,20
gamma,0.01,16,3000,3,20,23
gamma,0.01,16,4000,3,18,19
gamma,0.01,16,5000,3,21,24
gamma,0.01,16,6000,4,16,23
gamma,0.01,16,7000,3,21,24
gamma,0.01,16,8000,4,20,24
gamma,0.01,16,9000,3,21,22
gamma,0.01,16,10000,3,22,23
gamma,0.01,16,11000,4,19,22
gamma,0.01,20,1000,3,20,22
gamma,0.01,20,2000,3,22,22
gamma,0.01,20,3000,4,15,22
gamma,0.01,20,4000,2,17,17
gamma,0.01,20,5000,3,11,20
gamma,0.01,20,6000,3,16,22
gamma,0.01,20,7000,4,18,23
gamma,0.01,20,8000,2,13,20
gamma,0.01,20,9000,3,22,21
gamma,0.01,20,10000,4,18,20
gamma,0.01,20,11000,4,20,24
gamma,0.01,21,1000,4,17,24
gamma,0.01,21,2000,5,20,21
gamma,0.01,21,3000,5,10,21
gamma,0.01,21,4000,6,13,21
gamma,0.01,21,5000,5,9,24
gamma,0.01,21,6000,3,15,16
gamma,0.01,21,7000,3,21,23
gamma,0.01,21,8000,4,16,22
gamma,0.01,21,9000,2,8,22
gamma,0.01,21,10000,3,16,23
gamma,0.01,21,11000,3,20,24
gamma,0.01,23,1000,2,15,24
gamma,0.01,23,2000,3,17,23
gamma,0.01,23,3000,4,9,23
gamma,0.01,23,4000,2,23,22
gamma,0.01,23,5000,4,16,19
gamma,0.01,23,6000,2,22,24
gamma,0.01,23,7000,4,19,23
gamma,0.01,23,8000,2,21,22
gamma,0.01,23,9000,6,16,22
gamma,0.01,23,10000,3,17,23
gamma,0.01,23,11000,4,15,19
gamma,0.01,27,1000,6,11,20
gamma,0.01,27,2000,4,19,22
gamma,0.01,27,3000,4,16,22
gamma,0.01,27,4000,4,19,21
gamma,0.01,27,5000,3,21,23
gamma,0.01,27,6000,4,19,24
gamma,0.01,27,7000,5,16,19
gamma,0.01,27,8000,3,19,21
gamma,0.01,27,9000,4,16,17
gamma,0.01,27,10000,2,20,21
gamma,0.01,27,11000,4,17,22
gamma,0.01,30,1000,3,11,24
gamma,0.01,30,2000,3,14,16
gamma,0.01,30,3000,2,22,22
gamma,0.01,30,4000,3,16,22
gamma,0.01,32,1000,1,23,22
gamma,0.01,32,2000,2,22,23
gamma,0.01,32,3000,2,22,24
gamma,0.01,32,4000,7,12,16
gamma,0.01,32,5000,3,19,20
gamma,0.01,32,6000,4,20,24
gamma,0.01,32,7000,5,12,22
gamma,0.01,32,8000,2,16,22
gamma,0.01,32,9000,3,21,23
gamma,0.01,32,10000,4,19,21
gamma,0.01,34,1000,5,11,24
gamma,0.01,34,2000,6,15,20
gamma,0.01,34,3000,6,15,20
gamma,0.01,34,4000,4,14,22
gamma,0.01,34,5000,3,18,23
gamma,0.01,34,6000,3,20,24
gamma,0.01,34,7000,5,12,22
gamma,0.01,34,8000,3,19,24
gamma,0.01,34,9000,5,18,23
gamma,0.01,34,10000,3,11,19
gamma,0.01,34,11000,3,17,19
gamma,0.01,35,1000,3,21,24
gamma,0.01,35,2000,5,14,16
gamma,0.01,37,1000,4,17,21
gamma,0.01,37,2000,4,16,20
gamma,0.01,37,3000,4,13,13
gamma,0.01,37,4000,3,22,24
gamma,0.01,37,5000,4,16,22
gamma,0.01,37,6000,5,17,23
gamma,0.01,37,7000,2,21,24
gamma,0.01,37,8000,6,11,22
gamma,0.01,37,9000,5,12,18
gamma,0.01,38,1000,3,18,21
gamma,0.01,38,2000,3,12,23
gamma,0.01,38,3000,4,20,23
gamma,0.01,38,4000,4,17,21
gamma,0.01,38,5000,5,18,22
gamma,0.01,38,6000,5,16,21
gamma,0.01,38,7000,5,18,22
gamma,0.01,38,8000,5,14,18
gamma,0.01,38,9000,1,24,24
gamma,0.01,38,10000,6,11,20
gamma,0.01,38,11000,7,10,16
gamma,0.01,40,1000,3,17,23
gamma,0.01,40,2000,3,9,18
gamma,0.01,40,3000,4,16,21
gamma,0.01,40,4000,3,18,24
gamma,0.01,40,5000,2,9,10
gamma,0.01,40,6000,3,20,22
gamma,0.01,40,7000,6,17,21
gamma,0.01,40,8000,2,22,23
gamma,0.01,40,9000,4,19,22
gamma,0.01,40,10000,2,23,24
gamma,0.01,40,11000,6,8,16
walker2,0.003,24,1000,2,0,23
walker2,0.003,24,2000,1,0,24
walker2,0.003,24,3000,1,0,23
walker2,0.003,24,4000,2,0,24
walker2,0.003,24,5000,1,0,24
walker2,0.003,24,6000,1,0,24
walker2,0.003,24,7000,1,0,24
walker2,0.003,24,8000,4,0,23
walker2,0.003,24,9000,2,0,18
walker2,0.003,24,10000,1,0,23
walker2,0.003,24,11000,4,0,22
walker2,0.01,8,1000,2,0,24
walker2,0.01,8,2000,5,0,22
walker2,0.01,8,3000,3,0,24
walker2,0.01,8,4000,4,0,17
walker2,0.01,8,5000,4,0,19
walker2,0.01,8,6000,4,0,22
walker2,0.01,8,7000,6,0,23
walker2,0.01,8,8000,5,0,15
walker2,0.01,20,1000,4,0,21
walker2,0.01,20,2000,4,0,9
walker2,0.01,20,3000,3,0,23
walker2,0.01,20,4000,1,0,24
walker2,0.01,20,5000,1,0,24
walker2,0.01,20,6000,3,0,22
walker2,0.01,20,7000,3,0,23
walker2,0.01,20,8000,2,0,23
walker2,0.01,20,9000,4,0,20
walker2,0.01,20,10000,4,0,8
walker2,0.01,20,11000,4,0,24
walker2,0.01,22,1000,5,0,22
walker2,0.01,22,2000,3,0,21
walker2,0.01,22,3000,2,0,24
walker2,0.01,22,4000,4,0,20
walker2,0.01,22,5000,2,0,18
walker2,0.01,22,6000,4,0,23
walker2,0.01,22,7000,4,0,13
walker2,0.01,22,8000,2,0,23
walker2,0.01,22,9000,3,0,22
walker2,0.01,22,10000,3,0,22
walker2,0.01,22,11000,2,0,23
walker2,0.01,33,1000,5,0,6
walker2,0.01,36,1000,5,0,20
walker2,0.01,36,2000,3,0,22
walker2,0.01,36,3000,3,0,23
walker2,0.01,36,4000,4,0,23
walker2,0.01,36,5000,4,0,17
walker2,0.01,36,6000,4,0,22
walker2,0.01,36,7000,2,0,22
walker2,0.01,36,8000,2,0,23
walker2,0.01,36,9000,2,0,22
walker2,0.01,36,10000,3,0,24
walker2,0.01,36,11000,5,0,15
