arm,seed,dom,alive
base,1,α,23
base,2,β,24
base,3,α,23
base,4,α,23
base,5,β,24
base,6,β,24
base,7,α,24
base,8,α,23
base,9,α,23
base,10,α,23
base,11,β,24
base,12,β,24
base,13,β,24
base,14,α,23
base,15,α,24
base,16,β,24
base,17,α,24
base,18,α,24
base,19,β,24
base,20,α,24
base,21,α,24
base,22,α,24
base,23,α,24
base,24,β,24
base,25,α,24
base,26,α,22
base,27,α,24
base,28,β,24
base,29,α,23
base,30,α,24
base,31,α,24
base,32,α,24
base,33,α,24
base,34,α,23
base,35,α,23
base,36,β,24
base,37,α,24
base,38,α,23
base,39,α,24
base,40,β,24
base,41,β,24
base,42,α,23
base,43,α,23
base,44,β,24
base,45,α,24
base,46,α,24
base,47,α,24
base,48,α,23
base,49,β,24
base,50,α,24
base,51,β,24
base,52,α,23
base,53,α,24
base,54,β,24
base,55,α,24
base,56,α,23
base,57,β,24
base,58,α,21
base,59,α,24
base,60,β,24
base,61,β,24
base,62,α,23
base,63,α,24
base,64,α,24
base,65,β,24
base,66,α,23
base,67,α,24
base,68,α,24
base,69,α,23
base,70,α,23
base,71,β,24
base,72,α,24
base,73,α,24
base,74,β,24
base,75,α,23
base,76,β,24
base,77,α,24
base,78,α,23
base,79,β,24
base,80,α,23
base,81,β,24
base,82,β,24
base,83,α,22
base,84,α,24
base,85,β,24
base,86,β,24
base,87,α,23
base,88,α,24
base,89,β,24
base,90,α,23
base,91,α,23
base,92,α,24
base,93,β,24
base,94,α,24
base,95,β,24
base,96,α,23
base,97,β,24
base,98,α,24
base,99,α,23
base,100,β,24
hboost,1,β,24
hboost,2,α,24
hboost,3,α,23
hboost,4,α,23
hboost,5,β,24
hboost,6,β,24
hboost,7,α,24
hboost,8,α,23
hboost,9,α,23
hboost,10,α,23
hboost,11,β,24
hboost,12,α,23
hboost,13,β,24
hboost,14,α,23
hboost,15,β,24
hboost,16,α,24
hboost,17,α,24
hboost,18,α,24
hboost,19,β,24
hboost,20,α,24
hboost,21,α,24
hboost,22,α,24
hboost,23,α,24
hboost,24,β,24
hboost,25,β,24
hboost,26,α,22
hboost,27,α,24
hboost,28,β,24
hboost,29,α,23
hboost,30,α,24
hboost,31,α,24
hboost,32,α,24
hboost,33,α,24
hboost,34,β,24
hboost,35,α,23
hboost,36,β,24
hboost,37,α,24
hboost,38,α,23
hboost,39,α,24
hboost,40,β,24
hboost,41,β,24
hboost,42,α,23
hboost,43,α,23
hboost,44,β,24
hboost,45,α,24
hboost,46,α,24
hboost,47,α,24
hboost,48,α,23
hboost,49,β,24
hboost,50,α,24
hboost,51,β,24
hboost,52,α,23
hboost,53,α,24
hboost,54,β,24
hboost,55,α,24
hboost,56,α,23
hboost,57,β,24
hboost,58,α,21
hboost,59,α,24
hboost,60,β,24
hboost,61,α,23
hboost,62,α,23
hboost,63,α,24
hboost,64,α,24
hboost,65,β,24
hboost,66,α,23
hboost,67,α,24
hboost,68,α,24
hboost,69,β,24
hboost,70,α,23
hboost,71,α,24
hboost,72,α,24
hboost,73,α,24
hboost,74,β,24
hboost,75,α,23
hboost,76,α,23
hboost,77,α,24
hboost,78,α,23
hboost,79,α,23
hboost,80,β,24
hboost,81,β,24
hboost,82,β,24
hboost,83,β,24
hboost,84,α,24
hboost,85,β,24
hboost,86,α,23
hboost,87,α,23
hboost,88,α,24
hboost,89,α,22
hboost,90,α,23
hboost,91,α,23
hboost,92,β,24
hboost,93,β,24
hboost,94,β,24
hboost,95,β,24
hboost,96,α,23
hboost,97,β,24
hboost,98,β,24
hboost,99,α,23
hboost,100,β,24
mboost,1,β,24
mboost,2,β,24
