start,eps,m,seed,dom,alive,n_applies,mut_α,mut_β,mut_γ,mut_δ
α,0.0,6,1,α,19,10800,0,0,0,0
α,0.0,6,2,α,18,10800,0,0,0,0
α,0.0,6,3,α,21,10800,0,0,0,0
α,0.0,6,4,α,18,10800,0,0,0,0
α,0.0,6,5,α,18,10800,0,0,0,0
α,0.0,6,6,α,19,10800,0,0,0,0
α,0.0,6,7,α,15,10800,0,0,0,0
α,0.0,6,8,α,22,10800,0,0,0,0
α,0.0,6,9,α,20,10800,0,0,0,0
α,0.0,6,10,α,21,10800,0,0,0,0
α,0.0,6,11,α,18,10800,0,0,0,0
α,0.0,6,12,α,22,10800,0,0,0,0
α,0.0,6,13,α,20,10800,0,0,0,0
α,0.0,6,14,α,22,10800,0,0,0,0
α,0.0,6,15,α,16,10800,0,0,0,0
α,0.0,6,16,α,18,10800,0,0,0,0
α,0.0,6,17,α,17,10800,0,0,0,0
α,0.0,6,18,α,21,10800,0,0,0,0
α,0.0,6,19,α,20,10800,0,0,0,0
α,0.0,6,20,α,20,10800,0,0,0,0
α,0.0,6,21,α,20,10800,0,0,0,0
α,0.0,6,22,α,22,10800,0,0,0,0
α,0.0,6,23,α,14,10800,0,0,0,0
α,0.0,6,24,α,17,10800,0,0,0,0
α,0.0,6,25,α,11,10800,0,0,0,0
α,0.0,6,26,α,15,10800,0,0,0,0
α,0.0,6,27,α,18,10800,0,0,0,0
α,0.0,6,28,α,21,10800,0,0,0,0
α,0.0,6,29,α,18,10800,0,0,0,0
α,0.0,6,30,α,19,10800,0,0,0,0
α,0.0,12,1,α,24,10798,0,0,0,0
α,0.0,12,2,α,22,10798,0,0,0,0
α,0.0,12,3,α,23,10798,0,0,0,0
α,0.0,12,4,α,22,10798,0,0,0,0
α,0.0,12,5,α,22,10798,0,0,0,0
α,0.0,12,6,α,23,10798,0,0,0,0
α,0.0,12,7,α,21,10798,0,0,0,0
α,0.0,12,8,α,21,10798,0,0,0,0
α,0.0,12,9,α,20,10798,0,0,0,0
α,0.0,12,10,α,23,10798,0,0,0,0
α,0.0,12,11,α,22,10798,0,0,0,0
α,0.0,12,12,α,22,10798,0,0,0,0
α,0.0,12,13,α,24,10798,0,0,0,0
α,0.0,12,14,α,22,10798,0,0,0,0
α,0.0,12,15,α,20,10798,0,0,0,0
α,0.0,12,16,α,23,10798,0,0,0,0
α,0.0,12,17,α,22,10798,0,0,0,0
α,0.0,12,18,α,19,10798,0,0,0,0
α,0.0,12,19,α,21,10798,0,0,0,0
α,0.0,12,20,α,23,10798,0,0,0,0
α,0.0,12,21,α,23,10798,0,0,0,0
α,0.0,12,22,α,23,10798,0,0,0,0
α,0.0,12,23,α,22,10798,0,0,0,0
α,0.0,12,24,α,23,10798,0,0,0,0
α,0.0,12,25,α,23,10798,0,0,0,0
α,0.0,12,26,α,21,10798,0,0,0,0
α,0.0,12,27,α,22,10798,0,0,0,0
α,0.0,12,28,α,23,10798,0,0,0,0
α,0.0,12,29,α,23,10798,0,0,0,0
α,0.0,12,30,α,21,10798,0,0,0,0
α,0.0,25,1,α,24,10811,0,0,0,0
α,0.0,25,2,α,24,10811,0,0,0,0
α,0.0,25,3,α,24,10811,0,0,0,0
α,0.0,25,4,α,23,10811,0,0,0,0
α,0.0,25,5,α,24,10811,0,0,0,0
α,0.0,25,6,α,24,10811,0,0,0,0
α,0.0,25,7,α,24,10811,0,0,0,0
α,0.0,25,8,α,23,10811,0,0,0,0
α,0.0,25,9,α,23,10811,0,0,0,0
α,0.0,25,10,α,24,10811,0,0,0,0
α,0.0,25,11,α,24,10811,0,0,0,0
α,0.0,25,12,α,23,10811,0,0,0,0
α,0.0,25,13,α,23,10811,0,0,0,0
α,0.0,25,14,α,23,10811,0,0,0,0
α,0.0,25,15,α,23,10811,0,0,0,0
α,0.0,25,16,α,24,10811,0,0,0,0
α,0.0,25,17,α,24,10811,0,0,0,0
α,0.0,25,18,α,24,10811,0,0,0,0
α,0.0,25,19,α,23,10811,0,0,0,0
