cell,seed,dom,alive,fuel,spend,hoard
k16,1,α,22,3,γ:91;α:1823;β:27,α:6.53;β:0.20;γ:0.73;δ:0.17
k16,2,α,23,1,γ:128;α:1759;β:56,α:6.62;β:0.55;γ:1.09;δ:0.24
k16,3,α,23,2,γ:198;α:1679;β:49,α:6.54;β:0.46;γ:1.55;δ:0.11
k16,4,α,24,0,γ:142;β:99;α:1698,α:6.66;β:0.80;γ:1.09;δ:0.08
k16,5,α,23,2,γ:100;β:72;α:1761,α:5.98;β:0.60;γ:1.02;δ:0.29
k16,6,α,24,0,γ:240;β:48;α:1654,α:6.31;β:0.44;γ:1.78;δ:0.18
k16,7,α,23,0,γ:220;β:123;α:1587,α:5.63;β:0.77;γ:1.38;δ:0.35
k16,8,α,23,2,γ:190;β:108;α:1635,α:6.11;β:0.75;γ:1.74;δ:0.29
k16,9,α,24,0,γ:140;β:159;α:1621,α:6.16;β:1.42;γ:0.95;δ:0.15
k16,10,α,22,2,γ:105;β:55;α:1777,α:6.77;β:0.37;γ:1.06;δ:0.30
k16,11,α,24,1,γ:254;α:1518;β:152,α:5.83;β:1.12;γ:1.73;δ:0.13
k16,12,α,24,0,γ:218;β:244;α:1422,α:5.01;β:1.51;γ:1.67;δ:0.30
k16,13,α,24,2,γ:237;α:1548;β:150,α:5.01;β:1.39;γ:1.94;δ:0.41
k16,14,α,23,3,γ:144;α:1723;β:74,α:6.65;β:0.55;γ:1.27;δ:0.15
k16,15,α,24,1,γ:212;β:286;α:1411,α:5.09;β:2.32;γ:1.86;δ:0.21
k16,16,α,24,0,γ:171;β:54;α:1700,α:6.45;β:0.44;γ:1.35;δ:0.32
k16,17,α,24,0,γ:235;β:230;α:1449,α:5.56;β:1.57;γ:1.81;δ:0.16
k16,18,α,24,0,γ:126;β:275;α:1519,α:5.60;β:1.81;γ:0.92;δ:0.33
k16,19,α,23,2,γ:202;α:1463;β:265,α:5.46;β:2.01;γ:1.59;δ:0.16
k16,20,α,24,0,γ:125;α:1729;β:86,α:6.16;β:0.67;γ:0.89;δ:0.19
k16,21,DEAD,0,24,γ:166;β:6,α:0.05;β:0.44;γ:11.47;δ:0.00
k16,22,α,24,2,γ:177;α:1739;β:24,α:6.57;β:0.17;γ:1.38;δ:0.25
k16,23,α,23,1,γ:123;β:137;α:1677,α:6.31;β:1.26;γ:0.97;δ:0.18
k16,24,α,24,0,γ:140;α:1778;β:24,α:6.04;β:0.16;γ:1.33;δ:0.35
k16,25,α,23,1,γ:141;β:158;α:1623,α:5.50;β:1.29;γ:1.17;δ:0.19
k16,26,α,23,5,γ:206;β:46;α:1655,α:6.44;β:0.30;γ:1.64;δ:0.22
k16,27,DEAD,0,24,γ:165,α:0.00;β:0.00;γ:13.76;δ:0.72
k16,28,α,23,4,γ:201;β:185;α:1527,α:5.76;β:1.72;γ:1.37;δ:0.17
k16,29,α,23,2,γ:272;β:78;α:1553,α:6.20;β:0.53;γ:2.23;δ:0.11
k16,30,DEAD,0,24,γ:171;β:9,α:0.00;β:0.31;γ:13.31;δ:0.76
k16,31,α,24,0,γ:190;α:1687;β:51,α:6.32;β:0.34;γ:1.23;δ:0.31
k16,32,α,23,1,γ:106;β:128;α:1709,α:6.34;β:1.18;γ:0.95;δ:0.21
k16,33,α,24,1,γ:199;α:1315;β:381,α:4.40;β:2.60;γ:1.42;δ:0.31
k16,34,α,24,0,γ:158;α:1687;β:89,α:5.98;β:0.73;γ:1.16;δ:0.12
k16,35,α,24,0,γ:338;α:1517;β:33,α:6.08;β:0.31;γ:2.35;δ:0.20
k16,36,α,24,0,γ:97;β:74;α:1769,α:6.48;β:0.63;γ:0.91;δ:0.27
k16,37,α,23,3,γ:151;α:1768;β:22,α:6.67;β:0.17;γ:1.44;δ:0.20
k16,38,α,24,1,γ:122;β:104;α:1713,α:6.56;β:0.89;γ:0.90;δ:0.18
k16,39,α,24,1,γ:123;α:1751;β:66,α:6.79;β:0.57;γ:0.93;δ:0.28
k16,40,DEAD,0,24,γ:73;α:1;β:1,α:0.01;β:0.05;γ:16.10;δ:0.63
k2,1,DEAD,0,24,γ:77;α:7;β:1,α:0.04;β:0.04;γ:3.14;δ:0.20
k2,2,β,16,14,γ:50;α:155;β:44,α:2.58;β:1.41;γ:0.62;δ:0.76
k2,3,DEAD,0,24,γ:35,α:0.00;β:0.00;γ:10.03;δ:0.00
k2,4,DEAD,0,24,γ:43;α:130,α:2.17;β:0.00;γ:1.54;δ:0.29
k2,5,β,23,7,γ:39;β:218,α:0.00;β:3.72;γ:1.36;δ:0.64
k2,6,α,11,17,γ:49;α:197;β:1,α:1.72;β:0.03;γ:1.89;δ:0.64
k2,7,γ,18,13,γ:51;β:200,α:0.00;β:2.77;γ:2.16;δ:0.93
k2,8,DEAD,0,24,γ:62;α:2,α:0.03;β:0.00;γ:7.75;δ:0.00
k2,9,DEAD,0,24,γ:50,α:0.18;β:0.00;γ:8.74;δ:0.00
k2,10,α,19,5,γ:70;α:168;β:21,α:1.77;β:0.81;γ:1.73;δ:0.24
k2,11,DEAD,0,24,γ:46,α:0.00;β:0.00;γ:8.35;δ:0.00
k2,12,DEAD,0,24,γ:47,α:0.00;β:0.00;γ:4.55;δ:0.94
k2,13,α,15,8,γ:78;β:57;α:120,α:0.58;β:1.02;γ:2.23;δ:1.04
k2,14,α,13,9,γ:69;β:39;α:147,α:2.02;β:0.94;γ:2.44;δ:0.09
k2,15,β,18,8,γ:57;α:176;β:23,α:1.37;β:0.49;γ:1.71;δ:0.36
k2,16,DEAD,0,24,γ:37,α:0.00;β:0.00;γ:9.67;δ:0.35
k2,17,DEAD,0,24,γ:62,α:0.00;β:0.00;γ:8.44;δ:0.00
k2,18,α,4,20,γ:41;β:3;α:200,α:1.84;β:0.05;γ:0.91;δ:0.23
k2,19,γ,16,14,γ:91;α:3;β:156,α:0.07;β:3.43;γ:3.25;δ:0.60
k2,20,DEAD,0,24,γ:37,α:0.00;β:0.00;γ:1.65;δ:0.98
k2,21,α,16,9,γ:54;β:165;α:29,α:0.13;β:4.95;γ:1.50;δ:0.22
k2,22,β,20,12,γ:60;β:93;α:99,α:0.55;β:1.47;γ:4.55;δ:0.42
k2,23,DEAD,0,24,γ:56,α:0.00;β:0.00;γ:8.73;δ:0.00
k2,24,DEAD,0,24,γ:49,α:0.00;β:0.00;γ:1.69;δ:0.93
k2,25,α,16,5,γ:50;β:90;α:119,α:0.28;β:0.98;γ:2.86;δ:0.33
k2,26,DEAD,0,24,γ:53;β:1,α:0.00;β:0.04;γ:9.26;δ:0.00
k2,27,α,22,0,γ:62;β:125;α:74,α:0.45;β:3.21;γ:2.79;δ:0.00
k2,28,DEAD,0,24,γ:32,α:0.00;β:0.00;γ:10.22;δ:0.00
k2,29,β,19,7,γ:49;β:208,α:0.00;β:4.67;γ:1.89;δ:0.00
k2,30,β,19,10,γ:55;α:109;β:90,α:1.16;β:1.82;γ:2.03;δ:0.00
k2,31,DEAD,0,24,γ:53,α:0.00;β:0.00;γ:10.09;δ:0.84
k2,32,DEAD,0,24,γ:57;β:3,α:0.00;β:0.69;γ:8.31;δ:0.00
k2,33,DEAD,0,24,γ:30,α:0.01;β:0.00;γ:1.89;δ:0.97
k2,34,DEAD,0,24,γ:40,α:0.00;β:0.00;γ:1.73;δ:0.33
k2,35,α,24,0,γ:77;β:47;α:140,α:0.53;β:0.95;γ:4.30;δ:0.15
k2,36,α,14,10,γ:32;β:187;α:35,α:0.13;β:2.75;γ:1.42;δ:0.57
k2,37,DEAD,0,24,γ:61,α:0.00;β:0.20;γ:8.11;δ:0.00
k2,38,α,21,1,γ:33;β:70;α:160,α:1.29;β:1.58;γ:1.13;δ:0.47
k2,39,DEAD,0,24,γ:35,α:0.00;β:0.00;γ:9.43;δ:0.68
k2,40,DEAD,0,24,γ:46;α:17,α:0.33;β:0.00;γ:7.27;δ:0.00
