cell,seed,dom,alive,fuel,spend,hoard
k1,1,DEAD,0,24,α:23;β:19,α:3.34;β:4.30
k1,2,DEAD,0,24,α:17;β:16,α:4.33;β:4.53
k1,3,DEAD,0,24,β:12;α:19,α:4.41;β:5.22
k1,4,DEAD,0,24,β:15;α:17,α:5.00;β:4.23
k1,5,DEAD,0,24,α:18;β:20,α:4.09;β:4.19
k1,6,DEAD,0,24,α:16;β:18,α:3.85;β:4.62
k1,7,DEAD,0,24,β:18;α:17,α:5.16;β:3.46
k1,8,DEAD,0,24,β:20;α:13,α:4.51;β:4.37
k1,9,DEAD,0,24,β:18;α:17,α:4.70;β:3.95
k1,10,DEAD,0,24,β:21;α:22,α:3.08;β:3.83
k1,11,DEAD,0,24,α:17;β:15,α:4.35;β:5.00
k1,12,DEAD,0,24,β:13;α:20,α:5.27;β:3.51
k1,13,DEAD,0,24,α:14;β:15,α:4.41;β:6.38
k1,14,DEAD,0,24,α:19;β:13,α:4.86;β:4.23
k1,15,DEAD,0,24,α:17;β:24,α:3.61;β:3.72
k1,16,DEAD,0,24,α:21;β:15,α:4.54;β:3.82
k1,17,DEAD,0,24,α:15;β:18,α:3.68;β:5.44
k1,18,DEAD,0,24,β:11;α:26,α:4.38;β:4.22
k1,19,DEAD,0,24,β:18;α:19,α:3.98;β:4.56
k1,20,DEAD,0,24,α:16;β:17,α:4.33;β:5.03
k1,21,DEAD,0,24,β:18;α:21,α:3.64;β:4.10
k1,22,DEAD,0,24,β:21;α:16,α:5.08;β:3.17
k1,23,DEAD,0,24,β:13;α:19,α:5.27;β:4.24
k1,24,DEAD,0,24,α:19;β:18,α:3.87;β:4.82
k1,25,DEAD,0,24,β:21;α:19,α:3.43;β:3.52
k1,26,DEAD,0,24,β:12;α:17,α:4.39;β:5.87
k1,27,DEAD,0,24,β:15;α:24,α:4.45;β:3.38
k1,28,DEAD,0,24,β:15;α:17,α:4.29;β:5.03
k1,29,DEAD,0,24,β:25;α:12,α:3.52;β:5.17
k1,30,DEAD,0,24,α:20;β:18,α:3.70;β:4.12
k1,31,DEAD,0,24,α:22;β:13,α:4.24;β:4.30
k1,32,DEAD,0,24,α:13;β:18,α:5.64;β:4.58
k1,33,DEAD,0,24,β:17;α:19,α:4.72;β:3.72
k1,34,DEAD,0,24,β:15;α:18,α:5.16;β:4.24
k1,35,DEAD,0,24,β:21;α:16,α:4.05;β:3.88
k1,36,DEAD,0,24,α:19;β:19,α:4.30;β:3.75
k1,37,DEAD,0,24,β:15;α:19,α:4.85;β:4.62
k1,38,DEAD,0,24,β:21;α:13,α:4.41;β:4.65
k1,39,DEAD,0,24,α:18;β:21,α:3.48;β:4.07
k1,40,DEAD,0,24,β:12;α:18,α:4.97;β:5.23
