cell,seed,dom,alive,fuel,spend,hoard
α_k0,1,DEAD,0,0,α:24,α:12.50
α_k0,2,DEAD,0,0,α:24,α:12.50
α_k0,3,DEAD,0,0,α:24,α:12.50
α_k0,4,DEAD,0,0,α:24,α:12.50
α_k0,5,DEAD,0,0,α:24,α:12.50
α_k0,6,DEAD,0,0,α:24,α:12.50
α_k0,7,DEAD,0,0,α:24,α:12.50
α_k0,8,DEAD,0,0,α:24,α:12.50
α_k0,9,DEAD,0,0,α:24,α:12.50
α_k0,10,DEAD,0,0,α:24,α:12.50
α_k0,11,DEAD,0,0,α:24,α:12.50
α_k0,12,DEAD,0,0,α:24,α:12.50
α_k0,13,DEAD,0,0,α:24,α:12.50
α_k0,14,DEAD,0,0,α:24,α:12.50
α_k0,15,DEAD,0,0,α:24,α:12.50
α_k0,16,DEAD,0,0,α:24,α:12.50
α_k0,17,DEAD,0,0,α:24,α:12.50
α_k0,18,DEAD,0,0,α:24,α:12.50
α_k0,19,DEAD,0,0,α:24,α:12.50
α_k0,20,DEAD,0,0,α:24,α:12.50
α_k0,21,DEAD,0,0,α:24,α:12.50
α_k0,22,DEAD,0,0,α:24,α:12.50
α_k0,23,DEAD,0,0,α:24,α:12.50
α_k0,24,DEAD,0,0,α:24,α:12.50
α_k0,25,DEAD,0,0,α:24,α:12.50
α_k0,26,DEAD,0,0,α:24,α:12.50
α_k0,27,DEAD,0,0,α:24,α:12.50
α_k0,28,DEAD,0,0,α:24,α:12.50
α_k0,29,DEAD,0,0,α:24,α:12.50
α_k0,30,DEAD,0,0,α:24,α:12.50
α_k2,1,α,8,16,α:248,α:3.49
α_k2,2,DEAD,0,24,α:159,α:4.38
α_k2,3,α,13,5,α:259,α:3.69
α_k2,4,α,11,13,α:251,α:3.53
α_k2,5,α,12,11,α:253,α:3.49
α_k2,6,α,6,24,α:237,α:3.84
α_k2,7,α,13,16,α:248,α:3.57
α_k2,8,α,6,19,α:245,α:4.13
α_k2,9,DEAD,0,24,α:220,α:3.91
α_k2,10,DEAD,0,24,α:88,α:5.69
α_k2,11,DEAD,0,24,α:155,α:4.71
α_k2,12,DEAD,0,24,α:158,α:4.25
α_k2,13,DEAD,0,24,α:130,α:4.90
α_k2,14,α,7,16,α:248,α:4.48
α_k2,15,α,15,9,α:255,α:3.65
α_k2,16,α,11,16,α:248,α:4.20
α_k2,17,DEAD,0,24,α:100,α:5.86
α_k2,18,DEAD,0,24,α:92,α:5.49
α_k2,19,α,17,6,α:258,α:3.96
α_k2,20,DEAD,0,24,α:64,α:6.09
α_k2,21,α,5,21,α:243,α:3.79
α_k2,22,DEAD,0,24,α:171,α:4.46
α_k2,23,DEAD,0,24,α:73,α:5.74
α_k2,24,α,16,4,α:260,α:3.72
α_k2,25,α,8,13,α:251,α:3.71
α_k2,26,DEAD,0,24,α:53,α:7.68
α_k2,27,DEAD,0,24,α:123,α:3.94
α_k2,28,α,6,19,α:245,α:3.57
α_k2,29,α,0,24,α:232,α:3.69
α_k2,30,DEAD,0,24,α:120,α:5.38
α_k8,1,α,21,3,α:981,α:5.42
α_k8,2,α,24,0,α:984,α:5.15
α_k8,3,α,22,1,α:983,α:5.53
α_k8,4,α,24,0,α:984,α:5.33
α_k8,5,α,23,0,α:984,α:5.22
α_k8,6,α,23,2,α:982,α:5.17
α_k8,7,α,21,4,α:980,α:5.09
