cell,seed,dom,alive,fuel,hoard
carrion_t_k16,1,DEAD,0,24,α:0.00;β:0.00;γ:1.57;δ:0.00
carrion_t_k16,2,DEAD,0,24,α:0.10;β:0.00;γ:8.45;δ:0.00
carrion_t_k16,3,DEAD,0,24,α:0.00;β:0.00;γ:11.63;δ:0.00
carrion_t_k16,4,DEAD,0,24,α:0.00;β:0.00;γ:9.64;δ:0.00
carrion_t_k16,5,DEAD,0,24,α:0.00;β:0.00;γ:1.76;δ:0.00
carrion_t_k16,6,DEAD,0,24,α:0.00;β:0.00;γ:9.54;δ:0.00
carrion_t_k16,7,DEAD,0,24,α:0.00;β:0.00;γ:4.96;δ:0.00
carrion_t_k16,8,DEAD,0,24,α:0.00;β:0.00;γ:9.75;δ:0.00
carrion_t_k16,9,DEAD,0,24,α:0.08;β:0.00;γ:11.58;δ:0.00
carrion_t_k16,10,DEAD,0,24,α:0.00;β:0.00;γ:10.66;δ:0.00
carrion_t_k16,11,DEAD,0,24,α:0.00;β:0.00;γ:9.94;δ:0.00
carrion_t_k16,12,DEAD,0,24,α:0.00;β:0.00;γ:1.98;δ:0.00
carrion_t_k16,13,DEAD,0,24,α:0.00;β:0.01;γ:3.72;δ:0.24
carrion_t_k16,14,DEAD,0,24,α:0.00;β:0.00;γ:3.85;δ:0.00
carrion_t_k16,15,DEAD,0,24,α:0.00;β:0.00;γ:10.39;δ:0.00
carrion_t_k16,16,DEAD,0,24,α:0.00;β:0.00;γ:10.55;δ:0.00
carrion_t_k16,17,DEAD,0,24,α:0.00;β:0.00;γ:10.34;δ:0.00
carrion_t_k16,18,DEAD,0,24,α:0.00;β:0.07;γ:10.72;δ:0.00
carrion_t_k16,19,DEAD,0,24,α:0.07;β:0.00;γ:10.86;δ:0.00
carrion_t_k16,20,DEAD,0,24,α:0.00;β:0.00;γ:2.05;δ:0.00
carrion_t_k16,21,DEAD,0,24,α:0.05;β:0.00;γ:9.27;δ:0.00
carrion_t_k16,22,DEAD,0,24,α:0.00;β:0.00;γ:9.00;δ:0.00
carrion_t_k16,23,DEAD,0,24,α:0.00;β:0.00;γ:11.81;δ:0.00
carrion_t_k16,24,DEAD,0,24,α:0.00;β:0.00;γ:2.34;δ:0.00
carrion_t_k16,25,DEAD,0,24,α:0.00;β:0.01;γ:0.98;δ:0.00
carrion_t_k16,26,DEAD,0,24,α:0.00;β:0.00;γ:10.53;δ:0.00
